id,name,SUBSYSTEM,reaction,gene_reaction_rule,annotations,subject,annotation
cyt-c2,Reaction between Cyt c2(red) and P870-,,(1.0)cyt_c2_red_p_u + (1.0)cyt_bc1_exc_p_u -> (1.0)cyt_c2_ox_p_u + (1.0)cyt_bc1_p_u,PGIDNB_6235,PGIDNB_6235|Cytochrome c2,,
NH4tpp,Ammonia reversible transport (periplasm),Inorganic Ion Transport and Metabolism,(1.0)nh4_p_u -> (1.0)nh4_c_u,PGIDNB_24450 or PGIDNB_24430,Aminotransferase; ammonia channel protein,,
LDAPAT,LL-diaminopimelate aminotransferase,Threonine and Lysine Metabolism,(1.0)26dap_LL_c_u + (1.0)akg_c_u -> (1.0)glu__L_c_u + (1.0)h2o_c_u + (1.0)h_c_u + (1.0)thdp_c_u,PGIDNB_24450,Aminotransferase,,
SDPTA,Succinyldiaminopimelate transaminase,Threonine and Lysine Metabolism,(1.0)akg_c_u + (1.0)sl26da_c_u -> (1.0)glu__L_c_u + (1.0)sl2a6o_c_u,PGIDNB_24450,Aminotransferase,,
NH4t,Ammonia reversible transport,Transport: Inner Membrane,(1.0)nh4_e_u -> (1.0)nh4_c_u,PGIDNB_24430,RPE_RS02025|ammonium transporter,PGIDNB_24430,ammonia channel protein
FACOAE100,Fatty-acid-CoA thioesterase (decanoate),Cell Envelope Biosynthesis,(1.0)dcacoa_c_u + (1.0)h2o_c_u -> (1.0)coa_c_u + (1.0)dca_c_u + (1.0)h_c_u,PGIDNB_24410 or PGIDNB_23970,"acyl-CoA thioesterase II; Lipolytic enzyme, G-D-S-L",,
FACOAE120,Fatty-acid-CoA thioesterase (dodecanoate),Cell Envelope Biosynthesis,(1.0)ddcacoa_c_u + (1.0)h2o_c_u -> (1.0)coa_c_u + (1.0)ddca_c_u + (1.0)h_c_u,PGIDNB_24410 or PGIDNB_23970,"acyl-CoA thioesterase II; Lipolytic enzyme, G-D-S-L",,
FACOAE140,Fatty-acid-CoA thioesterase (tetradecanoate),Cell Envelope Biosynthesis,(1.0)h2o_c_u + (1.0)tdcoa_c_u -> (1.0)coa_c_u + (1.0)h_c_u + (1.0)ttdca_c_u,PGIDNB_24410 or PGIDNB_23970,"acyl-CoA thioesterase II; Lipolytic enzyme, G-D-S-L",,
FACOAE141,Fatty-acid-CoA thioesterase (tetradecenoate),Cell Envelope Biosynthesis,(1.0)h2o_c_u + (1.0)tdecoa_c_u -> (1.0)coa_c_u + (1.0)h_c_u + (1.0)ttdcea_c_u,PGIDNB_24410 or PGIDNB_23970,"acyl-CoA thioesterase II; Lipolytic enzyme, G-D-S-L",,
FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),Cell Envelope Biosynthesis,(1.0)h2o_c_u + (1.0)pmtcoa_c_u -> (1.0)coa_c_u + (1.0)h_c_u + (1.0)hdca_c_u,PGIDNB_24410 or PGIDNB_23970,"acyl-CoA thioesterase II; Lipolytic enzyme, G-D-S-L",,
FACOAE161,Fatty-acid-CoA thioesterase (hexadecenoate),Cell Envelope Biosynthesis,(1.0)h2o_c_u + (1.0)hdcoa_c_u -> (1.0)coa_c_u + (1.0)h_c_u + (1.0)hdcea_c_u,PGIDNB_24410 or PGIDNB_23970,"acyl-CoA thioesterase II; Lipolytic enzyme, G-D-S-L",,
FACOAE180,Fatty-acid-CoA thioesterase (octadecanoate),Cell Envelope Biosynthesis,(1.0)h2o_c_u + (1.0)stcoa_c_u -> (1.0)coa_c_u + (1.0)h_c_u + (1.0)ocdca_c_u,PGIDNB_24410 or PGIDNB_23970,"acyl-CoA thioesterase II; Lipolytic enzyme, G-D-S-L",,
FACOAE181,Fatty-acid-CoA thioesterase (octadecenoate),Cell Envelope Biosynthesis,(1.0)h2o_c_u + (1.0)odecoa_c_u -> (1.0)coa_c_u + (1.0)h_c_u + (1.0)ocdcea_c_u,PGIDNB_24410 or PGIDNB_23970,"acyl-CoA thioesterase II; Lipolytic enzyme, G-D-S-L",,
FACOAE60,Fatty-acid-CoA thioesterase (hexanoate),Cell Envelope Biosynthesis,(1.0)h2o_c_u + (1.0)hxcoa_c_u -> (1.0)coa_c_u + (1.0)h_c_u + (1.0)hxa_c_u,PGIDNB_24410 or PGIDNB_23970,"acyl-CoA thioesterase II; Lipolytic enzyme, G-D-S-L",,
FACOAE80,Fatty-acid-CoA thioesterase (octanoate),Cell Envelope Biosynthesis,(1.0)h2o_c_u + (1.0)occoa_c_u -> (1.0)coa_c_u + (1.0)h_c_u + (1.0)octa_c_u,PGIDNB_24410 or PGIDNB_23970,"acyl-CoA thioesterase II; Lipolytic enzyme, G-D-S-L",,
OPHHXy,2-Octaprenylphenol hydroxylase (NADPH),Cofactor and Prosthetic Group Biosynthesis,(1.0)2oph_c_u + (1.0)h_c_u + (1.0)nadph_c_u + (1.0)o2_c_u -> (1.0)2ohph_c_u + (1.0)h2o_c_u + (1.0)nadp_c_u,PGIDNB_24405 or PGIDNB_12345,ubiquinone biosynthesis hydroxylase; UbiH/UbiF family hydroxylase,,
OMMBLHXy,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (NADPHl)",Cofactor and Prosthetic Group Biosynthesis,(1.0)2ommbl_c_u + (1.0)h_c_u + (1.0)nadph_c_u + (1.0)o2_c_u -> (1.0)2omhmbl_c_u + (1.0)h2o_c_u + (1.0)nadp_c_u,PGIDNB_24405,ubiquinone biosynthesis hydroxylase,,
MCOATA,Malonyl-CoA-ACP transacylase,Membrane Lipid Metabolism,(1.0)ACP_c_u + (1.0)malcoa_c_u -> (1.0)coa_c_u + (1.0)malACP_c_u,PGIDNB_24335,RPE_RS21280|MBOAT family protein,PGIDNB_24335,"Membrane bound O-acyl transferase, MBOAT"
G3PD1,G3PD1,Glycerolipid Metabolism,(1.0)glyc3p_c_u + (1.0)nad_c_u -> (1.0)dhap_c_u + (1.0)h_c_u + (1.0)nadh_c_u,PGIDNB_24305 or PGIDNB_19400,Glycerol-3-phosphate dehydrogenase [NAD(P)+]; FAD-dependent oxidoreductase,PGIDNB_06220,"carotenoid 1,2-hydratase"
G3PD2,Glycerol-3-phosphate dehydrogenase (NADP),Alternate Carbon Metabolism,(1.0)glyc3p_c_u + (1.0)nadp_c_u -> (1.0)dhap_c_u + (1.0)h_c_u + (1.0)nadph_c_u,PGIDNB_24305,Glycerol-3-phosphate dehydrogenase [NAD(P)+],,
G3PD1ir,Glycerol 3 phosphate dehydrogenase  NAD,Glycerolipid metabolism,(1.0)dhap_c_u + (1.0)h_c_u + (1.0)nadh_c_u -> (1.0)glyc3p_c_u + (1.0)nad_c_u,PGIDNB_24305,Glycerol-3-phosphate dehydrogenase [NAD(P)+],,
G3PD2_1,Glycerol-3-phosphate dehydrogenase (NADP),Glycerophospholipid Metabolism,(1.0)dhap_c_u + (1.0)h_c_u + (1.0)nadph_c_u -> (1.0)glyc3p_c_u + (1.0)nadp_c_u,PGIDNB_24305,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PGIDNB_01140,cysteine synthase A
ACCOAL,Acetate-CoA ligase (ADP-forming),Alternate Carbon Metabolism,(1.0)atp_c_u + (1.0)coa_c_u + (1.0)ppa_c_u -> (1.0)adp_c_u + (1.0)pi_c_u + (1.0)ppcoa_c_u,PGIDNB_24290 or PGIDNB_04035,acetate--CoA ligase; propionyl-CoA synthetase,,
GLUt2rpp,"L-glutamate transport via proton symport, reversible (periplasm)","Transport, Inner Membrane",(1.0)glu__L_p_u + (1.0)h_p_u -> (1.0)glu__L_c_u + (1.0)h_c_u,PGIDNB_24290 or (PGIDNB_15435 and PGIDNB_12920) or PGIDNB_12915,acetate--CoA ligase; 3-hydroxyisobutyrate dehydrogenase; amino acid ABC transporter substrate-binding protein; amino acid ABC transporter permease,,
SUCDi,Succinate dehydrogenase (irreversible),Oxidative Phosphorylation,(1.0)q8_c_u + (1.0)succ_c_u -> (1.0)fum_c_u + (1.0)q8h2_c_u,PGIDNB_24250 and PGIDNB_24245 and PGIDNB_12385 and PGIDNB_24260,"succinate dehydrogenase, hydrophobic membrane anchor protein; succinate dehydrogenase, cytochrome b556 subunit; succinate dehydrogenase assembly factor 2 family protein; succinate dehydrogenase iron-sulfur subunit",,
SUCDpp_syn,Succinate dehydrogenase (periplasm),Photosynthesis,(1.0)pq_p_u + (1.0)succ_c_u -> (1.0)fum_c_u + (1.0)pqh2_p_u,PGIDNB_24245 and PGIDNB_24260 and PGIDNB_24255 and PGIDNB_12385,"succinate dehydrogenase, cytochrome b556 subunit; succinate dehydrogenase iron-sulfur subunit; succinate dehydrogenase flavoprotein subunit; succinate dehydrogenase assembly factor 2 family protein",,
CD2t3pp,Cadmium (Cd+2) transport out via proton antiport (periplasm),Inorganic Ion Transport and Metabolism,(1.0)cd2_c_u + (1.0)h_p_u -> (1.0)cd2_p_u + (1.0)h_c_u,PGIDNB_24240,Cobalt-zinc-cadmium efflux system protein,,
COBALT2t3pp,Cobalt (Co+2) transport out via proton antiport (periplasm),Inorganic Ion Transport and Metabolism,(1.0)cobalt2_c_u + (1.0)h_p_u -> (1.0)cobalt2_p_u + (1.0)h_c_u,PGIDNB_24240,Cobalt-zinc-cadmium efflux system protein,,
MN2t3pp,Manganese (Mn+2) transport out via proton antiport (periplasm),Inorganic Ion Transport and Metabolism,(1.0)h_p_u + (1.0)mn2_c_u -> (1.0)h_c_u + (1.0)mn2_p_u,PGIDNB_24240,Cobalt-zinc-cadmium efflux system protein,,
NI2t3pp,Nickle (Ni+2) transport out via proton antiport (periplasm),Inorganic Ion Transport and Metabolism,(1.0)h_p_u + (1.0)ni2_c_u -> (1.0)h_c_u + (1.0)ni2_p_u,PGIDNB_24240,Cobalt-zinc-cadmium efflux system protein,,
ZN2t3pp,Zinc (Zn+2) transport out via proton antiport (periplasm),Inorganic Ion Transport and Metabolism,(1.0)h_p_u + (1.0)zn2_c_u -> (1.0)h_c_u + (1.0)zn2_p_u,PGIDNB_24240,Cobalt-zinc-cadmium efflux system protein,,
CD2t4,Cadminum transport out via antiport,"Transport, Outer Membrane Porin",(1.0)cd2_c_u + (1.0)h_e_u + (1.0)k_e_u -> (1.0)cd2_e_u + (1.0)h_c_u + (1.0)k_c_u,PGIDNB_24240,Cobalt-zinc-cadmium efflux system protein,,
ZN2t4,Zinc transport out via antiport,Transport: Inner Membrane,(1.0)h_e_u + (1.0)k_e_u + (1.0)zn2_c_u -> (1.0)h_c_u + (1.0)k_c_u + (1.0)zn2_e_u,PGIDNB_24240,Cobalt-zinc-cadmium efflux system protein,,
2AGPEAT120,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),Glycerophospholipid Metabolism,(1.0)2agpe120_c_u + (1.0)atp_c_u + (1.0)ddca_c_u -> (1.0)amp_c_u + (1.0)pe120_c_u + (1.0)ppi_c_u,PGIDNB_24230 or PGIDNB_16350 or PGIDNB_08270,malonyl-CoA synthase; AMP-dependent synthetase and ligase; AMP-dependent synthetase and ligase,,
2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),Glycerophospholipid Metabolism,(1.0)2agpe141_c_u + (1.0)atp_c_u + (1.0)ttdcea_c_u -> (1.0)amp_c_u + (1.0)pe141_c_u + (1.0)ppi_c_u,PGIDNB_24230 or PGIDNB_16350 or PGIDNB_08270,malonyl-CoA synthase; AMP-dependent synthetase and ligase; AMP-dependent synthetase and ligase,,
2AGPEAT161,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),Glycerophospholipid Metabolism,(1.0)2agpe161_c_u + (1.0)atp_c_u + (1.0)hdcea_c_u -> (1.0)amp_c_u + (1.0)pe161_c_u + (1.0)ppi_c_u,PGIDNB_24230 or PGIDNB_16350 or PGIDNB_08270,malonyl-CoA synthase; AMP-dependent synthetase and ligase; AMP-dependent synthetase and ligase,,
ERTHMMOR,D-erythro-3-methylmalate: NAD oxidoreductase,"Amino acid metabolism: Valine, Leucine and Isoleucine",(1.0)nad_c_u + (1.0)r3mmal_c_u -> (1.0)2obut_c_u + (1.0)co2_c_u + (1.0)nadh_c_u,PGIDNB_24220,beta-Ig-H3/fasciclin,,
ICDHyr,Isocitrate dehydrogenase (NADP),Pyruvate metabolism/TCA Reactions,(1.0)icit_c_u + (1.0)nadp_c_u -> (1.0)akg_c_u + (1.0)co2_c_u + (1.0)nadph_c_u,PGIDNB_24220,beta-Ig-H3/fasciclin,,
ASAD,Aspartate-semialdehyde dehydrogenase,Threonine and Lysine Metabolism,(1.0)aspsa_c_u + (1.0)nadp_c_u + (1.0)pi_c_u -> (1.0)4pasp_c_u + (1.0)h_c_u + (1.0)nadph_c_u,PGIDNB_24195,3-isopropylmalate dehydrogenase,,
IPMD,3-isopropylmalate dehydrogenase,"Amino acid metabolism: Valine, Leucine and Isoleucine",(1.0)3c2hmp_c_u + (1.0)nad_c_u -> (1.0)3c4mop_c_u + (1.0)h_c_u + (1.0)nadh_c_u,PGIDNB_24195,3-isopropylmalate dehydrogenase,,
MALDDH,Malate decarboxylating oxidoreductase (decarboxylating),Alternate Carbon Metabolism,(1.0)mal__D_c_u + (1.0)nad_c_u -> (1.0)co2_c_u + (1.0)nadh_c_u + (1.0)pyr_c_u,PGIDNB_24195,3-isopropylmalate dehydrogenase,,
3MMD,3-methylmalate dehydrogenase,Amino Acid Metabolism,(1.0)nad_c_u + (1.0)r3mmal_c_u -> (1.0)2m3osuc_c_u + (1.0)h_c_u + (1.0)nadh_c_u,PGIDNB_24195,3-isopropylmalate dehydrogenase,,
H2CO3D,H2CO3D,Unassigned,(1.0)co2_c_u + (1.0)h2o_c_u -> (1.0)h2co3_c_u,PGIDNB_24160 or PGIDNB_22715,carbonate dehydratase; Carbonic anhydrase,,
H4THDPR,4-hydroxy-tetrahydrodipicolinate reductase,Threonine and Lysine Metabolism,(1.0)4hthdp_c_u + (1.0)h_c_u + (1.0)nadph_c_u -> (1.0)h2o_c_u + (1.0)nadp_c_u + (1.0)thdp_c_u,PGIDNB_24160,carbonate dehydratase,,
