,fluxes,reduced_costs
QULNS,0.0001839599216535945,-5.551115123125783e-17
ORNDC,9.12197958314589e-05,3.4147725008651635e-17
MSBENZMT,0.0,-0.0901252729930628
DESAT18a,0.0,-1.3231702002602244e-16
FUM,0.17955333122763795,0.0
PHYFXOR,0.0,1.3659090003460654e-16
VPAMTr,0.0,3.2172318542014748e-18
NDPK7,0.0,0.0
GTPCI,0.006621104555063593,2.1363426222606195e-17
MTHFC,0.12322623752391655,2.1363426222606198e-17
GCATENEC,0.0,-2.6981546937144036e-16
ORNTA,-9.12197958314589e-05,-3.8235209153228784e-17
UPPDC1,0.008771031079346854,-3.0749830981545607e-16
GARFT,0.0,-0.007100779084301052
H4THDPR,0.17105772603910743,8.965887623990946e-17
UDPG4E,0.0,-0.0
GLCS3,0.0,2.1363426222606195e-17
ASPTA,-8.172840684249389,-0.0
PRAGSr,0.0839808684484145,-1.4517002747116728e-16
KAS14,0.0,7.593239443623495e-17
UDCPDPS,8.108426296129679e-06,-2.220446049250313e-16
GLNS,0.0,-0.007100779084301437
SHKK,0.13154681096944862,-8.965887623990946e-17
G1PACT,0.22174833951757594,2.1363426222606195e-17
5DOAN,3.716362052392769e-05,0.0
OHPBAT,0.0,0.0
Htex,0.0,4.098080778607535e-17
3HAD60,11.526967257669739,0.0
PGI,-0.062041688394016366,-3.367072865727607e-17
PNTK,0.0023421892932922565,-3.4147725008651635e-17
3OAR60,11.52696725766974,-2.1363426222606198e-17
ACGK,0.0,-5.551115123125783e-17
LEUabcpp,0.0,-3.4147725008651635e-17
G5SD,0.09029046950214054,8.965887623990946e-17
DTMPK,2.653991968508278e-05,0.0
NDH_1_1_um_copy1,0.0,2.978798852476855e-16
HSTPT,0.03396443535419563,-7.647041830645757e-17
U23GAAT2,0.0,-3.497133699018809
PGK,-2.2552761547442173,-0.0
IMPD,0.01999391042344052,-3.4147725008651635e-17
LPOR,0.0,2.006811787024251e-16
CHRPL,0.005313198500943089,4.163336342344337e-17
GCALDDy,0.0,8.545370489042479e-17
RNDR1,0.0,-1.296256995231772e-16
AIRC2,0.0,-0.007100779084301479
MTAP,6.216460160366087e-05,0.0
DHORD3um,0.0,-0.004915923981439552
TRPS1,0.0,-0.007100779084297254
NNATr,0.00018395992165359454,-2.1363426222606195e-17
