,fluxes,reduced_costs
QULNS,5.603127304278903e-05,0.0
ORNDC,2.7784102335270795e-05,5.551115123125783e-17
MSBENZMT,0.0,-0.10523293329039152
DESAT18a,0.0,1.1095359380341623e-16
FUM,0.05468909554112988,0.0
PHYFXOR,0.0,0.0
VPAMTr,0.038421817678337356,2.7755575615628914e-17
NDPK7,1.5156301019712893e-05,0.0
GTPCI,0.002016683383838174,5.551115123125783e-17
MTHFC,0.03753275659684095,0.0
GCATENEC,0.0,0.0
ORNTA,-2.778410233527079e-05,-3.8235209153228784e-17
UPPDC1,0.0026715168881179473,-2.220446049250313e-16
GARFT,0.0,-0.01189589680673895
H4THDPR,0.0,-2.220446049250313e-16
UDPG4E,0.0,-0.0
GLCS3,0.0,0.0
ASPTA,-3.09848584986753,-0.0
PRAGSr,0.025579239921646024,5.371375735969558e-17
KAS14,5.659724549777384e-06,5.551115123125783e-17
UDCPDPS,0.0,-1.3615588475097856e-10
GLNS,0.0,-0.011895896806740469
SHKK,0.040067071237548366,-5.551115123125783e-17
G1PACT,0.0675410255161735,0.0
5DOAN,1.1319449099554762e-05,2.7755575615628914e-17
OHPBAT,0.0,0.0
Htex,0.07883953855770996,0.0
3HAD60,5.6597245497773825e-06,0.0
PGI,-0.018896913807801532,-0.0
PNTK,0.0007133936928964914,0.0
3OAR60,5.659724549777383e-06,0.0
ACGK,0.0,-5.551115123125783e-17
LEUabcpp,0.0,-5.730854510282007e-17
G5SD,0.02750104428190319,-5.730854510282007e-17
DTMPK,8.083638400842654e-06,0.0
NDH_1_1_um_copy1,0.0,-2.8864556809530925e-17
HSTPT,-8.072696788374378,-0.0
U23GAAT2,0.0,-0.6297199732695961
PGK,-0.9915054620390271,-0.0
IMPD,0.006089827851769449,-5.551115123125783e-17
LPOR,0.0,-3.3306690738754696e-16
CHRPL,0.0016183159535958936,4.163336342344337e-17
GCALDDy,0.0016302785532124637,-1.1102230246251565e-16
RNDR1,8.241159670043888e-06,0.0
AIRC2,0.0,-0.011895896806740518
MTAP,1.893435122107343e-05,-2.5958181744066668e-17
DHORD3um,0.0,-0.008235620866204232
TRPS1,0.0,-0.011895896806740582
NNATr,5.6031273042789034e-05,0.0
3OAR120,0.0,0.0
HISTDb,0.0,-2.1227977463752614e-16
ADCL,0.0016304586353572293,-4.163336342344337e-17
CYTK1,0.06224307002970358,-5.220308085223909e-17
Cobalt2abcppI,0.0,-0.011895896754264699
THRS,2.9702055482868914,2.5958181744066668e-17
AOXPBDC,0.0,0.0
NAMNPP,1.10621888927467e-06,-9.835512608991865e-12
PERD,0.0,-0.019826494677900312
DAPDC,0.018330956250794984,0.0
COCHL_1,1.10621888927467e-06,-8.640105477625112e-11
3OAR100,0.0,-1.1095359380341623e-16
ZNabcpp,1.5905825247158872e-07,-4.545736872925867e-11
GLYDHDA,-9.997417900092156,6.531860661088282e-17
ANS,0.0,2.951064187090975e-17
SUCBZL,0.0,-5.551115123125783e-17
ADPT,3.0253800320628196e-05,-1.7664064022139585e-17
RNDR3,1.5156301019712891e-05,0.0
DHNANT,4.347697495056262e-06,3.3306690738754696e-16
GND,0.0,0.0
O2tcx,0.0,0.0
TRPS3,0.006613482242442322,-5.551115123125783e-17
DNTPPA,0.0016304586353572295,-1.1102230246251565e-16
HOXGfx,0.0,-2.3843647522637093
TMPPP_1,5.479642405011738e-06,-3.122502256758253e-17
ACONT,0.11207718788467248,0.0
IGPS,0.006613482242442323,0.0
HBZNPT,0.0,5.204170427930421e-17
HSDy,0.0,-1.1095359380341623e-16
GLYOX,0.0,5.551115123125783e-17
AICART,0.03591878834074011,-2.220446049250313e-16
SQD1,0.0,-0.4758358722695978
GK1,0.006090934070658724,4.461753407235308e-17
PPND,0.011237984875316813,-2.220446049250313e-16
IPDPS_syn,0.0,-3.3299819872844755e-16
H4THDPS,0.0,1.374742095894259e-16
BIOMASS_PIGMENTS,0.004258845440435997,1.1102230246251565e-15
3HAD160,0.0,0.0
HISTDa,0.0,1.1102230246251565e-16
