,fluxes,reduced_costs
QULNS,0.0,-5.254701028651691e-16
ORNDC,0.0,9.860761315262648e-32
MSBENZMT,0.0,0.0
DESAT18a,0.0,-0.0
FUM,0.0,0.0
PHYFXOR,0.0,0.0
VPAMTr,0.0,2.465190328815662e-32
NDPK7,0.0,-0.0
GTPCI,0.0,0.0
MTHFC,0.0,-0.0
GCATENEC,0.0,0.0
ORNTA,0.0,2.6695203460584718e-31
UPPDC1,0.0,0.0
GARFT,0.0,-5.407345977058422e-16
H4THDPR,0.0,0.0
UDPG4E,0.0,0.0
GLCS3,0.0,0.0
ASPTA,0.0,0.0
PRAGSr,0.0,-4.271990361033868e-16
KAS14,0.0,0.0
UDCPDPS,0.0,5.806003205230736e-16
GLNS,0.0,-8.686236886351606e-16
SHKK,0.0,0.0
G1PACT,0.0,8.686236886351604e-16
5DOAN,0.0,0.0
OHPBAT,0.0,0.0
Htex,0.0,0.0
3HAD60,0.0,0.0
PGI,0.0,-0.0
PNTK,0.0,0.0
3OAR60,0.0,-0.0
ACGK,0.0,-1.3549504054443744e-15
LEUabcpp,0.0,0.0
G5SD,0.0,4.930380657631324e-32
DTMPK,0.0,-0.0
NDH_1_1_um_copy1,0.0,0.0
HSTPT,0.0,1.3347601730292359e-31
U23GAAT2,0.0,0.0
PGK,0.0,-0.0
IMPD,0.0,3.431535857699915e-16
LPOR,0.0,0.0
CHRPL,0.0,0.0
GCALDDy,0.0,0.0
RNDR1,0.0,0.0
AIRC2,0.0,0.0
MTAP,0.0,-1.050940205730338e-15
DHORD3um,0.0,0.0
TRPS1,0.0,2.903001602615369e-16
NNATr,0.0,0.0
3OAR120,0.0,-0.0
HISTDb,0.0,4.930380657631324e-32
ADCL,0.0,0.0
CYTK1,0.0,-0.0
Cobalt2abcppI,0.0,0.0
THRS,0.0,-2.465190328815662e-32
AOXPBDC,0.0,0.0
NAMNPP,0.0,-0.0
PERD,0.0,1.2958227247385476e-15
DAPDC,0.0,0.0
COCHL_1,0.0,0.0
3OAR100,0.0,-0.0
ZNabcpp,0.0,-0.0
GLYDHDA,0.0,-2.1359951805169337e-16
ANS,0.0,8.686236886351605e-16
SUCBZL,0.0,-1.8804205083095435e-15
ADPT,0.0,-6.841538801960123e-32
RNDR3,0.0,0.0
DHNANT,0.0,0.0
GND,0.0,0.0
O2tcx,0.0,-0.0
TRPS3,0.0,0.0
DNTPPA,0.0,0.0
HOXGfx,0.0,1.0509402057303381e-15
TMPPP_1,0.0,0.0
ACONT,0.0,0.0
IGPS,0.0,0.0
HBZNPT,0.0,0.0
HSDy,0.0,9.814705721706497e-32
GLYOX,0.0,0.0
AICART,0.0,3.2788909092931853e-16
SQD1,0.0,0.0
GK1,0.0,-0.0
PPND,0.0,8.68623688635161e-16
IPDPS_syn,0.0,0.0
H4THDPS,0.0,3.822969718259471e-16
BIOMASS_PIGMENTS,0.0,0.0
3HAD160,0.0,-0.0
HISTDa,0.0,-4.930380657631324e-32
ADSL1r,0.0,3.4315358576999146e-16
H2Otu_syn,0.0,0.0
ACOATA,0.0,0.0
GLCP2_1,0.0,0.0
MAN1PT,0.0,0.0
DMBZIDS2,0.0,-1.8804205083095435e-15
CS,0.0,0.0
DMATT,0.0,0.0
PSP_L,0.0,5.783235283736239e-16
NDPK3,0.0,0.0
G3PD2,0.0,0.0
PHYTES,0.0,0.0
MOHMT,0.0,-8.31034757967379e-16
FBA,0.0,0.0
BIOMASS__1,0.0,-7.252196863359431e-18
ACLSa,0.0,0.0
ASAD,0.0,-9.860761315262648e-32
PSCVT,0.0,-0.0
TYRTA,0.0,0.0
DHFS,0.0,-4.863267168092134e-16
AMPMS3,0.0,-0.0
ACBIPGT,0.0,0.0
ATPM,0.0,0.0
SEPHCHCS,0.0,0.0
NMNDA,0.0,0.0
IGPDH,0.0,-1.0947644252537633e-47
OMPDC,0.0,-5.897439440390312e-31
3OAR80,0.0,-0.0
3OAR180,0.0,-0.0
GLUSfx,0.0,-2.2702123252919788e-31
NADS2,0.0,3.4315358576999136e-16
GLUTRR,0.0,-1.0117968196743825e-15
UAMAGS,0.0,-4.863267168092134e-16
FOLD3,0.0,-5.254701028651691e-16
3HAD100,0.0,0.0
GALUi,0.0,0.0
P5CR,0.0,-9.860761315262648e-32
PQH2tum,0.0,0.0
ICHORS,0.0,-0.0
3OAS140,0.0,0.0
SBP,0.0,-0.0
EAR60y,0.0,0.0
O2tu,0.0,0.0
SULabcpp,0.0,0.0
PPK,0.0,-0.0
BIOMASS_DNA,0.0,0.0
UAPGR,0.0,0.0
DHAD1,0.0,0.0
IPPS,0.0,4.930380657631324e-32
PPBNGS,0.0,0.0
PHYTES2_1,0.0,0.0
3HAD80,0.0,0.0
LTHRK,0.0,-4.2719903610338684e-16
ADCPS2,0.0,-5.254701028651692e-16
GF6PTA,0.0,-0.0
O2tpp,0.0,0.0
PGMT,0.0,0.0
3OAR140,0.0,-0.0
NDPK2,0.0,0.0
LPADSS2,0.0,0.0
DPR,0.0,-0.0
H2Otex,0.0,-0.0
TKT2,0.0,0.0
SK_for_c,0.0,0.0
PPNCL2,0.0,-9.860761315262648e-32
CYTBD4cm,0.0,0.0
HPYRRy,0.0,0.0
CHORS,0.0,0.0
3OAR160,0.0,-0.0
ADMDC,0.0,-9.860761315262648e-32
PPPGO2_1,0.0,0.0
ASP1DC,0.0,0.0
MI3PP,0.0,0.0
FTHFD,0.0,-5.407345977058422e-16
MEPCT,0.0,0.0
PDX5POi,0.0,-1.1072928668906194e-31
PPCDC,0.0,0.0
NTD6,0.0,0.0
NNDMBRT,0.0,-5.254701028651691e-16
PRAIS,0.0,0.0
ORNTAC,0.0,9.860761315262648e-32
SUCBZS,0.0,0.0
HGYDAS,0.0,1.737247377270321e-15
GGDPR,0.0,0.0
ASPCT,0.0,5.161058023088215e-32
PPNDH,0.0,0.0
ME2,0.0,-0.0
APRAUR,0.0,0.0
SADT,0.0,0.0
LDH_D,0.0,0.0
DPCOAK,0.0,1.0785053145592905e-15
O2tex,0.0,0.0
DPOR,0.0,0.0
ARGSL,0.0,-1.9721522630525295e-31
HSK,0.0,1.2958227247385476e-15
EAR120y,0.0,0.0
BCAROHX2,0.0,0.0
HPPK,0.0,-0.0
PPNCL3,0.0,-5.2547010286516945e-16
AHCi,0.0,-1.0662047005710112e-15
G6PDH2r,0.0,0.0
PMANM,0.0,-0.0
CPPPGO2,0.0,-2.1018804114606754e-15
PC17M_1,0.0,0.0
ACCOAC,0.0,0.0
CYOOum,0.0,0.0
ACLSb,0.0,0.0
METS_1,0.0,0.0
TRPS2,0.0,2.903001602615369e-16
PRUK,0.0,0.0
GART,0.0,0.0
G5SADs,0.0,-0.0
DMTPHT,0.0,0.0
SPMDabcpp,0.0,-1.0252386125120186e-16
DHAD2,0.0,0.0
PRAMPC,0.0,0.0
3OAS80,0.0,0.0
BIOMASS_CELL_WALL,0.0,4.030173258875658e-16
UHGADA2,0.0,0.0
ASPO6,0.0,8.686236886351606e-16
ASPK,0.0,0.0
DXPS,0.0,0.0
PRATPP,0.0,0.0
NH4tpp,0.0,0.0
PAPSR,0.0,0.0
NAD_H2,0.0,0.0
CYRDAAT,0.0,-4.930380657631324e-32
NTPP8,0.0,0.0
PC11M,0.0,0.0
ARGabcpp,0.0,0.0
PMDPHT,0.0,0.0
DAPE,0.0,0.0
LYCOPC,0.0,0.0
RB15BPtcx,0.0,0.0
GLCBRAN3,0.0,0.0
DB4PS,0.0,0.0
DXPRIi,0.0,0.0
GTPCII,0.0,0.0
RBFSa,0.0,0.0
GLUTRS,0.0,4.930380657631324e-32
ALDD2y,0.0,0.0
EHGLAT,0.0,-0.0
METAT,0.0,-9.860761315262648e-32
DHORTS,0.0,-0.0
PDX5PS2,0.0,0.0
GAPDi_nadp,0.0,0.0
PGCD,0.0,-0.0
AIRC3,0.0,0.0
UMPK,0.0,-0.0
CBPS,0.0,1.2117772744051526e-15
3HAD180,0.0,-0.0
RBFSb_1,0.0,0.0
GLNabcpp,0.0,-3.822969718259471e-16
NDPK8,0.0,-0.0
PC6YM_1,0.0,0.0
DDPA,0.0,-0.0
ACOTA,0.0,0.0
FBP,0.0,-0.0
MNabc_1,0.0,0.0
NTD7,0.0,0.0
MPOMMM,0.0,0.0
MTHFD,0.0,0.0
PANTS,0.0,3.4315358576999156e-16
TMPK,0.0,0.0
KARI_23dhmp_1,0.0,0.0
IPMD,0.0,0.0
3PGtcx,0.0,0.0
CDPMEK,0.0,0.0
DVOCHR_1,0.0,0.0
HEMEOS,0.0,0.0
RPE,0.0,0.0
MPOMT_1,0.0,0.0
UAMAS,0.0,2.903001602615369e-16
BPNT2,0.0,0.0
