change_type,reaction_id,reaction_name,subsystem,gpr_before,gpr_after,genes_before,genes_after,added_genes_in_rule,removed_genes_in_rule
added_reaction,3HOPCD,3-hydroxypimeloyl-CoA dehydrogenase,Aromatic Compound degradation,,ACXYSJ_22125,,ACXYSJ_22125,ACXYSJ_22125,
added_reaction,ADNt2pp,adn transport (p to c),Unknown,,,,,,
added_reaction,ADNtex,adn transport (e to p),Unknown,,,,,,
added_reaction,ALA__Dtex,ala__D transport (e to p),Unknown,,,,,,
added_reaction,ALA__Ltex,ala__L transport (e to p),Unknown,,,,,,
added_reaction,ASN__Lt2pp,asn__L transport (p to c),Unknown,,,,,,
added_reaction,ASN__Ltex,asn__L transport (e to p),Unknown,,,,,,
added_reaction,CA2t2pp,ca2 transport (p to c),Unknown,,,,,,
added_reaction,CYTDt2pp,cytd transport (p to c),Unknown,,,,,,
added_reaction,DAD_2t2pp,dad_2 transport (p to c),Unknown,,,,,,
added_reaction,DAD_2tex,dad_2 transport (e to p),Unknown,,,,,,
added_reaction,DCYTt2pp,dcyt transport (p to c),Unknown,,,,,,
added_reaction,DCYTtex,dcyt transport (e to p),Unknown,,,,,,
added_reaction,DGSNt2pp,dgsn transport (p to c),Unknown,,,,,,
added_reaction,DKGLCNR3,2 5 diketo D gluconate reductase,S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,,ACXYSJ_09900,,ACXYSJ_09900,ACXYSJ_09900,
added_reaction,ETOHtex,etoh transport (e to p),Unknown,,,,,,
added_reaction,EX_photon_purple_e,Purple Photon Exchange,Unknown,,,,,,
added_reaction,FORt,Formate transport via diffusion,Unknown,,ACXYSJ_23625,,ACXYSJ_23625,ACXYSJ_23625,
added_reaction,FRUt2pp,fru transport (p to c),Unknown,,,,,,
added_reaction,FTHFLi,Formate--tetrahydrofolate ligase,Unknown,,,,,,
added_reaction,G5SD_copy1,Glutamate-5-semialdehyde dehydrogenase,S_Glutamate_Metabolism,,ACXYSJ_23905,,ACXYSJ_23905,ACXYSJ_23905,
added_reaction,G5SD_copy2,Glutamate-5-semialdehyde dehydrogenase,S_Glutamate_Metabolism,,ACXYSJ_23905,,ACXYSJ_23905,ACXYSJ_23905,
added_reaction,GLU__Ltex,glu__L transport (e to p),Unknown,,,,,,
added_reaction,GLYCtex,glyc transport (e to p),Unknown,,,,,,
added_reaction,H2tex,h2 transport (e to p),Unknown,,,,,,
added_reaction,HVCD,3-hydroxyacyl-CoA dehydrogenase (3-hydroxyacyl-CoA dehydrogenase (3-oxovaleryl-CoA)),S_Fatty_Acid_Metabolism,,ACXYSJ_22125,,ACXYSJ_22125,ACXYSJ_22125,
added_reaction,ILE__Ltex,ile__L transport (e to p),Unknown,,,,,,
added_reaction,LUMPED_ANAEROBIC_C16_1,Lumped anaerobic synthesis of Palmitoleoyl-ACP (C16:1),Unknown,,,,,,
added_reaction,LUMPED_ANAEROBIC_C18_1,Lumped anaerobic synthesis of Stearoyl-ACP delta-9 (C18:1),Unknown,,,,,,
added_reaction,LYS__Ltex,lys__L transport (e to p),Unknown,,,,,,
added_reaction,MANt2pp,man transport (p to c),Unknown,,,,,,
added_reaction,MANtex,man transport (e to p),Unknown,,,,,,
added_reaction,NH4t,Ammonia reversible transport,Unknown,,ACXYSJ_24555,,ACXYSJ_24555,ACXYSJ_24555,
added_reaction,NITOR,nitrite:(acceptor) oxidoreductase,Unknown,,ACXYSJ_23610,,ACXYSJ_23610,ACXYSJ_23610,
added_reaction,PA140abcpp,"Phosphatidate transport via ABC system (n-C14:0, periplasm)",Unknown,,PGIDNB_17685,,PGIDNB_17685,PGIDNB_17685,
added_reaction,PA141abcpp,"Phosphatidate transport via ABC system (n-C14:1, periplasm)",Unknown,,PGIDNB_17685,,PGIDNB_17685,PGIDNB_17685,
added_reaction,PA160abcpp,"Phosphatidate transport via ABC system (n-C16:0, periplasm)",Unknown,,PGIDNB_17685,,PGIDNB_17685,PGIDNB_17685,
added_reaction,PDXSP,Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing),Unknown,,,,,,
added_reaction,PE140abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:0, periplasm)",Unknown,,PGIDNB_17685,,PGIDNB_17685,PGIDNB_17685,
added_reaction,PE160abcpp,"Phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)",Unknown,,PGIDNB_17685,,PGIDNB_17685,PGIDNB_17685,
added_reaction,PE181abcpp,"Phosphatidylethanolamine transport via ABC system (n-C18:1, periplasm)",Unknown,,PGIDNB_17685,,PGIDNB_17685,PGIDNB_17685,
