reaction_id,base_token,bridge_type,met_from,met_to,reaction_name,lower_bound,upper_bound,gene_reaction_rule,equation,action
TR_12ppd__S_ce,12ppd__S,ce,12ppd__S_e,12ppd__S_c,12ppd__S transport c<->e,-1000.0,1000.0,,12ppd__S_e <=> 12ppd__S_c,
TR_34dhcinm_ce,34dhcinm,ce,34dhcinm_e,34dhcinm_c,34dhcinm transport c<->e,-1000.0,1000.0,,34dhcinm_e <=> 34dhcinm_c,
TR_3hbz_ce,3hbz,ce,3hbz_e,3hbz_c,3hbz transport c<->e,-1000.0,1000.0,,3hbz_e <=> 3hbz_c,
TR_4abut_ce,4abut,ce,4abut_e,4abut_c,4abut transport c<->e,-1000.0,1000.0,,4abut_e <=> 4abut_c,
TR_4hbz_ce,4hbz,ce,4hbz_e,4hbz_c,4hbz transport c<->e,-1000.0,1000.0,,4hbz_e <=> 4hbz_c,
TR_4hbzf_ce,4hbzf,ce,4hbzf_e,4hbzf_c,4hbzf transport c<->e,-1000.0,1000.0,,4hbzf_e <=> 4hbzf_c,
TR_4hphac_ce,4hphac,ce,4hphac_e,4hphac_c,4hphac transport c<->e,-1000.0,1000.0,,4hphac_e <=> 4hphac_c,
TR_5dglcn_ce,5dglcn,ce,5dglcn_e,5dglcn_c,5dglcn transport c<->e,-1000.0,1000.0,,5dglcn_e <=> 5dglcn_c,
TR_T4hcinnm_ce,T4hcinnm,ce,T4hcinnm_e,T4hcinnm_c,T4hcinnm transport c<->e,-1000.0,1000.0,,T4hcinnm_e <=> T4hcinnm_c,
TR_ac_ce,ac,ce,ac_e,ac_c,ac transport c<->e,-1000.0,1000.0,,ac_e <=> ac_c,
TR_acac_ce,acac,ce,acac_e,acac_c,acac transport c<->e,-1000.0,1000.0,,acac_e <=> acac_c,
TR_acald_ce,acald,ce,acald_e,acald_c,acald transport c<->e,-1000.0,1000.0,,acald_e <=> acald_c,
TR_acglu_ce,acglu,ce,acglu_e,acglu_c,acglu transport c<->e,-1000.0,1000.0,,acglu_e <=> acglu_c,
TR_acmana_ce,acmana,ce,acmana_e,acmana_c,acmana transport c<->e,-1000.0,1000.0,,acmana_e <=> acmana_c,
TR_adocbl_ce,adocbl,ce,adocbl_e,adocbl_c,adocbl transport c<->e,-1000.0,1000.0,,adocbl_e <=> adocbl_c,
TR_akg_ce,akg,ce,akg_e,akg_c,akg transport c<->e,-1000.0,1000.0,,akg_e <=> akg_c,
