orphan_type,metabolite_id,compartment,formula,reaction_count,reaction_ids,internal_reactions,boundary_reactions,action
boundary_only,glcur_e,e,C6H9O7,1,EX_glcur_e,,EX_glcur_e,
boundary_only,ibt_e,e,C4H7O2,1,EX_ibt_e,,EX_ibt_e,
single_internal_reaction,12dgr120_c,c,C27H52O5,1,DAGK120,DAGK120,,
single_internal_reaction,12dgr140_c,c,C31H60O5,1,DAGK140,DAGK140,,
single_internal_reaction,12dgr141_c,c,C31H56O5,1,DAGK141,DAGK141,,
single_internal_reaction,12dgr181_9_c,c,C39H72O5,1,SQD2_181_9,SQD2_181_9,,
single_internal_reaction,12dgr182_9_12_c,c,C39H68O5,1,SQD2_182_9_12,SQD2_182_9_12,,
single_internal_reaction,12dgr183_6_9_12_c,c,C39H64O5,1,SQD2_183_6_9_12,SQD2_183_6_9_12,,
single_internal_reaction,12dgr183_9_12_15_c,c,C39H64O5,1,SQD2_183_9_12_15,SQD2_183_9_12_15,,
single_internal_reaction,12dgr184_6_9_12_15_c,c,C39H60O5,1,SQD2_184_6_9_12_15,SQD2_184_6_9_12_15,,
single_internal_reaction,14dhncoa_c,c,C32H38N7O19P3S,1,DHNCOAT,DHNCOAT,,
single_internal_reaction,15dap_c,c,C5H16N2,1,LYSDC,LYSDC,,
single_internal_reaction,1agpe120_p,p,C17H36NO7P1,1,LPLIPAL1E120pp,LPLIPAL1E120pp,,
single_internal_reaction,1agpe141_p,p,C19H38NO7P1,1,LPLIPAL1E141pp,LPLIPAL1E141pp,,
single_internal_reaction,1agpe161_p,p,C21H42NO7P1,1,LPLIPAL1E161pp,LPLIPAL1E161pp,,
single_internal_reaction,1odec691215eg3p_c,c,C21H33O7P1,1,G3PAT183_6_9_12,G3PAT183_6_9_12,,
single_internal_reaction,1odec6912eg3p_c,c,C21H35O7P1,1,G3PAT184_6_9_12_15,G3PAT184_6_9_12_15,,
single_internal_reaction,1odec91215eg3p_c,c,C21H35O7P1,1,G3PAT183_9_12_15,G3PAT183_9_12_15,,
single_internal_reaction,1odec912eg3p_c,c,C21H37O7P1,1,G3PAT182_9_12,G3PAT182_9_12,,
single_internal_reaction,23ddhb_c,c,C7H7O4,1,DHBD,DHBD,,
single_internal_reaction,23dhacoa_c,c,C27H37N7O19P3S,1,DHACOAH,DHACOAH,,
single_internal_reaction,23dhba_c,c,C17H17N5O10P,1,DHBS,DHBS,,
single_internal_reaction,23doguln_c,c,C6H7O7,1,23DOGULNt4pp,23DOGULNt4pp,,
single_internal_reaction,23doguln_p,p,C6H7O7,1,23DOGULNt4pp,23DOGULNt4pp,,
single_internal_reaction,2ddecg3p_c,c,C15H30O7P1,1,LPLIPAL2A120,LPLIPAL2A120,,
single_internal_reaction,2ddg6p_c,c,C6H8O9P,1,EDD,EDD,,
single_internal_reaction,2dhphaccoa_c,c,C29H40N7O19P3S,1,PHACOAOR,PHACOAOR,,
single_internal_reaction,2h3opp_c,c,C3H3O4,1,GLXCBL,GLXCBL,,
