,fluxes,reduced_costs
QULNS,0.00018395992159458833,0.0
ORNDC,9.121979583143045e-05,5.551115123125783e-17
MSBENZMT,0.0,0.0
DESAT18a,0.0,1.1084463244140892e-16
FUM,0.17955333122836487,0.0
PHYFXOR,0.0,2.220446049250313e-16
VPAMTr,0.12614517186114516,2.7755575615628914e-17
GLYCL,0.0,-2.7168165857789146e-16
NDPK7,0.0,9.851255591579293e-17
GTPCI,0.006621104555061527,-5.551115123125783e-17
MTHFC,0.12322623752426862,0.0
GCATENEC,0.0,-2.6981546937144036e-16
ORNTA,-9.121979583143044e-05,-7.647375442208056e-17
UPPDC1,0.008771031079348027,-2.220446049250313e-16
GARFT,0.0,-0.007100779084299175
H4THDPR,0.0,-3.3288923736644024e-16
UDPG4E,0.0,8.505388645523364e-17
GLCS3,0.0,-1.432489179660024e-16
ASPTA,-8.172840684249634,-0.0
PRAGSr,0.08398086844877879,1.3877787807814457e-17
ACKr,0.0,-0.0
KAS14,0.0,-2.649500409036568e-16
UDCPDPS,8.108426296110192e-06,1.1102230246251565e-16
GLNS,0.0,-0.007100779084297857
SHKK,0.1315468109694076,0.0
G1PACT,0.22174833951750683,0.0
5DOAN,3.7163620523916094e-05,0.0
OHPBAT,0.0,0.0
Htex,0.0,0.0
3HAD60,11.526967257670625,0.0
PGI,-0.06204168839400365,-3.367072865727607e-17
PNTK,0.002342189293362866,5.551115123125783e-17
3OAR60,11.526967257670627,0.0
ACGK,0.0,-5.551115123125783e-17
LEUabcpp,0.0,1.1102230246251565e-16
G5SD,0.09029046950211239,-2.220446049250313e-16
DTMPK,2.65399196850745e-05,0.0
NDH_1_1_um_copy1,79.68417860734495,-1.5785983631388945e-16
HSTPT,0.03396443535418503,-1.9118438605520144e-17
U23GAAT2,0.0,-2.220446049250313e-16
PGK,-2.255276154743421,-2.0251232073026576e-16
IMPD,0.019993910423434794,-2.220446049250313e-16
LPOR,0.008753040508503496,-3.3306690738754696e-16
CHRPL,0.005313198500941434,-2.7755575615628914e-17
GCALDDy,0.0,1.7749354792313967e-15
RNDR1,2.7057088022645866e-05,5.551115123125783e-17
AIRC2,0.0,-0.007100779084297707
MTAP,6.216460160364149e-05,-5.551115123125783e-17
DHORD3um,0.0,-0.004915923981434192
TRPS1,0.0,-0.007100779084310629
NNATr,0.00018395992159458835,1.801838140427113e-16
3OAR120,0.0,0.0
HISTDb,0.03396443535418503,0.0
ADCL,0.005353064930230727,-5.551115123125783e-17
CYTK1,0.20435427682771237,0.0
PSIum,180.0,0.0
Cobalt2abcppI,0.0,-0.007100779084297798
THRS,7.751675271806284,-2.7755575615628914e-17
AOXPBDC,0.0,0.0
NAMNPP,3.6318992784736194e-06,-6.192121835022177e-17
PERD,0.0,0.0
DAPDC,0.06018355628030064,5.551115123125783e-17
COCHL_1,3.6318992784736185e-06,-8.881784197001252e-16
3OAR100,11.526948675860362,0.0
PPK2,11.98023242093497,-6.910183879985801e-17
ZNabcpp,5.222145074431116e-07,0.0
GLYDHDA,-2.284322429570625,-1.0450977057741252e-16
ANS,0.0,-1.563285406309529e-17
SUCBZL,0.0,-0.014201558168591193
ADPT,9.932822212755758e-05,-5.803906750131578e-17
RNDR3,0.0,-1.2460622730840852e-16
DHNANT,1.4274208792140503e-05,-5.551115123125783e-16
GND,0.0,-1.1102230246251565e-16
O2tcx,0.0,0.0
TRPS3,0.021713154256725414,5.551115123125783e-17
DNTPPA,0.005353064930230727,0.0
HOXGfx,0.0,5.028997365671215e-15
TMPPP_1,1.799057084453211e-05,-1.734723475976807e-18
ACONT,0.3679679146309163,0.0
IGPS,0.021713154256725417,5.551115123125783e-17
HBZNPT,0.0,1.3704315460216776e-16
HSDy,0.0,1.7749354792313967e-15
GLYOX,0.0,-0.014201558168595557
AICART,0.11792731323211932,-2.220446049250313e-16
SQD1,0.0,0.0
GK1,0.019997542322713172,0.0
R05219,3.631899278473618e-06,-1.1102230246251565e-16
PPND,0.036896160023919385,2.220446049250313e-16
IPDPS_syn,0.0,-1.996802414135321e-15
H4THDPS,0.0,0.0
BIOMASS_PIGMENTS,0.013982492825079204,4.440892098500626e-16
3HAD160,0.0,0.0
HISTDa,0.03396443535418503,-2.220446049250313e-16
ADSL1r,0.09793340280868454,6.938893903907228e-17
H2Otu_syn,-10.0,-0.0
ADOCBLS,3.6318992784736194e-06,5.551115123125783e-16
ALAALAr,0.11087416975875343,-5.551115123125783e-17
ACOATA,0.0,-1.3877787807814457e-16
GLCP2_1,0.0,-4.336808689942018e-18
GLYCK,0.0,-0.007100779084310263
MAN1PT,0.0,1.1961679949003588e-16
DMBZIDS2,3.6318992784736198e-06,-1.1102230246251565e-16
CS,0.3679679146309163,5.551115123125783e-17
DMATT,0.04577545516876061,1.3877787807814457e-16
PSP_L,0.0,1.2452462203335815e-14
NDPK3,0.2066964661210753,6.868188952381096e-17
G3PD2,3.01406725813668,-6.553688893098302e-15
PHYTES,0.015850553866509787,-5.724587470723463e-17
MOHMT,0.002342189293362866,5.551115123125783e-17
FBA,0.0,1.7253837015253694e-17
BIOMASS__1,0.7097712093948835,1.7763568394002505e-15
ACLSa,0.0,-3.729603783162799e-17
ASAD,-7.967836143610819,4.440892098500626e-16
PSCVT,0.1315468109694076,0.0
TYRTA,-0.036896160023919385,-1.9730490451906402e-17
SERAT,0.028411544916568703,0.0
DHFS,0.005353064930230727,0.0
AMPMS3,0.0,-0.0
ACBIPGT,3.6318992784736194e-06,-1.6653345369377348e-16
ATPM,0.0,-0.007100779084297834
SEPHCHCS,0.0,2.7755575615628914e-17
NMNDA,0.0,-0.007100779084298072
IGPDH,0.03396443535418503,0.0
OMPDC,0.02058211073723869,0.0
3OAR80,11.526967257670625,0.0
3OAR180,0.0,-0.0
GLUSfx,0.0,4.765403864110213e-18
NADS2,0.0,-3.3306690738754696e-16
GLUTRR,0.07034122839576826,-1.1102230246251565e-16
UAMAGS,0.11087416975875344,0.0
FOLD3,0.0,-0.007100779084297889
3HAD100,11.526948675860362,0.0
GALUi,0.001268039624830801,-2.5516165936570094e-16
P5CR,0.0,-1.8859577816939123e-15
PQH2tum,0.0,0.0
ICHORS,0.0,0.0
3OAS140,0.0,2.8173972456128897e-17
SBP,0.0,1.5090010857962035e-14
EAR60y,0.0,-1.996802414135321e-15
O2tu,5.0,0.0
SULabcpp,0.0,0.0
PPK,-13.19663679346864,-0.0
BIOMASS_DNA,0.00518132982858265,8.673617379884035e-19
UAPGR,0.11087416975875343,-1.1084463244140892e-16
DHAD1,0.30174156064373686,0.0
IPPS,0.1732541994892288,-1.6653345369377348e-16
PPBNGS,0.03517061419788412,5.551115123125783e-17
PRE3BS,3.631899278473618e-06,2.220446049250313e-16
PHYTES2_1,0.015850553866509787,1.6479873021779667e-16
3HAD80,11.526967257670623,0.0
LTHRK,3.6318992784736198e-06,0.0
ADCPS2,3.6318992784736194e-06,0.0
GF6PTA,0.22174833951750683,2.326786689468932e-17
O2tpp,-14.245313363300824,-0.0
PGMT,-0.36590993223983426,-0.0
3OAR140,0.0,-0.0
NDPK2,0.2435984898795764,0.0
LPADSS2,0.0,0.0
DPR,0.002342189293362866,0.0
H2Otex,9.712157329121824,0.0
TKT2,-0.14122753322606338,6.808824085363965e-17
SK_for_c,0.0,-0.028403116337217028
PPNCL2,0.0,4.294708480921421e-17
CYTBD4cm,0.0,0.0
HPYRRy,0.0,-1.8859577816939123e-15
CHORS,0.1315468109694076,0.0
3OAR160,0.0,2.376234591916016e-16
ADMDC,6.216460160364148e-05,-1.1102230246251565e-16
PPPGO2_1,0.008771031079348027,-2.0816681711721685e-17
ASP1DC,0.0023421892933628654,0.0
MI3PP,0.0,0.0
CYSS_2,0.028411544916568703,-2.7755575615628914e-17
FTHFD,0.0,-0.014201558168597065
MEPCT,0.20435427682771237,2.7582103268031233e-16
PDX5POi,1.8581810261958054e-05,4.323433801915056e-17
PPCDC,0.0023421892933628654,0.0
NTD6,0.0,9.248646782489898e-17
NNDMBRT,3.6318992784736194e-06,-5.551115123125783e-17
PRAIS,0.0839808684487788,-5.551115123125783e-17
ORNTAC,0.0,-2.1190111122772479e-16
SUCBZS,0.0,0.0
HGYDAS,3.631899278473618e-06,0.0
GGDPR,1.427420879605185e-05,0.0
ASPCT,0.020582110737238687,0.0
PPNDH,0.062271233257590645,0.0
ME2,-8.361255267652187,-0.0
APRAUR,3.437634900170175e-05,-3.3306690738754696e-16
SADT,0.07351469068203703,0.0
LDH_D,0.0,-1.3063721322176567e-17
DPCOAK,0.0023421892933628654,2.220446049250313e-16
O2tex,-14.245313363300824,-0.0
DPOR,0.0,-0.014201558168594957
ARGSL,0.0,1.3877787807814457e-17
HSK,7.751675271806284,-1.1102230246251565e-16
EAR120y,0.0,-1.1102230246251565e-16
BCAROHX2,0.0,-1.1102230246251565e-16
HPPK,0.0,8.07500069583524e-17
PPNCL3,0.0,8.07500069583524e-17
AHCi,0.029586953232144598,1.1102230246251565e-16
G6PDH2r,0.0,-0.011834631807164472
PMANM,0.0,3.7864078496800535e-17
CPPPGO2,0.0,-0.71481176115311
PC17M_1,3.631899278473618e-06,0.0
ACCOAC,80.68889479383814,0.0
CYNL,0.0,0.0
CYOOum,0.0,-0.027966145316663013
ACLSb,0.0,7.372626463088767e-17
DNMPPA,0.005353064930230728,0.0
METS_1,0.0,2.5674320965955433e-16
TRPS2,0.0,-0.007100779084310666
PRUK,0.0,-5.551115123125783e-17
FNOR_1,0.0,1.7735141190625427e-15
GART,0.08398086844877879,0.0
G5SADs,0.09019924970628096,0.0
DMTPHT,1.4274208792140503e-05,2.220446049250313e-16
SPMDabcpp,0.0,-5.551115123125783e-17
DHAD2,0.09084733820683448,0.0
PRAMPC,0.03396443535418503,0.0
3OAS80,11.526967257670625,0.0
G1PCTYT,0.0,-5.724587470723463e-17
BIOMASS_CELL_WALL,0.05642681114689325,0.0
CA2abcpp,0.0,-0.007100779084297798
UHGADA2,0.0,1.3877787807814457e-16
ASPO6,0.00018395992159458835,1.3877787807814457e-17
ASPK,7.967836143610819,0.0
DXPS,0.20439084920881886,-1.3877787807814457e-17
PRATPP,0.03396443535418503,-1.682681771697503e-16
NH4tpp,0.0,0.0
PAPSR,0.07351469068203706,2.5500435096859064e-16
NAD_H2,0.0,-0.0
CYRDAAT,3.6318992784736194e-06,1.1102230246251565e-16
NTPP8,0.0,-0.007100779084297848
PC11M,3.631899278473618e-06,0.0
ARGabcpp,0.0,0.0
PMDPHT,3.4376349001701756e-05,0.0
DAPE,0.17105772603905406,0.0
LYCOPC,0.0,0.0
RB15BPtcx,0.0,0.0
GLCBRAN3,0.0,-0.0071007790842980995
DB4PS,6.875269800340351e-05,7.806255641895632e-17
DXPRIi,0.2043542768277124,-1.1102230246251565e-16
GTPCII,3.4376349001701756e-05,1.0581813203458523e-16
RBFSa,6.875269800340351e-05,-1.1102230246251565e-16
GLUTRS,0.07034122839576826,-1.1102230246251565e-16
ALDD2y,176.2033156474073,8.867570595312713e-16
EHGLAT,0.0,0.0
METAT,0.03505131154136634,0.0
DHORTS,-0.020582110737238687,-0.0
PDX5PS2,0.0,5.1139362675415396e-17
GAPDi_nadp,0.0,-1.553068544327472e-15
PGCD,0.0,-0.0
AIRC3,0.0,-0.0
UMPK,0.13145628049599214,0.0
CBPS,0.02058211073723869,-2.220446049250313e-16
3HAD180,0.0,0.0
IPPMIb,-0.17325419948922877,-2.7755575615628914e-17
RZ5PP,3.631899278473619e-06,1.1102230246251565e-16
RBFSb_1,0.0,3.039297417575265e-16
GLNabcpp,0.0,0.0
NDPK8,2.7057088022645862e-05,0.0
PC6YM_1,0.0,-2.220446049250313e-16
DDPA,0.13154681096940762,2.7755575615628914e-17
ACOTA,0.0,-0.0
FBP,0.0,1.5064004211065276e-14
MNabc_1,0.0,-0.0071007790842978515
NTD7,0.0,-0.007100779084297617
MPOMMM,0.0,-0.05680623267442968
MTHFD,0.1232262375242686,1.269361046714111e-16
PANTS,0.002342189293362866,-8.881784197001252e-16
TMPK,1.799057084453211e-05,1.1102230246251565e-16
ASNS1,0.0,-0.36924051238375316
KARI_23dhmp_1,0.0,-1.1102230246251565e-16
IPMD,0.17325419948922877,3.3306690738754696e-16
3PGtcx,0.0,1.3877787807814457e-17
CDPMEK,0.20435427682771237,1.1102230246251565e-16
CITCIa,0.0,0.0
DVOCHR_1,0.0,-1.1102230246251565e-16
H2CO3_NAt_syn,0.0,0.0
HEMEOS,0.0,-0.0
