kegg_class_level1,kegg_class_level2,reaction_count_final_model,reaction_percent_final_model,model_gene_count,model_gene_percent_of_mapped_model_genes,background_gene_count,background_gene_percent_of_mapped_genome_genes,enrichment_p_value,enrichment_fdr_bh,significant_fdr_0_05,reaction_assignment_basis,example_kegg_pathways
Reaction-type fallback,Reaction-type: Internal metabolic,1058,44.926,0,0.0,0,0.0,,,na,reaction_type_fallback,
Reaction-type fallback,Reaction-type: Transport,397,16.858,0,0.0,0,0.0,,,na,reaction_type_fallback,
Reaction-type fallback,Reaction-type: Exchange,231,9.809,0,0.0,0,0.0,,,na,reaction_type_fallback,
Metabolism,Metabolism of cofactors and vitamins,102,4.331,54,21.094,65,11.971,2.3498050846490147e-10,3.7596881354384234e-09,yes,kegg_ko_gene_mapping,map00860:Porphyrin metabolism | map00790:Folate biosynthesis | map00730:Thiamine metabolism | map00670:One carbon pool by folate | map00750:Vitamin B6 metabolism
Metabolism,Amino acid metabolism,95,4.034,46,17.969,80,14.733,0.02955203391274164,0.1576108475346221,no,kegg_ko_gene_mapping,"map00250:Alanine, aspartate and glutamate metabolism | map00260:Glycine, serine and threonine metabolism | map00400:Phenylalanine, tyrosine and tryptophan biosynthesis | map00300:Lysine biosynthesis | map00360:Phenylalanine metabolism"
Metabolism,Carbohydrate metabolism,91,3.864,43,16.797,66,12.155,0.0013344494414995855,0.010675595531996684,yes,kegg_ko_gene_mapping,map00010:Glycolysis / Gluconeogenesis | map00620:Pyruvate metabolism | map00500:Starch and sucrose metabolism | map00020:Citrate cycle (TCA cycle) | map00650:Butanoate metabolism
Environmental Information Processing,Membrane transport,59,2.505,10,3.906,25,4.604,0.8255979902688457,0.9999999999082452,no,kegg_ko_gene_mapping,map02010:ABC transporters | map02060:Phosphotransferase system (PTS)
Metabolism,Lipid metabolism,51,2.166,8,3.125,11,2.026,0.07841912752951449,0.25094120809444637,no,kegg_ko_gene_mapping,map00564:Glycerophospholipid metabolism | map00061:Fatty acid biosynthesis | map01040:Biosynthesis of unsaturated fatty acids | map00561:Glycerolipid metabolism | map00120:Primary bile acid biosynthesis
Metabolism,Energy metabolism,37,1.571,16,6.25,27,4.972,0.136626520592029,0.3122891899246377,no,kegg_ko_gene_mapping,map00920:Sulfur metabolism | map00910:Nitrogen metabolism | map00190:Oxidative phosphorylation | map00195:Photosynthesis | map00680:Methane metabolism
Metabolism,Biosynthesis of other secondary metabolites,36,1.529,4,1.562,7,1.289,0.4374156725277581,0.77762786227157,no,kegg_ko_gene_mapping,map00333:Prodigiosin biosynthesis | map00521:Streptomycin biosynthesis | map00261:Monobactam biosynthesis
Metabolism,Nucleotide metabolism,36,1.529,12,4.688,17,3.131,0.042068755914411574,0.1682750236576463,no,kegg_ko_gene_mapping,map00230:Purine metabolism | map00240:Pyrimidine metabolism
Metabolism,Glycan biosynthesis and metabolism,30,1.274,16,6.25,28,5.157,0.18568224946924883,0.37136449893849766,no,kegg_ko_gene_mapping,map00550:Peptidoglycan biosynthesis | map00541:Biosynthesis of various nucleotide sugars | map00540:Lipopolysaccharide biosynthesis | map00520:Amino sugar and nucleotide sugar metabolism | map00552:Teichoic acid biosynthesis
Cellular Processes,Cellular community - prokaryotes,26,1.104,7,2.734,60,11.05,0.9999999999082452,0.9999999999082452,no,kegg_ko_gene_mapping,map02024:Quorum sensing | map02026:Biofilm formation - Escherichia coli
Metabolism,Xenobiotics biodegradation and metabolism,25,1.062,9,3.516,21,3.867,0.7325007504693706,0.9999999999082452,no,kegg_ko_gene_mapping,map00362:Benzoate degradation | map00627:Aminobenzoate degradation | map00624:Polycyclic aromatic hydrocarbon degradation
Environmental Information Processing,Signal transduction,21,0.892,10,3.906,37,6.814,0.997166940950417,0.9999999999082452,no,kegg_ko_gene_mapping,map02020:Two-component system | map04016:MAPK signaling pathway - plant | map04068:FoxO signaling pathway | map04013:MAPK signaling pathway - fly
Reaction-type fallback,Reaction-type: Demand/Sink,17,0.722,0,0.0,0,0.0,,,na,reaction_type_fallback,
Metabolism,Metabolism of terpenoids and polyketides,15,0.637,6,2.344,8,1.473,0.10850488977565986,0.28934637273509295,no,kegg_ko_gene_mapping,map00906:Carotenoid biosynthesis | map00900:Terpenoid backbone biosynthesis
Reaction-type fallback,Reaction-type: Biomass/Objective,11,0.467,0,0.0,0,0.0,,,na,reaction_type_fallback,
Genetic Information Processing,Translation,7,0.297,7,2.734,27,4.972,0.9941526792370109,0.9999999999082452,no,kegg_ko_gene_mapping,map00970:Aminoacyl-tRNA biosynthesis
Genetic Information Processing,"Folding, sorting and degradation",6,0.255,3,1.172,9,1.657,0.8807367234836013,0.9999999999082452,no,kegg_ko_gene_mapping,map04122:Sulfur relay system
Metabolism,Metabolism of other amino acids,4,0.17,5,1.953,10,1.842,0.5516934042154751,0.8827094467447602,no,kegg_ko_gene_mapping,map00440:Phosphonate and phosphinate metabolism | map00470:D-Amino acid metabolism | map00480:Glutathione metabolism
