subsystem,reaction_count,percent
Unassigned,1068,45.35
Membrane transport,705,29.936
Metabolism of cofactors and vitamins,102,4.331
Amino acid metabolism,95,4.034
Carbohydrate metabolism,91,3.864
Lipid metabolism,51,2.166
Energy metabolism,37,1.571
Biosynthesis of other secondary metabolites,36,1.529
Nucleotide metabolism,36,1.529
Glycan biosynthesis and metabolism,30,1.274
Cellular community - prokaryotes,26,1.104
Xenobiotics biodegradation and metabolism,25,1.062
Signal transduction,21,0.892
Metabolism of terpenoids and polyketides,15,0.637
Translation,7,0.297
"Folding, sorting and degradation",6,0.255
Metabolism of other amino acids,4,0.17
