stage,gene_id,prefix
iDT1294Photo,RPE_02015,RPE
iDT1294Photo,RPE_4644,RPE
iDT1294Photo,RPE_RS00010,RPE
iDT1294Photo,RPE_RS00055,RPE
iDT1294Photo,RPE_RS00090,RPE
iDT1294Photo,RPE_RS00125,RPE
iDT1294Photo,RPE_RS00160,RPE
iDT1294Photo,RPE_RS00165,RPE
iDT1294Photo,RPE_RS00180,RPE
iDT1294Photo,RPE_RS00210,RPE
iDT1294Photo,RPE_RS00225,RPE
iDT1294Photo,RPE_RS00265,RPE
iDT1294Photo,RPE_RS00330,RPE
iDT1294Photo,RPE_RS00345,RPE
iDT1294Photo,RPE_RS00370,RPE
iDT1294Photo,RPE_RS00445,RPE
iDT1294Photo,RPE_RS00460,RPE
iDT1294Photo,RPE_RS00480,RPE
iDT1294Photo,RPE_RS00485,RPE
iDT1294Photo,RPE_RS00490,RPE
iDT1294Photo,RPE_RS00520,RPE
iDT1294Photo,RPE_RS00525,RPE
iDT1294Photo,RPE_RS00530,RPE
iDT1294Photo,RPE_RS00550,RPE
iDT1294Photo,RPE_RS00560,RPE
iDT1294Photo,RPE_RS00590,RPE
iDT1294Photo,RPE_RS00605,RPE
iDT1294Photo,RPE_RS00665,RPE
iDT1294Photo,RPE_RS00680,RPE
iDT1294Photo,RPE_RS00705,RPE
iDT1294Photo,RPE_RS00720,RPE
iDT1294Photo,RPE_RS00725,RPE
iDT1294Photo,RPE_RS00745,RPE
iDT1294Photo,RPE_RS00770,RPE
iDT1294Photo,RPE_RS00775,RPE
iDT1294Photo,RPE_RS00790,RPE
iDT1294Photo,RPE_RS00795,RPE
iDT1294Photo,RPE_RS00800,RPE
iDT1294Photo,RPE_RS00810,RPE
iDT1294Photo,RPE_RS00825,RPE
iDT1294Photo,RPE_RS00835,RPE
iDT1294Photo,RPE_RS00840,RPE
iDT1294Photo,RPE_RS00845,RPE
iDT1294Photo,RPE_RS00870,RPE
iDT1294Photo,RPE_RS00885,RPE
iDT1294Photo,RPE_RS00905,RPE
iDT1294Photo,RPE_RS00910,RPE
iDT1294Photo,RPE_RS00925,RPE
iDT1294Photo,RPE_RS00940,RPE
iDT1294Photo,RPE_RS00945,RPE
iDT1294Photo,RPE_RS00965,RPE
iDT1294Photo,RPE_RS01020,RPE
iDT1294Photo,RPE_RS01025,RPE
iDT1294Photo,RPE_RS01045,RPE
iDT1294Photo,RPE_RS01070,RPE
iDT1294Photo,RPE_RS01090,RPE
iDT1294Photo,RPE_RS01100,RPE
iDT1294Photo,RPE_RS01120,RPE
iDT1294Photo,RPE_RS01125,RPE
iDT1294Photo,RPE_RS01130,RPE
iDT1294Photo,RPE_RS01150,RPE
iDT1294Photo,RPE_RS01175,RPE
iDT1294Photo,RPE_RS01195,RPE
iDT1294Photo,RPE_RS01225,RPE
iDT1294Photo,RPE_RS01230,RPE
iDT1294Photo,RPE_RS01250,RPE
iDT1294Photo,RPE_RS01275,RPE
iDT1294Photo,RPE_RS01285,RPE
iDT1294Photo,RPE_RS01290,RPE
iDT1294Photo,RPE_RS01295,RPE
iDT1294Photo,RPE_RS01340,RPE
iDT1294Photo,RPE_RS01345,RPE
iDT1294Photo,RPE_RS01395,RPE
iDT1294Photo,RPE_RS01405,RPE
iDT1294Photo,RPE_RS01410,RPE
iDT1294Photo,RPE_RS01415,RPE
iDT1294Photo,RPE_RS01420,RPE
iDT1294Photo,RPE_RS01455,RPE
iDT1294Photo,RPE_RS01465,RPE
iDT1294Photo,RPE_RS01485,RPE
iDT1294Photo,RPE_RS01490,RPE
iDT1294Photo,RPE_RS01505,RPE
iDT1294Photo,RPE_RS01520,RPE
iDT1294Photo,RPE_RS01525,RPE
iDT1294Photo,RPE_RS01540,RPE
iDT1294Photo,RPE_RS01555,RPE
iDT1294Photo,RPE_RS01560,RPE
iDT1294Photo,RPE_RS01565,RPE
iDT1294Photo,RPE_RS01570,RPE
iDT1294Photo,RPE_RS01610,RPE
iDT1294Photo,RPE_RS01665,RPE
iDT1294Photo,RPE_RS01670,RPE
iDT1294Photo,RPE_RS01675,RPE
iDT1294Photo,RPE_RS01700,RPE
iDT1294Photo,RPE_RS01710,RPE
iDT1294Photo,RPE_RS01715,RPE
iDT1294Photo,RPE_RS01720,RPE
iDT1294Photo,RPE_RS01730,RPE
iDT1294Photo,RPE_RS01775,RPE
iDT1294Photo,RPE_RS01780,RPE
iDT1294Photo,RPE_RS01800,RPE
iDT1294Photo,RPE_RS01825,RPE
iDT1294Photo,RPE_RS01830,RPE
iDT1294Photo,RPE_RS01840,RPE
iDT1294Photo,RPE_RS01855,RPE
iDT1294Photo,RPE_RS01895,RPE
iDT1294Photo,RPE_RS01900,RPE
iDT1294Photo,RPE_RS01955,RPE
iDT1294Photo,RPE_RS02000,RPE
iDT1294Photo,RPE_RS02015,RPE
iDT1294Photo,RPE_RS02020,RPE
iDT1294Photo,RPE_RS02025,RPE
iDT1294Photo,RPE_RS02035,RPE
iDT1294Photo,RPE_RS02040,RPE
iDT1294Photo,RPE_RS02135,RPE
iDT1294Photo,RPE_RS02145,RPE
iDT1294Photo,RPE_RS02150,RPE
iDT1294Photo,RPE_RS02155,RPE
iDT1294Photo,RPE_RS02170,RPE
iDT1294Photo,RPE_RS02190,RPE
iDT1294Photo,RPE_RS02195,RPE
iDT1294Photo,RPE_RS02200,RPE
iDT1294Photo,RPE_RS02210,RPE
iDT1294Photo,RPE_RS02215,RPE
iDT1294Photo,RPE_RS02230,RPE
iDT1294Photo,RPE_RS02240,RPE
iDT1294Photo,RPE_RS02275,RPE
iDT1294Photo,RPE_RS02280,RPE
iDT1294Photo,RPE_RS02285,RPE
iDT1294Photo,RPE_RS02290,RPE
iDT1294Photo,RPE_RS02295,RPE
iDT1294Photo,RPE_RS02305,RPE
iDT1294Photo,RPE_RS02345,RPE
iDT1294Photo,RPE_RS02355,RPE
iDT1294Photo,RPE_RS02360,RPE
iDT1294Photo,RPE_RS02370,RPE
iDT1294Photo,RPE_RS02375,RPE
iDT1294Photo,RPE_RS02385,RPE
iDT1294Photo,RPE_RS02405,RPE
iDT1294Photo,RPE_RS02470,RPE
iDT1294Photo,RPE_RS02485,RPE
iDT1294Photo,RPE_RS02520,RPE
iDT1294Photo,RPE_RS02530,RPE
iDT1294Photo,RPE_RS02560,RPE
iDT1294Photo,RPE_RS02565,RPE
iDT1294Photo,RPE_RS02570,RPE
iDT1294Photo,RPE_RS02575,RPE
iDT1294Photo,RPE_RS02580,RPE
iDT1294Photo,RPE_RS02620,RPE
iDT1294Photo,RPE_RS02650,RPE
iDT1294Photo,RPE_RS02655,RPE
iDT1294Photo,RPE_RS02660,RPE
iDT1294Photo,RPE_RS02685,RPE
iDT1294Photo,RPE_RS02690,RPE
iDT1294Photo,RPE_RS02700,RPE
iDT1294Photo,RPE_RS02705,RPE
iDT1294Photo,RPE_RS02730,RPE
iDT1294Photo,RPE_RS02740,RPE
iDT1294Photo,RPE_RS02755,RPE
iDT1294Photo,RPE_RS02770,RPE
iDT1294Photo,RPE_RS02890,RPE
iDT1294Photo,RPE_RS02895,RPE
iDT1294Photo,RPE_RS02905,RPE
iDT1294Photo,RPE_RS02930,RPE
iDT1294Photo,RPE_RS02945,RPE
iDT1294Photo,RPE_RS02950,RPE
iDT1294Photo,RPE_RS02955,RPE
iDT1294Photo,RPE_RS02960,RPE
iDT1294Photo,RPE_RS02965,RPE
iDT1294Photo,RPE_RS02970,RPE
iDT1294Photo,RPE_RS02975,RPE
iDT1294Photo,RPE_RS03000,RPE
iDT1294Photo,RPE_RS03005,RPE
iDT1294Photo,RPE_RS03015,RPE
iDT1294Photo,RPE_RS03040,RPE
iDT1294Photo,RPE_RS03050,RPE
iDT1294Photo,RPE_RS03055,RPE
iDT1294Photo,RPE_RS03070,RPE
iDT1294Photo,RPE_RS03100,RPE
iDT1294Photo,RPE_RS03105,RPE
iDT1294Photo,RPE_RS03115,RPE
iDT1294Photo,RPE_RS03170,RPE
iDT1294Photo,RPE_RS03175,RPE
iDT1294Photo,RPE_RS03235,RPE
iDT1294Photo,RPE_RS03255,RPE
iDT1294Photo,RPE_RS03265,RPE
iDT1294Photo,RPE_RS03275,RPE
iDT1294Photo,RPE_RS03290,RPE
iDT1294Photo,RPE_RS03305,RPE
iDT1294Photo,RPE_RS03320,RPE
iDT1294Photo,RPE_RS03340,RPE
iDT1294Photo,RPE_RS03345,RPE
iDT1294Photo,RPE_RS03360,RPE
iDT1294Photo,RPE_RS03365,RPE
iDT1294Photo,RPE_RS03370,RPE
iDT1294Photo,RPE_RS03385,RPE
iDT1294Photo,RPE_RS03410,RPE
iDT1294Photo,RPE_RS03415,RPE
iDT1294Photo,RPE_RS03430,RPE
iDT1294Photo,RPE_RS03435,RPE
iDT1294Photo,RPE_RS03440,RPE
iDT1294Photo,RPE_RS03475,RPE
iDT1294Photo,RPE_RS03480,RPE
iDT1294Photo,RPE_RS03500,RPE
iDT1294Photo,RPE_RS03505,RPE
iDT1294Photo,RPE_RS03525,RPE
iDT1294Photo,RPE_RS03530,RPE
iDT1294Photo,RPE_RS03550,RPE
iDT1294Photo,RPE_RS03590,RPE
