compartment,formula,member_count,metabolite_ids,metabolite_id_name_pairs,new
c,C10H12N5O10P2,2,adp_c | dgdp_c,adp_c:ADP C10H12N5O10P2 | dgdp_c:DGDP C10H12N5O10P2,
c,C10H12N5O13P3,2,atp_c | dgtp_c,atp_c:ATP C10H12N5O13P3 | dgtp_c:DGTP C10H12N5O13P3,
c,C10H12N5O7P,2,amp_c | dgmp_c,amp_c:AMP C10H12N5O7P | dgmp_c:DGMP C10H12N5O7P,
c,C10H13N5O3,2,dad_2_c | dad_5_c,dad_2_c:Deoxyadenosine | dad_5_c:5'-Deoxyadenosine,
c,C10H13N5O4,2,adn_c | dgsn_c,adn_c:Adenosine | dgsn_c:Deoxyguanosine,
c,C10H8O6,3,chor_c | ichor_c | pphn_c,chor_c:Chorismate | ichor_c:Isochorismate | pphn_c:Prephenate,
c,C12H13NO9P,2,2cpr5p_c | pran_c,2cpr5p_c:1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate | pran_c:N-(5-Phospho-D-ribosyl)anthranilate,
c,C12H21O14P,4,6pgg_c | malt6p_c | suc6p_c | tre6p_c,"6pgg_c:6-Phospho-beta-D-glucosyl-(1,4)-D-glucose | malt6p_c:Maltose 6'-phosphate | suc6p_c:Sucrose 6-phosphate | tre6p_c:Alpha,alpha'-Trehalose 6-phosphate",
c,C12H22O11,6,lcts_c | malt_c | melib_c | pala_c | sucr_c | tre_c,lcts_c:Lactose | malt_c:Maltose C12H22O11 | melib_c:Melibiose | pala_c:Palatinose | sucr_c:Sucrose C12H22O11 | tre_c:Trehalose,
c,C14H27O2,2,fa1_c | ttdca_c,fa1_c:Fatty acid (Iso-C14:0) | ttdca_c:Tetradecanoate (n-C14:0),
c,C15H21N5O15P2,2,prfp_c | prlp_c,prfp_c:1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide | prlp_c:5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide,
c,C15H22N2O17P2,2,udpg_c | udpgal_c,udpg_c:UDPglucose | udpgal_c:UDPgalactose,
c,C16H23N5O15P2,2,adpglc_c | gdpfuc_c,adpglc_c:ADPglucose C16H23N5O15P2 | gdpfuc_c:GDP-L-fucose,
c,C16H28N2O11,2,chitob_c | chtbs_c,"chitob_c:Chitobiose C16H28N2O11 | chtbs_c:N,N'-diacetylchitobiose",chitob_c
c,C16H29O2,2,fa5_c | hdcea_c,fa5_c:Fatty acid (Iso-C16:1) | hdcea_c:Hexadecenoate (n-C16:1),
c,C16H29OSR,2,hdeACP_c | tpalm2eACP_c,hdeACP_c:Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1) | tpalm2eACP_c:Trans-Hexadec-2-enoyl-[acyl-carrier protein],
c,C16H31O2,2,fa6_c | hdca_c,fa6_c:Fatty acid (iso-C16:0) | hdca_c:Hexadecanoate (n-C16:0),
c,C17H25N3O17P2,2,uacgam_c | uacmam_c,uacgam_c:UDP-N-acetyl-D-glucosamine | uacmam_c:UDP-N-acetyl-D-mannosamine,
c,C17H25N5O16P2,2,adphep_DD_c | adphep_LD_c,adphep_DD_c:ADP-D-glycero-D-manno-heptose | adphep_LD_c:ADP-L-glycero-D-manno-heptose,
c,C18H33OSR,2,octe9ACP_c | toctd2eACP_c,octe9ACP_c:Cis-octadec-9-enoyl-[acyl-carrier protein] ((9Z)-n-C18:1) | toctd2eACP_c:Trans-octadec-2-enoyl-[acyl-carrier protein],
c,C20H21N7O7,2,10fthf_c | 5fthf_c,10fthf_c:10-Formyltetrahydrofolate | 5fthf_c:5-Formyltetrahydrofolate,
c,C21H28N7O18P3,2,nadphx__R_c | nadphx__S_c,nadphx__R_c:(R)-NADPHX | nadphx__S_c:(S)-NADPHX,
c,C21H29N7O15P2,2,nadhx__R_c | nadhx__S_c,"nadhx__R_c:(R)-NADHX | nadhx__S_c:Adenosine 5'-(3-{5-[(2S)-5-carbamoyl-2-hydroxy-3,4-dihydropyridin-1-yl]-5-deoxy-?-D-ribofuranosyl} dihydrogen diphosphate)",
c,C21H35O7P1,2,1odec6912eg3p_c | 1odec91215eg3p_c,1odec6912eg3p_c:1-octadec-6-9-12trienoyl-sn-glycerol 3-phosphate | 1odec91215eg3p_c:1-octadec-9-12-15-trienoyl-sn-glycerol 3-phosphate,
c,C24H42O21,2,malttre_c | maltttr_c,malttre_c:Maltosyltrehalose | maltttr_c:Maltotetraose,
c,C25H35N7O19P3S,3,mmcoa__R_c | mmcoa__S_c | succoa_c,mmcoa__R_c:(R)-Methylmalonyl-CoA | mmcoa__S_c:(S)-Methylmalonyl-CoA | succoa_c:Succinyl-CoA,
c,C25H36N7O17P3S,2,2mp2coa_c | b2coa_c,2mp2coa_c:2-Methylprop-2-enoyl-CoA | b2coa_c:Crotonoyl-CoA,
c,C25H38N7O17P3S,2,btcoa_c | ibcoa_c,btcoa_c:Butanoyl-CoA | ibcoa_c:Isobutyryl-CoA,
c,C25H38N7O18P3S,3,3hbcoa__R_c | 3hbcoa_c | 3hibutcoa_c,3hbcoa__R_c:(R)-3-Hydroxybutyryl-CoA | 3hbcoa_c:(S)-3-Hydroxybutanoyl-CoA | 3hibutcoa_c:(S)-3-Hydroxyisobutyryl-CoA,
c,C26H38N7O17P3S,3,2mb2coa_c | 3mb2coa_c | pt2coa_c,2mb2coa_c:Trans-2-Methylbut-2-enoyl-CoA | 3mb2coa_c:3-Methylbut-2-enoyl-CoA | pt2coa_c:Pent-2-enoyl-CoA,
c,C26H40N7O17P3S,2,2mbcoa_c | ivcoa_c,2mbcoa_c:2-Methylbutanoyl-CoA | ivcoa_c:Isovaleryl-CoA,
c,C27H37N7O19P3S,2,23dhacoa_c | 3mgcoa_c,"23dhacoa_c:2,3-dehydroadipyl-CoA | 3mgcoa_c:3-Methylglutaconyl-CoA",
c,C27H39N7O20P3S,2,3hadpcoa_c | hmgcoa_c,3hadpcoa_c:(3S)-3-Hydroxyadipyl-CoA | hmgcoa_c:Hydroxymethylglutaryl CoA C27H39N7O20P3S,
c,C27H42N7O18P3S,2,3hhcoa_c | R_3hhcoa_c,3hhcoa_c:(S)-3-Hydroxyhexanoyl-CoA | R_3hhcoa_c:(R)-Hydroxyhexanoyl-CoA,
c,C28H46N8O18P3S,2,crnDcoa_c | crncoa_c,crnDcoa_c:D-carnitinyl-CoA | crncoa_c:L-Carnitinyl-CoA,
c,C29H38N7O18P3S,3,2oxpaccoa_c | hphaccoa_c | rephaccoa_c,"2oxpaccoa_c:2-oxepin-2(3H)-ylideneacetyl-CoA | hphaccoa_c:4 Hydroxyphenylacetyl CoA C29H42N7O18P3S | rephaccoa_c:Ring 1,2-epoxyphenylacetyl-CoA",
c,C29H46N7O18P3S,2,3hocoa_c | R_3hocoa_c,3hocoa_c:(S)-3-Hydroxyoctanoyl-CoA | R_3hocoa_c:(R)-Hydroxyoctanoyl-CoA,
c,C29H49N2O8PRS,2,octe_6_9_12_ACP_c | octe_9_12_15_ACP_c,octe_6_9_12_ACP_c:G-linolenoilACP | octe_9_12_15_ACP_c:A-lineloyl-ACP (n-C18 3ACP),
c,C29H51N2O8PRS,2,octe_9_12_ACP_c | t3c11vaceACP_c,octe_9_12_ACP_c:Linoleoyl-ACP (n-C18 2ACP) | t3c11vaceACP_c:Trans-3-cis-11-vacceoyl-[acyl-carrier protein],
c,C29H53N2O8PRS,2,octeACP_c | octe_9_ACP_c,octeACP_c:Cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1) | octe_9_ACP_c:Cis-octadec-9-enoyl-[acyl-carrier protein] (n-C18 1),
c,C2H2O6P,2,2pglyc_c | 2pglyc_cx_c,2pglyc_c:2-Phosphoglycolate | 2pglyc_cx_c:2-Phosphoglycolate,2pglyc_c
