reactions,fluxes,reduced_costs
GLYCL,0.0,-2.716816585778914e-16
PSIum,180.0,0.0
PPK2,11.98023242093497,-6.910183879985801e-17
R05219,3.631899278473618e-06,-1.1102230246251563e-16
ADOCBLS,3.6318992784736194e-06,5.551115123125784e-16
ALAALAr,0.1108741697587534,-5.551115123125783e-17
GLYCK,0.0,-0.0071007790843102
SERAT,0.0284115449165687,0.0
PRE3BS,3.631899278473618e-06,2.220446049250313e-16
CYSS_2,0.0284115449165687,-2.775557561562892e-17
DNMPPA,0.0053530649302307,0.0
FNOR_1,0.0,1.7735141190625429e-15
G1PCTYT,0.0,-5.724587470723462e-17
CA2abcpp,0.0,-0.0071007790842977
IPPMIb,-0.1732541994892287,-2.775557561562892e-17
RZ5PP,3.631899278473619e-06,1.1102230246251563e-16
ASNS1,0.0,-0.3692405123837531
CITCIb,0.0,-1.9016164580220734e-17
NTPP2,0.0,-0.0071007790842978
TRDR,0.0735914763831878,0.0
MCOATA,80.6888286880432,1.1102230246251563e-16
GLYALDDy,-3.448769173430188,-2.2168926488281784e-16
NTRIRfx,2.994050473820816,0.0
GTHPi,0.0,-0.056806232674425
UPP3S,0.008792653549471,-2.220446049250313e-16
GLCDBRAN3,0.3038682438458306,-2.3418766925686896e-17
HEX1,0.3038682438458306,0.0
THRPDC,3.631899278473619e-06,5.551115123125783e-17
TMDS3,2.65399196850745e-05,-2.220446049250313e-16
DHFR,0.0053530649302307,-1.1102230246251563e-16
DESAT16a,-11.52694867586036,-0.0
SULR_2,0.073514690682037,-6.938893903907228e-18
ADCS,0.0053530649302307,5.551115123125783e-17
IPPMIa,-0.1732541994892288,2.775557561562892e-17
NTRARf2,0.0,-0.0284031163372133
BPNT,0.073514690682037,0.0
PSIIum,5.0,-4.063589742475671e-16
THBTGT,0.0012680396248308,0.0
ACGAMT,0.0,-1.6653345369377348e-16
OANTS,0.0,6.938893903907227e-17
DALAabcpp,0.0391680502626933,0.0
PSICSum,180.0,7.936359902593891e-17
PSIICSum,20.0,0.0
SFGTHi,6.610579494491136e-05,-6.071532165918825e-17
ADPT2,0.0,-3.116912382154306e-17
AHMMPS,1.799057084453211e-05,2.775557561562892e-17
COBALT2abcpp,0.0,-0.0071007790842977
CYO1b2_syn,0.0,-0.0136553443929023
CYO1bpp_syn,0.0,-0.02840311633721
CYSS,0.0,-2.775557561562892e-17
G1PTT,0.0,-1.6826817716975031e-16
GCALDD,0.0053524736908133,-1.1102230246251563e-16
GLUK_syn,0.0,6.129139866827162e-17
MAN1PT2,0.0,1.1102230246251563e-16
NAR_syn,0.0,-0.0284031163372133
NDH1_1p,0.0,-5.279096393662687e-15
NDH1_2p,0.0,-3.257801882615736e-15
NDH1_4pp,0.0,-5.279096393662687e-15
R05224_1,0.0,-0.0071007790843089
SQLC,0.0,2.220446049250313e-16
SUCOAS,0.0023429494582568,0.0
TDPGDH,0.0,1.1102230246251563e-16
U23GAAT,0.0,-3.630865038440006
NIT1b,0.0,-0.0284031163371378
NADFADOR,81.61954771991087,-4.1803908230965004e-16
2HPTCOAT,0.0,2.220446049250313e-16
6D6SFK,0.0,-5.551115123125783e-17
ACALD,0.0,2.94807756394472e-16
ADPRDP,0.0,-1.1102230246251563e-16
ALDD3y,0.0,-0.0071007790842959
AMALT1,0.0,-0.0071007790842979
AMALT2,0.0,-0.0071007790842979
AMALT3,0.0,-0.0071007790842982
AMALT4,0.0,-0.0071007790842976
ASNS2,0.0,-0.3692405123837532
CBL1tonex,0.0,-4.440892098500626e-16
CHOLD,0.0,-2.220446049250313e-16
CITL,0.0,-6.525164684773758e-16
COLIPAabcpp,0.0,-0.0071007790842977
CYANSTpp,0.0,-6.938893903907228e-18
DMSOR1pp,0.0,-4.440892098500626e-16
DMSOR2pp,0.0,9.147491275192296e-16
DUTPDP,0.0,-0.007100779084298
ETHAAL,0.0,6.938893903907228e-18
ETHSO3abcpp,0.0,5.551115123125783e-17
FDH4pp,0.0,-0.0284031163372172
FDH5pp,0.0,-6.40540731490156e-15
FDMO2,0.0,2.775557561562892e-17
FDMO3,0.0,2.775557561562892e-17
FDMO4,0.0,2.775557561562892e-17
FDMO6,0.0,-6.938893903907227e-17
FE3HOXabcpp,0.0,-0.0071007790842977
FLDR2,89.50327754423108,0.0
FORt2pp,0.0,-1.734723475976807e-18
FORtppi,0.0,1.734723475976807e-18
G3PT,0.0,-0.0071007790842978
HKNDDH,0.0,-1.3877787807814457e-17
HKNTDH,0.0,-1.3877787807814457e-17
HPACOAT,0.0,2.220446049250313e-16
HXAND,0.0,-1.1102230246251563e-16
I4FE4SR,0.0061781180087839,-2.220446049250313e-16
ISETACabcpp,0.0,5.551115123125783e-17
K2L4Aabcpp,0.0,5.551115123125783e-17
LCARSyi,0.0,-1.891119367006949e-15
MCITL2,0.0,1.7285586205872704e-17
MEPNabcpp,0.0,-0.0071007790842978
METDabcpp,0.0,-0.0071007790842977
MOGDS,0.0,5.551115123125783e-17
MSO3abcpp,0.0,5.551115123125783e-17
NADH16pp,0.0,-0.0284031163372132
NADH17pp,0.0,-2.813712672765673e-15
NADH18pp,0.0,-3.701891092465798e-15
NO3R2bpp,0.0,-0.0284031163372106
NODOx,0.0,-0.0284031163372131
NODOy,0.0,-0.028403116337215
NTRIR2x,0.0,6.270586234644753e-16
OBTFL,0.0,-0.0071007790842984
OCTDPS,0.0052989242921492,-1.1102230246251563e-16
PA120abcpp,0.0,2.220446049250313e-16
PA161abcpp,0.0,2.220446049250313e-16
PA180abcpp,0.0,2.220446049250313e-16
PA181abcpp,0.0,-2.220446049250313e-16
PACOAT,0.0,-0.0071007790842979
PE120abcpp,0.0,-0.0071007790842978
PE141abcpp,0.0,-0.0071007790842978
PE161abcpp,0.0,-0.0071007790842978
PE180abcpp,0.0,2.220446049250313e-16
PFK,0.0,-0.0071007790843128
PFL,0.0771283644501635,2.220446049250313e-16
PG141abcpp,0.0,4.440892098500626e-16
PG160abcpp,0.0,-2.220446049250313e-16
PGP141abcpp,0.0,2.220446049250313e-16
PGP161abcpp,0.0,2.220446049250313e-16
PGP181abcpp,0.0,2.220446049250313e-16
POR5,-89.50320124367246,-9.396997235073794e-16
POX,0.0,-0.0284031163372172
PPA2,0.0,-0.0071007790842976
PPAKr,0.0,1.584951522799754e-16
