module,module_scale,fort_background,final_biomass_gDW_L,delta_biomass_gDW_L,final_formate_mM,final_co2_mM,cumulative_biomass_production_gDW_L,cumulative_formate_consumed_mM_gDW_h_proxy,cumulative_fdh_flux_mM_gDW_h_proxy,cumulative_rubisco_total_flux_mM_gDW_h_proxy,cumulative_rbpcx_flux_mM_gDW_h_proxy,cumulative_cs_flux_mM_gDW_h_proxy,cumulative_icdhyr_flux_mM_gDW_h_proxy,external_co2_uptake_blocked,scaled_reactions,baseline_final_biomass_gDW_L,baseline_cumulative_rubisco_total,baseline_cumulative_rbpcx,baseline_cumulative_cs,baseline_cumulative_icdhyr,relative_final_biomass,relative_cumulative_rubisco_total_flux,relative_cumulative_rbpcx_flux,relative_cumulative_cs_flux,relative_cumulative_icdhyr_flux
ForT transport,0.01,1.0,0.021680767496816647,0.0016807674968166465,19.924869364654995,0.03960907044909987,0.0016807674968166504,0.07507063418041929,0.07459703651074182,0.035147473436955935,0.0,0.0008709343735860662,0.0008709343735860663,True,,0.4520695126959247,9.038727143753547,0.0,0.22400723346934479,0.22400723346934484,0.04795892420951592,0.0038885423664155555,,0.0038879743305488077,0.0038879743305488073
ForT transport,0.05,1.0,0.029917527136962753,0.009917527136962753,19.555149416090057,0.2345205410524534,0.009917527136962747,0.4430803861913369,0.44028091199975283,0.2074416240369239,0.0,0.0051410414502150135,0.0051410414502150135,True,,0.4520695126959247,9.038727143753547,0.0,0.22400723346934479,0.22400723346934484,0.0661790417109728,0.02295031377070409,,0.02295033678418497,0.022950336784184962
ForT transport,0.1,1.0,0.04467841823524595,0.024678418235245952,18.888567266139734,0.5859432620499054,0.02467841823524593,1.1026230797601422,1.0956569687543882,0.5162245065394735,0.0,0.012793279157769422,0.012793279157769422,True,,0.4520695126959247,9.038727143753547,0.0,0.22400723346934479,0.22400723346934484,0.09883085892876385,0.05711252240822693,,0.05711100913855165,0.05711100913855163
ForT transport,0.2,1.0,0.0991602920073775,0.0791602920073775,16.40642191170098,1.8945351233718979,0.0791602920073775,3.537064818404576,3.514719813302755,1.6559729289239848,0.0,0.041037558467940556,0.041037558467940556,True,,0.4520695126959247,9.038727143753547,0.0,0.22400723346934479,0.22400723346934484,0.21934744375048276,0.1832086423881474,,0.18319747015471496,0.1831974701547149
ForT transport,0.5,1.0,0.45485064723148505,0.43485064723148503,0.0,10.64975976360713,0.43485064723148503,19.430491392991318,19.307741516424333,9.096907402897642,0.0,0.22544911778404442,0.22544911778404442,True,,0.4520695126959247,9.038727143753547,0.0,0.22400723346934479,0.22400723346934484,1.0061520064004648,1.0064367756896282,,1.0064367756896428,1.0064367756896426
ForT transport,1.0,1.0,0.4520695126959247,0.4320695126959247,0.0,10.65037179993277,0.4320695126959247,19.306221575296885,19.18425675889506,9.038727143753547,0.0,0.22400723346934479,0.22400723346934484,True,,0.4520695126959247,9.038727143753547,0.0,0.22400723346934479,0.22400723346934484,1.0,1.0,,1.0,1.0
FDH,0.01,1.0,0.021015350676146956,0.001015350676146956,19.954608695661275,0.02393030704332419,0.0010153506761469617,0.04536905417836486,0.045082440438767524,0.021240743554560855,0.0,0.0005264104253636099,0.0005264104253636099,True,FDH,0.44424569497654637,9.055634335870254,0.0006827869905596147,0.2199509607840749,0.21995096078407494,0.04730569347949775,0.0023455831769204935,0.0,0.002393308142356265,0.002393308142356264
FDH,0.05,1.0,0.02561248733840503,0.005612487338405029,19.748601538298576,0.13253733212512872,0.005612487338405048,0.25078354514694756,0.24919924917680333,0.11741106502304287,0.0,0.002909804382431953,0.0029098043824319535,True,FDH,0.44424569497654637,9.055634335870254,0.0006827869905596147,0.2199509607840749,0.21995096078407494,0.0576538785361943,0.012965526286542529,0.0,0.013229332447829124,0.013229332447829123
FDH,0.1,1.0,0.032778783923596864,0.012778783923596864,19.426203962992886,0.3025054147674735,0.012778783923596864,0.5709961629841567,0.5673889609268862,0.2673272187007235,0.0,0.006625184026446286,0.006625184026446286,True,FDH,0.44424569497654637,9.055634335870254,0.0006827869905596147,0.2199509607840749,0.21995096078407494,0.07378525958552597,0.02952054033827473,0.0,0.0301211870265491,0.03012118702654909
FDH,0.2,1.0,0.0535812602435909,0.0335812602435909,18.484772707809206,0.7988282088561981,0.03358126024359088,1.5005160789874044,1.491036742631091,0.7025069799331518,0.0,0.01741026613204926,0.01741026613204926,True,FDH,0.44424569497654637,9.055634335870254,0.0006827869905596147,0.2199509607840749,0.21995096078407494,0.1206117714802384,0.07757678301457611,0.0,0.07915521746295466,0.07915521746295465
