reaction_id,enzyme_name,ec_number,kcat(1/s),km(mM),ref,dsm123_locus_tags,rnaseq_locus_tags,reference_organism,reversible,model_reaction_id,model_reaction_name,model_reaction_equation,model_metabolites
EX_for_e,ForT formate transporter,not applicable,,for_e: 0.01814 ,This study,,not used for direct transport Vmax,Rhodopseudomonas palustris DSM 123,yes,EX_for_e,R_EX_for_e,for_e <=>,for_e [Formate]
RBPCcx,Rubisco carboxylase/oxygenase mixed reaction,4.1.1.39,6.28,co2_c:0.446；rb15bp_c:0.0128 ,https://www.brenda-enzymes.org/literature.php?e=4.1.1.39&r=702278,ACXYSJ_06455;ACXYSJ_06460;ACXYSJ_21465,PGIDNB_06415;PGIDNB_06420;PGIDNB_18030;PGIDNB_21305,Rhodospirillum rubrum,no,RBPCcx,Ribulose-bisphosphate carboxylase,0.99 co2_c + 0.99 h2o_c + 0.01 o2_c + rb15bp_c => 0.01 2pglyc_c + 1.99 3pg_c + 2 h_c,"2pglyc_c [2-Phosphoglycolate]; 3pg_c [3-Phospho-D-glycerate]; co2_c [CO2 CO2]; h2o_c [H2O H2O]; h_c [H+]; o2_c [O2 O2]; rb15bp_c [D-Ribulose 1,5-bisphosphate]"
FDH,Formate dehydrogenase,1.17.1.9,33.76,for_c: 0.38126,This study,ACXYSJ_01120;ACXYSJ_23615;ACXYSJ_23620;ACXYSJ_23610;ACXYSJ_23605;ACXYSJ_23600,PGIDNB_23465;PGIDNB_23470;PGIDNB_23475;PGIDNB_23480;PGIDNB_23485,Rhodopseudomonas palustris DSM 123; RpFDH measured in this study,no,FDH,Formate dehydrogenase,for_c + nad_c => co2_c + nadh_c,co2_c [CO2 CO2]; for_c [Formate]; nad_c [Nicotinamide adenine dinucleotide]; nadh_c [Nicotinamide adenine dinucleotide - reduced]
RPE,Ribulose-phosphate 3-epimerase,5.1.3.1,100,ru5p__D_c: 0.2 ,https://www.brenda-enzymes.org/literature.php?e=5.1.3.1&r=672127,ACXYSJ_16955,PGIDNB_16830,Streptococcus pyogenes,yes,RPE,Ribulose 5-phosphate 3-epimerase,ru5p__D_c <=> xu5p__D_c,ru5p__D_c [D-Ribulose 5-phosphate]; xu5p__D_c [D-Xylulose 5-phosphate]
FBA,Fructose-bisphosphate aldolase,4.1.2.13,10.5,fdp_c: 0.17 ,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=652876,ACXYSJ_21470,PGIDNB_21310,Escherichia coli,yes,FBA,Fructose-bisphosphate aldolase,fdp_c <=> dhap_c + g3p_c,"dhap_c [Dihydroxyacetone phosphate]; fdp_c [D-Fructose 1,6-bisphosphate]; g3p_c [Glyceraldehyde 3-phosphate]"
FBA3,Sedoheptulose-bisphosphate aldolase activity,4.1.2.13,0.055,s17bp_c: 0.19 ；fdp_c：0.018；dhap_c：0.095；g3p_c：1.17,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=714279,ACXYSJ_03295,PGIDNB_03300,Methylococcus capsulatus,yes,FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",s17bp_c <=> dhap_c + e4p_c,"dhap_c [Dihydroxyacetone phosphate]; e4p_c [D-Erythrose 4-phosphate]; s17bp_c [Sedoheptulose 1,7-bisphosphate]"
PGK,Phosphoglycerate kinase,2.7.2.3,149.8,3pg_c: 0.75 ; atp_c: 0.73 ,https://www.brenda-enzymes.org/literature.php?e=2.7.2.3&r=642281,ACXYSJ_03310,PGIDNB_03315,Methanobacterium bryantii; Methanothermus fervidus; Pyrococcus woesei,no,PGK,Phosphoglycerate kinase,3pg_c + atp_c => 13dpg_c + adp_c,13dpg_c [3-Phospho-D-glyceroyl phosphate]; 3pg_c [3-Phospho-D-glycerate]; adp_c [ADP C10H12N5O10P2]; atp_c [ATP C10H12N5O13P3]
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,1.2.1.12,6.45,13dpg_c: NA; nadh_c: 0.048 ,https://www.brenda-enzymes.org/literature.php?e=1.2.1.12&r=743222,ACXYSJ_03320,PGIDNB_03325,Corynebacterium glutamicum ATCC 13032,no,GAPD,Glyceraldehyde-3-phosphate dehydrogenase,g3p_c + nad_c + pi_c => 13dpg_c + h_c + nadh_c,13dpg_c [3-Phospho-D-glyceroyl phosphate]; g3p_c [Glyceraldehyde 3-phosphate]; h_c [H+]; nad_c [Nicotinamide adenine dinucleotide]; nadh_c [Nicotinamide adenine dinucleotide - reduced]; pi_c [Phosphate]
TKT1,Transketolase,2.2.1.1,40,r5p_c: 0.12 ; xu5p__D_c: 0.12 ；f6p_c：0.25；g3p_c：0.67,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=735856,ACXYSJ_21475;ACXYSJ_03325,PGIDNB_03330;PGIDNB_21315,Bacillus methanolicus MGA3,yes,TKT1,Transketolase,r5p_c + xu5p__D_c <=> g3p_c + s7p_c,g3p_c [Glyceraldehyde 3-phosphate]; r5p_c [Alpha-D-Ribose 5-phosphate]; s7p_c [Sedoheptulose 7-phosphate]; xu5p__D_c [D-Xylulose 5-phosphate]
TKT2,Transketolase,2.2.1.1,671,e4p_c: 0.23 ; xu5p__D_c: 0.058 ,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=757197,ACXYSJ_21475;ACXYSJ_03325,PGIDNB_03330;PGIDNB_21315,Salmonella enterica subsp. enterica serovar Typhimurium ATCC 14028s,yes,TKT2,Transketolase,e4p_c + xu5p__D_c <=> f6p_c + g3p_c,e4p_c [D-Erythrose 4-phosphate]; f6p_c [D-Fructose 6-phosphate]; g3p_c [Glyceraldehyde 3-phosphate]; xu5p__D_c [D-Xylulose 5-phosphate]
