reaction_id,vmax_multiplier,vmax_label,quantity,feasible_minimum,feasible_maximum,growth_optimal_value,fva_width
BIOMASS__1,0.01,Vmax 0.01x,flux,0.000356138,0.00039576,0.000395709,3.96219e-05
EX_for_e,0.01,Vmax 0.01x,positive uptake,0.0160624,0.0178494,0.0178494,0.00178701
FDH,0.01,Vmax 0.01x,flux,0.015963,0.0177489,0.0177377,0.00178589
RBPCcx,0.01,Vmax 0.01x,flux,0.00756322,0.0968919,0.00840402,0.0893287
RPE,0.01,Vmax 0.01x,flux,-0.0646666,-0.00511759,-0.00568682,0.059549
FBA,0.01,Vmax 0.01x,flux,-1.24388,21.7415,-0.00320771,22.9854
FBA3,0.01,Vmax 0.01x,flux,-0.743009,0.743009,-0.00280674,1.48602
PGK,0.01,Vmax 0.01x,flux,0,10.5946,0,10.5946
GAPD,0.01,Vmax 0.01x,flux,0,15.683,0,15.683
TKT1,0.01,Vmax 0.01x,flux,-0.0323021,-0.00252579,-0.00280674,0.0297763
TKT2,0.01,Vmax 0.01x,flux,-0.0323681,-0.00259179,-0.00288008,0.0297763
TALA,0.01,Vmax 0.01x,flux,-0.775311,0.740483,0,1.51579
SBP,0.01,Vmax 0.01x,flux,-0.743009,0.743009,0.00280674,1.48602
FBP,0.01,Vmax 0.01x,flux,0,1.24388,0.00320771,1.24388
CS,0.01,Vmax 0.01x,flux,0.000184587,0.629801,0.000205132,0.629616
ACONT,0.01,Vmax 0.01x,flux,0.000184587,0.629801,0.000205132,0.629616
ICDHyr,0.01,Vmax 0.01x,flux,0.000184587,0.058844,0.000205132,0.0586594
AKGDH,0.01,Vmax 0.01x,flux,0,0.0586594,0,0.0586594
AKGDa,0.01,Vmax 0.01x,flux,0,0.0586594,0,0.0586594
AKGDb,0.01,Vmax 0.01x,flux,0,0.0586594,0,0.0586594
SUCOAS,0.01,Vmax 0.01x,flux,0,9.66835e-05,1.30623e-06,9.66835e-05
SUCDi,0.01,Vmax 0.01x,flux,0,0.00178658,0,0.00178658
FUM,0.01,Vmax 0.01x,flux,-0.00020473,13.8286,0.000100104,13.8288
MDH,0.01,Vmax 0.01x,flux,-1.06793,13.8286,0.000100104,14.8965
ME2,0.01,Vmax 0.01x,flux,0,1.06773,0,1.06773
BIOMASS__1,0.05,Vmax 0.05x,flux,0.0017807,0.00197856,0.00197856,0.000197856
EX_for_e,0.05,Vmax 0.05x,positive uptake,0.0803221,0.0892468,0.0892468,0.00892468
FDH,0.05,Vmax 0.05x,flux,0.0798195,0.0887443,0.0886883,0.00892477
RBPCcx,0.05,Vmax 0.05x,flux,0.0378181,0.484052,0.0420201,0.446234
RPE,0.05,Vmax 0.05x,flux,-0.32308,-0.0255907,-0.0284341,0.297489
FBA,0.05,Vmax 0.05x,flux,-1.24388,21.9567,0.0590161,23.2006
FBA3,0.05,Vmax 0.05x,flux,-0.743009,0.743009,-0.0140337,1.48602
PGK,0.05,Vmax 0.05x,flux,0,10.5946,0,10.5946
GAPD,0.05,Vmax 0.05x,flux,0,15.683,0,15.683
TKT1,0.05,Vmax 0.05x,flux,-0.161375,-0.0126304,-0.0140337,0.148745
TKT2,0.05,Vmax 0.05x,flux,-0.161705,-0.0129603,-0.0144004,0.148745
TALA,0.05,Vmax 0.05x,flux,-0.161375,0.730378,0,0.891753
SBP,0.05,Vmax 0.05x,flux,0,0.743009,0.0140337,0.743009
FBP,0.05,Vmax 0.05x,flux,0,1.24388,0,1.24388
CS,0.05,Vmax 0.05x,flux,0.000923099,0.629801,0.00102567,0.628878
ACONT,0.05,Vmax 0.05x,flux,0.000923099,0.629801,0.00102567,0.628878
ICDHyr,0.05,Vmax 0.05x,flux,0.000923099,0.29395,0.00102567,0.293027
AKGDH,0.05,Vmax 0.05x,flux,0,0.293027,0,0.293027
AKGDa,0.05,Vmax 0.05x,flux,0,0.293027,0,0.293027
AKGDb,0.05,Vmax 0.05x,flux,0,0.293027,0,0.293027
SUCOAS,0.05,Vmax 0.05x,flux,-0.293021,0.000483372,6.5312e-06,0.293505
SUCDi,0.05,Vmax 0.05x,flux,0,0.00892468,0,0.00892468
FUM,0.05,Vmax 0.05x,flux,-0.00102203,13.7582,0.000500523,13.7592
MDH,0.05,Vmax 0.05x,flux,-1.06875,13.7582,0.000500523,14.8269
ME2,0.05,Vmax 0.05x,flux,0,1.06773,0,1.06773
