parameter_type,parameter_multiplier,variant_label,time_h,time_d,fort_km_mM,fort_effective_vmax_mmol_gDW_h,biomass_gDW_L,formate_mM,formate_uptake_capacity_mmol_gDW_h,mu_h_inv
Km,0.1,Km 0.1x,0.0,0.0,0.001814,1.786555464,0.02,20.0,1.7863934381151632,0.023645071
Km,0.1,Km 0.1x,2.0,0.08333333333333333,0.001814,1.786555464,0.02094580284,19.955319271334318,1.7863930753659396,0.023645071
Km,0.1,Km 0.1x,4.0,0.16666666666666666,0.001814,1.786555464,0.021936332830607603,19.908525584665373,1.786392693716856,0.023645071
Km,0.1,Km 0.1x,6.0,0.25,0.001814,1.786555464,0.0229737051251263,19.85951901790915,1.7863922920916104,0.023645071
Km,0.1,Km 0.1x,8.0,0.3333333333333333,0.001814,1.786555464,0.02406013490275965,19.808194923652096,1.7863918693431684,0.023645071
Km,0.1,Km 0.1x,10.0,0.4166666666666667,0.001814,1.786555464,0.025197942098850307,19.754443705689603,1.7863914242481416,0.023645071
Km,0.1,Km 0.1x,12.0,0.5,0.001814,1.786555464,0.026389556358812717,19.69815058499699,1.7863909555006212,0.023645071
Km,0.1,Km 0.1x,14.0,0.5833333333333334,0.001814,1.786555464,0.027637522226337974,19.639195354633202,1.7863904617054043,0.023645071
Km,0.1,Km 0.1x,16.0,0.6666666666666666,0.001814,1.786555464,0.028944504576949654,19.577452123053867,1.7863899413705344,0.023645071
Km,0.1,Km 0.1x,18.0,0.75,0.001814,1.786555464,0.030313294308513254,19.512789045285604,1.7863893928990828,0.023645071
Km,0.1,Km 0.1x,20.0,0.8333333333333334,0.001814,1.786555464,0.031746814300850634,19.445068041387525,1.7863888145800675,0.023645071
Km,0.1,Km 0.1x,22.0,0.9166666666666666,0.001814,1.786555464,0.03324812565718549,19.374144501598725,1.7863882045784119,0.023645071
Km,0.1,Km 0.1x,24.0,1.0,0.001814,1.786555464,0.034820434240747634,19.299866977542166,1.7863875609238138,0.023645071
