mechanism,initial_formate_mM,time_h,time_d,biomass_gDW_L,formate_mM,co2_mM
Active,5,0.0,0.0,0.02,5.0,0.0
Active,5,2.0,0.08333333333333333,0.02094580284,4.925428867047016,0.05364502170725173
Active,5,4.0,0.16666666666666666,0.021936332830607603,4.878635180378072,0.07852299835814447
Active,5,6.0,0.25,0.0229737051251263,4.82962861362185,0.1045774580575306
Active,5,8.0,0.3333333333333333,0.02406013490275965,4.778304519364794,0.13186403685583398
Active,5,10.0,0.4166666666666667,0.025197942098850307,4.724553301402301,0.16044100184020332
Active,5,12.0,0.5,0.026389556358812717,4.668260180709688,0.1903693755566125
Active,5,14.0,0.5833333333333334,0.027637522226337974,4.609304950345899,0.22171306631589976
Active,5,16.0,0.6666666666666666,0.028944504576949654,4.547561718766563,0.2545390046619978
Active,5,18.0,0.75,0.030313294308513254,4.482898640998301,0.28891728629376606
Active,5,20.0,0.8333333333333334,0.031746814300850634,4.415177637100221,0.3249213217456166
Active,5,22.0,0.9166666666666666,0.03324812565718549,4.344254097311419,0.36262799314655825
Active,5,24.0,1.0,0.034820434240747634,4.269976573254861,0.40211781839239774
Active,5,26.0,1.0833333333333333,0.03646709752049425,4.192186454538261,0.44347512308166814
Active,5,28.0,1.1666666666666667,0.03819163174056627,4.110717630061355,0.48678822058243143
Active,5,30.0,1.25,0.03999771942878936,4.025396133306364,0.5321496006144657
Active,5,32.0,1.3333333333333333,0.041889217260252964,3.9360397708541766,0.5796561267495308
Active,5,34.0,1.4166666666666667,0.04387016429275918,3.842457733333022,0.6294092432514499
Active,5,36.0,1.5,0.04594479059172709,3.7444501879688423,0.6815151916976872
Active,5,38.0,1.5833333333333333,0.048117526262970126,3.6418078518673194,0.7360852378449917
Active,5,40.0,1.6666666666666667,0.05039301091263471,3.534311545116344,0.7932359092235488
Active,5,42.0,1.75,0.052776103554500756,3.421731722754639,0.8530892439669933
Active,5,44.0,1.8333333333333333,0.0552718929857998,3.3038279846071146,0.9157730514096287
Active,5,46.0,1.9166666666666667,0.057885708653707076,3.1803485619402627,0.9814211850073271
Active,5,48.0,2.0,0.06062313203571151,3.0510297798414174,1.0501738281648956
Active,5,50.0,2.0833333333333335,0.06349000855816506,2.915595494173851,1.1221777935802608
Active,5,52.0,2.1666666666666665,0.06649246007846189,2.7737565019053965,1.1975868367446818
Active,5,54.0,2.25,0.06963689795750169,2.62520992355143,1.2765619842684324
Active,5,56.0,2.3333333333333335,0.07293003675035145,2.46963855641349,1.359271877733052
Active,5,58.0,2.4166666666666665,0.07637890854434079,2.306710197232463,1.4458931338044183
Active,5,60.0,2.5,0.07999087797520768,2.1360769328099383,1.536610721375618
Active,5,62.0,2.5833333333333335,0.08377365795335992,1.9573743970829487,1.6316183565449571
Active,5,64.0,2.6666666666666665,0.08773532613383374,1.7702209930656696,1.7311189162725384
Active,5,66.0,2.75,0.09188434216511905,1.57421707799663,1.8353248715987165
Active,5,68.0,2.8333333333333335,0.09622956575368412,1.3689441099514197,1.9444587413495154
Active,5,70.0,2.9166666666666665,0.10078027558277418,1.1539637540985899,2.0587535672978388
Active,5,72.0,3.0,0.1055461891258827,0.9288169466902692,2.178453411795124
Active,5,74.0,3.0833333333333335,0.11053748339720455,0.6930229147887623,2.3038138789360634
Active,5,76.0,3.1666666666666665,0.115764816683381,0.4460781496358807,2.4351026603692842
Active,5,78.0,3.25,0.12123935130294206,0.18745533147276267,2.5726001069194893
Active,5,80.0,3.3333333333333335,0.12697277744204608,0.0,2.7165998272416907
Active,5,82.0,3.4166666666666665,0.12697277744204608,0.0,2.7165998272416907
Active,5,84.0,3.5,0.12697277744204608,0.0,2.7165998272416907
Active,5,86.0,3.5833333333333335,0.12697277744204608,0.0,2.7165998272416907
Active,5,88.0,3.6666666666666665,0.12697277744204608,0.0,2.7165998272416907
Active,5,90.0,3.75,0.12697277744204608,0.0,2.7165998272416907
Active,5,92.0,3.8333333333333335,0.12697277744204608,0.0,2.7165998272416907
Active,5,94.0,3.9166666666666665,0.12697277744204608,0.0,2.7165998272416907
Active,5,96.0,4.0,0.12697277744204608,0.0,2.7165998272416907
Active,5,98.0,4.083333333333333,0.12697277744204608,0.0,2.7165998272416907
Active,5,100.0,4.166666666666667,0.12697277744204608,0.0,2.7165998272416907
Active,5,102.0,4.25,0.12697277744204608,0.0,2.7165998272416907
Active,5,104.0,4.333333333333333,0.12697277744204608,0.0,2.7165998272416907
Active,5,106.0,4.416666666666667,0.12697277744204608,0.0,2.7165998272416907
Active,5,108.0,4.5,0.12697277744204608,0.0,2.7165998272416907
Active,5,110.0,4.583333333333333,0.12697277744204608,0.0,2.7165998272416907
Active,5,112.0,4.666666666666667,0.12697277744204608,0.0,2.7165998272416907
Active,5,114.0,4.75,0.12697277744204608,0.0,2.7165998272416907
Active,5,116.0,4.833333333333333,0.12697277744204608,0.0,2.7165998272416907
Active,5,118.0,4.916666666666667,0.12697277744204608,0.0,2.7165998272416907
Active,5,120.0,5.0,0.12697277744204608,0.0,2.7165998272416907
Active,5,122.0,5.083333333333333,0.12697277744204608,0.0,2.7165998272416907
Active,5,124.0,5.166666666666667,0.12697277744204608,0.0,2.7165998272416907
Active,5,126.0,5.25,0.12697277744204608,0.0,2.7165998272416907
Active,5,128.0,5.333333333333333,0.12697277744204608,0.0,2.7165998272416907
Active,5,130.0,5.416666666666667,0.12697277744204608,0.0,2.7165998272416907
Active,5,132.0,5.5,0.12697277744204608,0.0,2.7165998272416907
Active,5,134.0,5.583333333333333,0.12697277744204608,0.0,2.7165998272416907
