reaction_id,vmax_multiplier,vmax_label,quantity,feasible_minimum,feasible_maximum,growth_optimal_value,fva_width
BIOMASS__1,0.01,Vmax 0.01x,flux,0.000356133,0.000395744,0.000395704,3.96109e-05
EX_for_e,0.01,Vmax 0.01x,positive uptake,0.0160628,0.0178494,0.0178494,0.00178658
FDH,0.01,Vmax 0.01x,flux,0.0159623,0.0177489,0.0177377,0.00178663
RBPCcx,0.01,Vmax 0.01x,flux,0.00756287,0.0968919,0.00840402,0.089329
RPE,0.01,Vmax 0.01x,flux,-0.0432292,-0.00511758,-0.00568682,0.0381116
FBA,0.01,Vmax 0.01x,flux,-0.865489,6.02832,0,6.89381
FBA3,0.01,Vmax 0.01x,flux,-0.0860814,0.0578823,0.00899647,0.143964
PGK,0.01,Vmax 0.01x,flux,0,10.7379,0,10.7379
GAPD,0.01,Vmax 0.01x,flux,0,5.81745,0,5.81745
TKT1,0.01,Vmax 0.01x,flux,-0.0215816,-0.00252579,-0.00280674,0.0190558
TKT2,0.01,Vmax 0.01x,flux,-0.0216476,-0.00259179,-0.00288008,0.0190558
TALA,0.01,Vmax 0.01x,flux,-0.0794639,0.0835556,-0.0118032,0.163019
SBP,0.01,Vmax 0.01x,flux,-0.0578823,0.0860814,-0.00899647,0.143964
FBP,0.01,Vmax 0.01x,flux,0,0.865489,0.0150109,0.865489
TPI,0.01,Vmax 0.01x,flux,-0.121674,6.79076,-0.00601455,6.91244
PGM,0.01,Vmax 0.01x,flux,-0.0140106,0.007361,0,0.0213717
ENO,0.01,Vmax 0.01x,flux,-0.007361,0.0140106,0,0.0213717
PYK,0.01,Vmax 0.01x,flux,0,0,0,0
CS,0.01,Vmax 0.01x,flux,0.0001846,0.0188434,0.000205145,0.0186588
ACONT,0.01,Vmax 0.01x,flux,0.0001846,0.0188434,0.000205145,0.0186588
ICDHyr,0.01,Vmax 0.01x,flux,0.0001846,0.0187502,0.000205145,0.0185656
AKGDH,0.01,Vmax 0.01x,flux,0,0.0185656,0,0.0185656
SUCOAS,0.01,Vmax 0.01x,flux,-0.0185644,9.66823e-05,1.30622e-06,0.0186611
SUCDi,0.01,Vmax 0.01x,flux,0,0.00178658,0,0.00178658
FUM,0.01,Vmax 0.01x,flux,-0.000204731,0.0184541,0.0155502,0.0186588
MDH,0.01,Vmax 0.01x,flux,-0.00310862,0.0155502,0.0155502,0.0186588
ME2,0.01,Vmax 0.01x,flux,0,0.00290389,0,0.00290389
BIOMASS__1,0.05,Vmax 0.05x,flux,0.00178068,0.00197856,0.00197853,0.00019788
EX_for_e,0.05,Vmax 0.05x,positive uptake,0.0803221,0.0892468,0.0892468,0.00892468
FDH,0.05,Vmax 0.05x,flux,0.0798195,0.0887443,0.0886883,0.00892477
RBPCcx,0.05,Vmax 0.05x,flux,0.0378181,0.484052,0.0420201,0.446234
RPE,0.05,Vmax 0.05x,flux,-0.0692443,-0.0255907,-0.0284341,0.0436537
FBA,0.05,Vmax 0.05x,flux,-0.865489,6.42379,0,7.28927
FBA3,0.05,Vmax 0.05x,flux,-0.0860814,0.0578823,0.0449823,0.143964
PGK,0.05,Vmax 0.05x,flux,0,10.7379,0,10.7379
GAPD,0.05,Vmax 0.05x,flux,0,5.81745,0,5.81745
TKT1,0.05,Vmax 0.05x,flux,-0.0344572,-0.0126299,-0.0140337,0.0218272
TKT2,0.05,Vmax 0.05x,flux,-0.0347872,-0.0129599,-0.0144004,0.0218272
TALA,0.05,Vmax 0.05x,flux,-0.0923395,0.0734514,-0.0590161,0.165791
SBP,0.05,Vmax 0.05x,flux,-0.0578823,0.0860814,-0.0449823,0.143964
FBP,0.05,Vmax 0.05x,flux,0,0.865489,0.0750546,0.865489
TPI,0.05,Vmax 0.05x,flux,-0.5046,6.80427,-0.0300727,7.30887
PGM,0.05,Vmax 0.05x,flux,-0.0140106,0.007361,-0.0090742,0.0213717
ENO,0.05,Vmax 0.05x,flux,-0.007361,0.0140106,0.0090742,0.0213717
PYK,0.05,Vmax 0.05x,flux,0,0.00731457,0,0.00731457
CS,0.05,Vmax 0.05x,flux,0.000923161,0.0203996,0.00102573,0.0194765
ACONT,0.05,Vmax 0.05x,flux,0.000923161,0.0203993,0.00102573,0.0194762
ICDHyr,0.05,Vmax 0.05x,flux,0.000923161,0.0203019,0.00102573,0.0193788
AKGDH,0.05,Vmax 0.05x,flux,0,0.0193788,0,0.0193788
SUCOAS,0.05,Vmax 0.05x,flux,-0.0193732,0.000483365,6.53112e-06,0.0198566
SUCDi,0.05,Vmax 0.05x,flux,0,0.00892468,0,0.00892468
FUM,0.05,Vmax 0.05x,flux,-0.00102235,0.0184541,0.000500516,0.0194765
MDH,0.05,Vmax 0.05x,flux,-0.00392624,0.0155502,0.000500516,0.0194765
ME2,0.05,Vmax 0.05x,flux,0,0.00290389,0,0.00290389
BIOMASS__1,0.1,Vmax 0.1x,flux,0.00356136,0.00395707,0.00395707,0.000395707
EX_for_e,0.1,Vmax 0.1x,positive uptake,0.160644,0.178494,0.178494,0.0178494
FDH,0.1,Vmax 0.1x,flux,0.159639,0.177489,0.177377,0.0178495
RBPCcx,0.1,Vmax 0.1x,flux,0.0756362,0.750913,0.0840402,0.675277
RPE,0.1,Vmax 0.1x,flux,-0.101764,-0.0511814,-0.0568682,0.0505827
FBA,0.1,Vmax 0.1x,flux,-0.865489,6.70248,0,7.56797
FBA3,0.1,Vmax 0.1x,flux,-0.0860814,0.0578823,0,0.143964
PGK,0.1,Vmax 0.1x,flux,0,10.7379,0,10.7379
GAPD,0.1,Vmax 0.1x,flux,0,5.81745,0,5.81745
TKT1,0.1,Vmax 0.1x,flux,-0.0505521,-0.0252594,-0.0280675,0.0252926
TKT2,0.1,Vmax 0.1x,flux,-0.051212,-0.0259194,-0.0288007,0.0252926
TALA,0.1,Vmax 0.1x,flux,-0.0505521,0.0608219,-0.0280675,0.111374
SBP,0.1,Vmax 0.1x,flux,0,0.0860814,0,0.0860814
FBP,0.1,Vmax 0.1x,flux,0,0.865489,0,0.865489
TPI,0.1,Vmax 0.1x,flux,-0.768003,6.82115,0.0298192,7.58916
PGM,0.1,Vmax 0.1x,flux,-0.0140106,0.007361,-0.0140106,0.0213717
ENO,0.1,Vmax 0.1x,flux,-0.007361,0.0140106,0.0140106,0.0213717
PYK,0.1,Vmax 0.1x,flux,0,0,0,0
CS,0.1,Vmax 0.1x,flux,0.00184632,0.0223445,0.00205147,0.0204982
ACONT,0.1,Vmax 0.1x,flux,0.00184632,0.0223445,0.00205147,0.0204982
ICDHyr,0.1,Vmax 0.1x,flux,0.00184632,0.0222433,0.00205147,0.020397
AKGDH,0.1,Vmax 0.1x,flux,0,0.0203957,0,0.0203957
SUCOAS,0.1,Vmax 0.1x,flux,-0.0203839,0.000966732,1.30622e-05,0.0213507
SUCDi,0.1,Vmax 0.1x,flux,0,0.0178495,0,0.0178495
