panel_metric,reaction_id,vmax_multiplier,vmax_label,feasible_minimum,feasible_maximum,growth_optimal_value,fva_width,normalized_feasible_minimum,normalized_feasible_maximum,normalized_growth_optimal_value
Biomass,BIOMASS__1,0.01,Vmax 0.01x,0.000356133,0.000395744,0.000395704,3.96109e-05,0.0150616,0.0167369,0.0167351
Biomass,BIOMASS__1,0.05,Vmax 0.05x,0.00178068,0.00197856,0.00197853,0.00019788,0.0753087,0.0836775,0.0836763
Biomass,BIOMASS__1,0.1,Vmax 0.1x,0.00356136,0.00395707,0.00395707,0.000395707,0.150617,0.167353,0.167353
Biomass,BIOMASS__1,0.2,Vmax 0.2x,0.00712269,0.0079141,0.0079141,0.00079141,0.301234,0.334704,0.334704
Biomass,BIOMASS__1,0.5,Vmax 0.5x,0.0178067,0.0197852,0.0197852,0.00197852,0.753082,0.836757,0.836757
Biomass,BIOMASS__1,1,Vmax 1x,0.0212806,0.0236451,0.0236451,0.00236451,0.9,1,1
Biomass,BIOMASS__1,2,Vmax 2x,0.0212806,0.0236451,0.0236451,0.00236451,0.9,1,1
Formate uptake,EX_for_e,0.01,Vmax 0.01x,0.0160628,0.0178494,0.0178494,0.00178658,0.00449954,0.005,0.005
Formate uptake,EX_for_e,0.05,Vmax 0.05x,0.0803221,0.0892468,0.0892468,0.00892468,0.0225,0.025,0.025
Formate uptake,EX_for_e,0.1,Vmax 0.1x,0.160644,0.178494,0.178494,0.0178494,0.045,0.05,0.05
Formate uptake,EX_for_e,0.2,Vmax 0.2x,0.321289,0.356987,0.356987,0.0356987,0.09,0.1,0.1
Formate uptake,EX_for_e,0.5,Vmax 0.5x,0.803221,0.892468,0.892468,0.0892468,0.225,0.25,0.25
Formate uptake,EX_for_e,1,Vmax 1x,0.959922,1.78494,1.78494,0.825015,0.268895,0.5,0.5
Formate uptake,EX_for_e,2,Vmax 2x,0.959922,3.56987,3.3584,2.60995,0.268895,1,0.940762
FDH,FDH,0.01,Vmax 0.01x,0.0159623,0.0177489,0.0177377,0.00178663,0.00447893,0.00498024,0.00497708
FDH,FDH,0.05,Vmax 0.05x,0.0798195,0.0887443,0.0886883,0.00892477,0.0223969,0.0249011,0.0248854
FDH,FDH,0.1,Vmax 0.1x,0.159639,0.177489,0.177377,0.0178495,0.0447938,0.0498022,0.0497708
FDH,FDH,0.2,Vmax 0.2x,0.319278,0.354977,0.354753,0.0356991,0.0895875,0.0996045,0.0995417
FDH,FDH,0.5,Vmax 0.5x,0.798195,0.887443,0.886883,0.0892477,0.223969,0.249011,0.248854
FDH,FDH,1,Vmax 1x,0.953914,1.77893,1.77826,0.825016,0.267663,0.499157,0.49897
FDH,FDH,2,Vmax 2x,0.953914,3.56387,3.35173,2.60995,0.267663,1,0.940475
RuBisCO carboxylation,RBPCcx,0.01,Vmax 0.01x,0.00756287,0.0968919,0.00840402,0.089329,0.0100716,0.129032,0.0111917
RuBisCO carboxylation,RBPCcx,0.05,Vmax 0.05x,0.0378181,0.484052,0.0420201,0.446234,0.0503628,0.644618,0.0559587
RuBisCO carboxylation,RBPCcx,0.1,Vmax 0.1x,0.0756362,0.750913,0.0840402,0.675277,0.100726,1,0.111917
RuBisCO carboxylation,RBPCcx,0.2,Vmax 0.2x,0.151272,0.750913,0.16808,0.59964,0.201451,1,0.223835
RuBisCO carboxylation,RBPCcx,0.5,Vmax 0.5x,0.378181,0.750913,0.420201,0.372732,0.503628,1,0.559587
RuBisCO carboxylation,RBPCcx,1,Vmax 1x,0.45196,0.750913,0.502178,0.298953,0.601881,1,0.668756
RuBisCO carboxylation,RBPCcx,2,Vmax 2x,0.45196,0.750913,0.738836,0.298953,0.601881,1,0.983917
