reaction_id,pathway,enzyme_name,ec_number,dsm123_locus_tags,pgidnb_rnaseq_locus_tags,kinetic_record_status,kinetic_reference_accession,kinetic_reference_organism_strain,kinetic_reference_note,kcat_s_inv,km_mM_by_substrate,substrate_pool_mM_used_for_MM,rnaseq_6h_median_expression,rnaseq_allocation_fraction,enzyme_umol_per_gDW,vmax_mmol_gDW_h,mm_bound_formula
RBPCcx,CBB,Rubisco carboxylase/oxygenase mixed reaction,4.1.1.39,ACXYSJ_06455;ACXYSJ_06460;ACXYSJ_21465,PGIDNB_06415;PGIDNB_06420;PGIDNB_18030;PGIDNB_21305,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=4.1.1.39&r=702278,Rhodospirillum rubrum,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,6.28,co2_c: 0.446 mM; rb15bp_c: 0.0128 mM,co2_c: 0.01 mM; rb15bp_c: 0.1 mM,83225.76644,0.35426120085635,1.5145799605065324,34.24162374713169,direction-specific Vmax * min(S_i / (Km_i + S_i))
FDH,Formate oxidation,Formate dehydrogenase,1.17.1.9,ACXYSJ_23600;ACXYSJ_23605;ACXYSJ_23610;ACXYSJ_23615;ACXYSJ_23620,PGIDNB_23465;PGIDNB_23470;PGIDNB_23475;PGIDNB_23480;PGIDNB_23485,applied: normalized CSV kcat/Km with source link,This study,Rhodopseudomonas palustris DSM 123; RpFDH measured in this study,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,33.76,for_c: 0.38126 mM,for_c: 10 mM,7378.952316666667,0.03140946152353727,0.07417090138041506,9.014434670170123,direction-specific Vmax * min(S_i / (Km_i + S_i))
RPE,CBB,Ribulose-phosphate 3-epimerase,5.1.3.1,ACXYSJ_16955,PGIDNB_16830,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=5.1.3.1&r=672127,Streptococcus pyogenes,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,100.0,ru5p__D_c: 0.2 mM,ru5p__D_c: 0.1 mM,1111.7041886666666,0.0047321121537284285,0.09479058514835316,34.12461065340713,direction-specific Vmax * min(S_i / (Km_i + S_i))
FBA,CBB,Fructose-bisphosphate aldolase,4.1.2.13,ACXYSJ_21470,PGIDNB_21310,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=652876,Escherichia coli,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,10.5,fdp_c: 0.17 mM,fdp_c: 0.1 mM,29876.834866666668,0.12717459808895454,1.6371607792262293,61.88467745475146,direction-specific Vmax * min(S_i / (Km_i + S_i))
FBA3,CBB,Sedoheptulose-bisphosphate aldolase activity,4.1.2.13,ACXYSJ_03295,PGIDNB_03300,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=714279,Methylococcus capsulatus,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,0.055,s17bp_c: 0.19 mM; dhap_c: 0.095 mM,s17bp_c: 0.1 mM; dhap_c: 0.1 mM,19480.133663333334,0.08291969950664085,0.8477710077558961,0.16785865953566742,direction-specific Vmax * min(S_i / (Km_i + S_i))
PGK,CBB,Phosphoglycerate kinase,2.7.2.3,ACXYSJ_03310,PGIDNB_03315,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=2.7.2.3&r=642281,Methanobacterium bryantii; Methanothermus fervidus; Pyrococcus woesei,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,149.8,3pg_c: 0.75 mM; atp_c: 0.73 mM,3pg_c: 0.1 mM; atp_c: 2 mM,3405.2154269999996,0.014494738323777082,0.16924874899759806,91.27246535942469,direction-specific Vmax * min(S_i / (Km_i + S_i))
GAPD,CBB,Glyceraldehyde-3-phosphate dehydrogenase,1.2.1.12,ACXYSJ_03320,PGIDNB_03325,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=1.2.1.12&r=743222,Corynebacterium glutamicum ATCC 13032,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,6.45,nadh_c: 0.048 mM,nadh_c: 0.1 mM,4242.791042333333,0.01805998687585738,0.2505363715315683,5.817454546963017,direction-specific Vmax * min(S_i / (Km_i + S_i))
TKT1,CBB,Transketolase,2.2.1.1,ACXYSJ_03325;ACXYSJ_21475,PGIDNB_03330;PGIDNB_21315,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=735856,Bacillus methanolicus MGA3,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,40.0,r5p_c: 0.12 mM; xu5p__D_c: 0.12 mM; g3p_c: 0.67 mM,r5p_c: 0.1 mM; xu5p__D_c: 0.1 mM; g3p_c: 0.1 mM,12304.936990166665,0.05237755013936479,0.18260522151840197,26.295151898649884,direction-specific Vmax * min(S_i / (Km_i + S_i))
TKT2,CBB,Transketolase,2.2.1.1,ACXYSJ_03325;ACXYSJ_21475,PGIDNB_03330;PGIDNB_21315,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=757197,Salmonella enterica subsp. enterica serovar Typhimurium ATCC 14028s,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,671.0,e4p_c: 0.23 mM; xu5p__D_c: 0.058 mM,e4p_c: 0.1 mM; xu5p__D_c: 0.1 mM,12304.936990166665,0.05237755013936479,0.18260522151840197,441.1011730998518,direction-specific Vmax * min(S_i / (Km_i + S_i))
TALA,CBB,Transaldolase,2.2.1.2,ACXYSJ_07555,PGIDNB_07505,applied: normalized CSV kcat/Km with source link,https://www.brenda-enzymes.org/literature.php?e=2.2.1.2&r=719298,Escherichia coli,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,13.0,g3p_c: 1.9 mM,g3p_c: 0.1 mM,6775.789539333334,0.02884202142715793,0.14109130481878596,6.603073065519182,direction-specific Vmax * min(S_i / (Km_i + S_i))
