reaction_id,metabolite_id,km_mM,default_concentration_mM,concentration_source
RBPC,co2_c,0.014,0.01,R. rubrum Form II RuBisCO curated Km
RBPC,rb15bp_c,0.015,0.1,R. rubrum Form II RuBisCO curated Km
RBCh,o2_c,0.3,0.25,R. rubrum RuBisCO oxygenase curated Km
RBCh,rb15bp_c,0.015,0.1,R. rubrum RuBisCO oxygenase curated Km
RBPCcx,co2_c,0.017,0.01,R. palustris/R. rubrum apparent RuBisCO proxy
RBPCcx,rb15bp_c,0.015,0.1,apparent RuBisCO proxy
FDH,for_c,0.2378,10.0,dynamic formate proxy
RPE,ru5p__D_c,0.35,0.1,E. coli K-12 RPE homolog proxy
FBA,fdp_c,0.015,0.1,Gram-negative Class II aldolase curated Km
FBA3,s17bp_c,0.035,0.1,Gram-negative Class II aldolase SBP curated Km
PGK,3pg_c,0.65,0.1,E. coli/Rhodobacter PGK curated Km
PGK,atp_c,0.18,2.0,E. coli/Rhodobacter PGK curated Km
GAPD,13dpg_c,0.065,0.1,R. sphaeroides GAPDH curated Km
GAPD,nadh_c,0.03,0.1,R. sphaeroides GAPDH curated Km
TKT1,r5p_c,0.18,0.1,E. coli K-12 TktA homolog proxy
TKT1,xu5p__D_c,0.12,0.1,E. coli K-12 TktA homolog proxy
TKT2,e4p_c,0.08,0.1,E. coli K-12 TktA homolog proxy
TKT2,xu5p__D_c,0.12,0.1,E. coli K-12 TktA homolog proxy
TALA,s7p_c,0.15,0.1,E. coli K-12 TalB homolog proxy
TALA,g3p_c,0.09,0.1,E. coli K-12 TalB homolog proxy
SBP,s17bp_c,0.025,0.1,Rhodobacter GlpX-family FBPase/SBPase proxy
FBP,fdp_c,0.012,0.1,Rhodobacter GlpX-family FBPase/SBPase proxy
CS,accoa_c,0.06,0.2,curated Km from R. capsulatus CS
CS,oaa_c,0.03,0.05,curated Km from R. capsulatus CS
ACONT,cit_c,1.2,0.2,E. coli K-12 AcnA/AcnB homolog proxy
ACONT,icit_c,0.4,0.1,E. coli K-12 AcnA/AcnB homolog proxy
ACONTa,cit_c,1.2,0.2,E. coli K-12 AcnA/AcnB homolog proxy
ACONTb,icit_c,0.4,0.1,E. coli K-12 AcnA/AcnB homolog proxy
ICDHyr,icit_c,0.016,0.1,R. rubrum ICDH
ICDHyr,nadp_c,0.011,0.5,R. rubrum ICDH
AKGDH,akg_c,0.15,0.2,R. rubrum OGDH E1-limited complex proxy
AKGDH,nad_c,0.1,1.0,R. rubrum OGDH E1-limited complex proxy
AKGDa,akg_c,0.15,0.2,R. rubrum OGDH E1-limited proxy
AKGDb,akg_c,0.15,0.2,R. rubrum OGDH complex-level E1-limited proxy
SUCOAS,succ_c,1.5,0.2,E. coli/model-organism SCS proxy
SUCOAS,atp_c,0.2,2.0,E. coli/model-organism SCS proxy
SUCDi,succ_c,0.45,0.2,R. sphaeroides SDH membrane-complex proxy
FUM,fum_c,0.15,0.2,E. coli K-12 FumA/B Class I homolog proxy
FUM,mal__L_c,0.45,0.2,E. coli K-12 FumA/B Class I homolog proxy
MDH,oaa_c,0.038,0.05,R. capsulatus MDH
MDH,nadh_c,0.019,0.1,R. capsulatus MDH
ME2,mal__L_c,0.28,0.2,R. rubrum NADP-dependent malic enzyme
ME2,nadp_c,0.03,0.5,R. rubrum NADP-dependent malic enzyme
