gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
RPE_RS16135,ACXYSJ_06055,29.384,211,117,9,15,209,7,201,1.97e-07,47.4,234,0.9017094017094017,<=>
RPE_RS16165,ACXYSJ_12545,39.062,128,76,1,5,130,4,131,1.99e-32,108.0,132,0.9696969696969697,<=>
RPE_RS03130,ACXYSJ_14050,85.0,40,6,0,5,44,13,52,2.3000000000000004e-21,74.7,44,0.9090909090909091,->
RPE_RS18880,ACXYSJ_07160,81.102,381,72,0,1,381,1,381,0.0,644.0,381,1.0,<=>
RPE_RS11170,ACXYSJ_14395,46.552,58,31,0,92,149,77,134,9.7e-08,46.2,159,0.36477987421383645,<=>
RPE_RS07255,ACXYSJ_05215,72.611,157,43,0,1,157,1,157,3e-83,239.0,161,0.9751552795031055,<=>
RPE_RS24730,ACXYSJ_00385,24.54,163,122,1,521,683,147,308,8.96e-05,42.4,699,0.23319027181688126,->
RPE_RS09430,ACXYSJ_16080,79.646,113,23,0,1,113,1,113,2.3800000000000003e-64,188.0,115,0.9826086956521739,<=>
RPE_RS20440,ACXYSJ_19550,80.886,361,69,0,1,361,1,361,0.0,572.0,371,0.9730458221024259,<=>
RPE_RS09160,ACXYSJ_07065,85.991,464,65,0,1,464,1,464,0.0,838.0,464,1.0,<=>
RPE_RS03605,ACXYSJ_22840,88.767,365,41,0,1,365,1,365,0.0,640.0,365,1.0,<=>
RPE_RS10250,ACXYSJ_07670,82.101,257,46,0,1,257,1,257,1.41e-149,415.0,257,1.0,<=>
RPE_RS10200,ACXYSJ_07640,85.816,141,18,1,1,139,1,141,3.5e-86,245.0,139,1.014388489208633,<=>
RPE_RS00610,ACXYSJ_01485,57.511,233,98,1,12,243,30,262,3.12e-81,241.0,246,0.9471544715447154,<=>
RPE_RS24100,ACXYSJ_22010,63.06,268,90,6,1,261,1,266,5.15e-113,323.0,263,1.0190114068441065,<=>
RPE_RS09970,ACXYSJ_15535,75.676,222,54,0,1,222,1,222,2.13e-126,354.0,229,0.9694323144104804,<=>
RPE_RS19490,ACXYSJ_21535,66.376,229,77,0,4,232,6,234,5.8699999999999996e-95,275.0,232,0.9870689655172413,<=>
RPE_RS22625,ACXYSJ_21355,86.237,465,64,0,1,465,1,465,0.0,853.0,555,0.8378378378378378,<=>
RPE_RS16100,ACXYSJ_18240,33.549,772,480,8,17,781,16,761,3.2e-119,375.0,795,0.9710691823899371,->
RPE_RS03280,ACXYSJ_02475,83.429,175,29,0,1,175,1,175,1.26e-110,310.0,181,0.9668508287292817,<=>
RPE_RS08660,ACXYSJ_19985,76.971,482,110,1,1,481,1,482,0.0,704.0,481,1.002079002079002,<=>
RPE_RS24020,ACXYSJ_22490,88.439,346,40,0,1,346,1,346,0.0,637.0,346,1.0,<=>
RPE_RS16785,ACXYSJ_10240,86.813,273,36,0,1,273,1,273,1.31e-178,490.0,274,0.9963503649635036,<=>
