constraint_type,reaction_id,pathway,enzyme_name,ec_number,dsm123_locus_tags,rnaseq_locus_tags,parameter_origin_category,source_database_literature_or_accession,reference_organism_or_strain,parameter_origin_note,parameter_status,exact_record_verification_status,specific_record_id,specific_record_url,assay_variant_or_state,model_parameter_role,exact_record_verification_note,kcat_s_inv,kcat_forward_s_inv,kcat_reverse_s_inv,directional_kcat_by_substrate,km_mM_by_substrate,substrate_concentration_mM_used,substrate_concentration_source,rnaseq_6h_expression,rnaseq_allocation_fraction,biomass_protein_fraction_g_per_gDW,enzyme_pool_fraction_of_biomass_protein,estimated_enzyme_mw_kDa,allocated_enzyme_mass_g_per_gDW,enzyme_umol_per_gDW,vmax_mmol_gDW_h,vmax_forward_mmol_gDW_h,vmax_reverse_mmol_gDW_h,parameter_input_file,vmax_calculation,effective_bound_equation,kinetic_reference_note
Transport Michaelis-Menten uptake,EX_for_e / FORt,Formate transport,ForT formate transporter,not applicable,ACXYSJ_23625,not used for direct transport Vmax,Direct DSM 123 measurement,DSM 123 ForT experimental parameter,Rhodopseudomonas palustris DSM 123,Km and Vmax measured for the DSM 123 ForT transport system in this study.,Experimentally constrained transport parameter,Direct local experimental value; no public database record,This study: DSM 123 ForT transport measurements,,DSM 123 ForT transport measurement,Direct experimental transport constraint,Include the local experimental table or supplementary source.,,,,,for_e: 0.01814 mM,dynamic external formate concentration,dFBA state variable,,,,,,,,1.786555464,,,,Direct experimental Vmax; not calculated from kcat and enzyme amount,v_uptake = Vmax * [formate] / (Km + [formate]),ForT Km and Vmax from the DSM 123 transport measurements used in this study.
Enzyme Michaelis-Menten capacity,RBPCcx,CBB,Rubisco carboxylase/oxygenase mixed reaction,4.1.1.39,ACXYSJ_06455;ACXYSJ_06460;ACXYSJ_21465,PGIDNB_06415;PGIDNB_06420;PGIDNB_18030;PGIDNB_21305,Network-modeling proxy,https://www.brenda-enzymes.org/literature.php?e=4.1.1.39&r=702278,Rhodospirillum rubrum,Apparent kcat and Km selected from reported R. palustris/R. rubrum RuBisCO ranges for the mixed model reaction.,applied: normalized CSV kcat/Km with source link,Not an experimental record: explicit network-modeling proxy,Modeling proxy only,,Apparent mixed RuBisCO model reaction,Provisional model proxy only,No single experimental kinetic record exists for this mixed model reaction.,6.28,6.28,6.28,,co2_c: 0.446 mM; rb15bp_c: 0.0128 mM,co2_c: 0.01 mM; rb15bp_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=4.1.1.39&r=702278,83225.76644,0.35426120085635,0.5112,1.0,119.57000000000001,0.18109832587776611,1.5145799605065324,34.24162374713169,34.24162374713169,34.24162374713169,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,FDH,Formate oxidation,Formate dehydrogenase,1.17.1.9,ACXYSJ_23600;ACXYSJ_23605;ACXYSJ_23610;ACXYSJ_23615;ACXYSJ_23620,PGIDNB_23465;PGIDNB_23470;PGIDNB_23475;PGIDNB_23480;PGIDNB_23485,Direct DSM 123 measurement,This study,Rhodopseudomonas palustris DSM 123; RpFDH measured in this study,kcat and Km measured for DSM 123 RpFDH in this study; UniProt Q6NBU4 identifies the CGA009 homolog only.,applied: normalized CSV kcat/Km with source link,Direct local experimental value; no public database kinetic record,This study: DSM 123 RpFDH kinetic table; Q6NBU4 is homolog annotation only,,DSM 123 RpFDH enzyme assay,Direct experimental enzyme constraint,Do not present Q6NBU4 as the kinetic source.,33.76,33.76,33.76,,for_c: 0.38126 mM,for_c: 10 mM,Km from normalized CSV; BRENDA/source record: This study,7378.952316666667,0.03140946152353727,0.5112,1.0,216.48,0.016056516730832252,0.07417090138041506,9.014434670170123,9.014434670170123,9.014434670170123,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,RPE,CBB,Ribulose-phosphate 3-epimerase,5.1.3.1,ACXYSJ_16955,PGIDNB_16830,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=5.1.3.1&r=672127,Streptococcus pyogenes,Borrowed representative parameters from Streptococcus pyogenes; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",100.0,100.0,100.0,,ru5p__D_c: 0.2 mM,ru5p__D_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=5.1.3.1&r=672127,1111.7041886666666,0.0047321121537284285,0.5112,1.0,25.52,0.0024190557329859725,0.09479058514835316,34.12461065340713,34.12461065340713,34.12461065340713,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,FBA,CBB,Fructose-bisphosphate aldolase,4.1.2.13,ACXYSJ_21470,PGIDNB_21310,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=652876,Escherichia coli,Borrowed representative parameters from Escherichia coli; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",10.5,10.5,10.5,,fdp_c: 0.17 mM,fdp_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=652876,29876.834866666668,0.12717459808895454,0.5112,1.0,39.71,0.06501165454307356,1.6371607792262293,61.88467745475146,61.88467745475146,61.88467745475146,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,FBA3,CBB,Sedoheptulose-bisphosphate aldolase activity,4.1.2.13,ACXYSJ_03295,PGIDNB_03300,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=714279,Methylococcus capsulatus,Borrowed representative parameters from Methylococcus capsulatus; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",0.055,0.055,0.055,,s17bp_c: 0.19 mM; dhap_c: 0.095 mM,s17bp_c: 0.1 mM; dhap_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=714279,19480.133663333334,0.08291969950664085,0.5112,1.0,50.0,0.0423885503877948,0.8477710077558961,0.16785865953566742,0.16785865953566742,0.16785865953566742,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,PGK,CBB,Phosphoglycerate kinase,2.7.2.3,ACXYSJ_03310,PGIDNB_03315,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=2.7.2.3&r=642281,Methanobacterium bryantii; Methanothermus fervidus; Pyrococcus woesei,Borrowed representative parameters from Methanobacterium bryantii; Methanothermus fervidus; Pyrococcus woesei; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",149.8,149.8,149.8,,3pg_c: 0.75 mM; atp_c: 0.73 mM,3pg_c: 0.1 mM; atp_c: 2 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=2.7.2.3&r=642281,3405.2154269999996,0.014494738323777082,0.5112,1.0,43.78,0.007409710231114844,0.16924874899759806,91.27246535942469,91.27246535942469,91.27246535942469,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,GAPD,CBB,Glyceraldehyde-3-phosphate dehydrogenase,1.2.1.12,ACXYSJ_03320,PGIDNB_03325,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=1.2.1.12&r=743222,Corynebacterium glutamicum ATCC 13032,Borrowed representative parameters from Corynebacterium glutamicum ATCC 13032; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",6.45,6.45,6.45,,nadh_c: 0.048 mM,nadh_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=1.2.1.12&r=743222,4242.791042333333,0.01805998687585738,0.5112,1.0,36.85,0.009232265290938292,0.2505363715315683,5.817454546963017,5.817454546963017,5.817454546963017,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,TKT1,CBB,Transketolase,2.2.1.1,ACXYSJ_03325;ACXYSJ_21475,PGIDNB_03330;PGIDNB_21315,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=735856,Bacillus methanolicus MGA3,Borrowed representative parameters from Bacillus methanolicus MGA3; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",40.0,40.0,40.0,,r5p_c: 0.12 mM; xu5p__D_c: 0.12 mM; g3p_c: 0.67 mM,r5p_c: 0.1 mM; xu5p__D_c: 0.1 mM; g3p_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=735856,12304.936990166665,0.05237755013936479,0.5112,1.0,146.63,0.02677540363124328,0.18260522151840197,26.295151898649884,26.295151898649884,26.295151898649884,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
Enzyme Michaelis-Menten capacity,TKT2,CBB,Transketolase,2.2.1.1,ACXYSJ_03325;ACXYSJ_21475,PGIDNB_03330;PGIDNB_21315,Purple-bacterial representative/homolog,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=757197,Salmonella enterica subsp. enterica serovar Typhimurium ATCC 14028s,Borrowed representative parameters from Salmonella enterica subsp. enterica serovar Typhimurium ATCC 14028s; not directly measured in DSM 123.,applied: normalized CSV kcat/Km with source link,Unverified: no specific kinetic record currently linked,,,Not established,Provisional proxy assumption only,"Do not cite as experimentally verified until a record with matching value, substrate, organism, variant, and assay is linked.",671.0,671.0,671.0,,e4p_c: 0.23 mM; xu5p__D_c: 0.058 mM,e4p_c: 0.1 mM; xu5p__D_c: 0.1 mM,Km from normalized CSV; BRENDA/source record: https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=757197,12304.936990166665,0.05237755013936479,0.5112,1.0,146.63,0.02677540363124328,0.18260522151840197,441.1011730998518,441.1011730998518,441.1011730998518,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,kcat_s_inv * (enzyme_umol_per_gDW / 1000) * 3600,direction-specific Vmax * min[S_i / (Km_i + S_i)],Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.
