,DSM123
RPE_02015,0
RPE_4644,0
RPE_RS00010,1
RPE_RS00055,1
RPE_RS00090,1
RPE_RS00125,1
RPE_RS00160,1
RPE_RS00165,1
RPE_RS00180,1
RPE_RS00210,1
RPE_RS00225,1
RPE_RS00265,1
RPE_RS00330,1
RPE_RS00345,1
RPE_RS00370,1
RPE_RS00445,1
RPE_RS00460,1
RPE_RS00480,0
RPE_RS00485,0
RPE_RS00490,0
RPE_RS00520,1
RPE_RS00525,1
RPE_RS00530,1
RPE_RS00550,1
RPE_RS00560,1
RPE_RS00590,1
RPE_RS00605,1
RPE_RS00665,1
RPE_RS00680,1
RPE_RS00705,1
RPE_RS00720,1
RPE_RS00725,1
RPE_RS00745,1
RPE_RS00770,1
RPE_RS00775,1
RPE_RS00790,1
RPE_RS00795,1
RPE_RS00800,1
RPE_RS00810,1
RPE_RS00825,1
RPE_RS00835,1
RPE_RS00840,1
RPE_RS00845,1
RPE_RS00870,0
RPE_RS00885,1
RPE_RS00905,0
RPE_RS00910,1
RPE_RS00925,1
RPE_RS00940,1
RPE_RS00945,1
RPE_RS00965,0
RPE_RS01020,1
RPE_RS01025,1
RPE_RS01045,1
RPE_RS01070,0
RPE_RS01090,1
RPE_RS01100,1
RPE_RS01120,1
RPE_RS01125,0
RPE_RS01130,1
RPE_RS01150,1
RPE_RS01175,1
RPE_RS01195,1
RPE_RS01225,1
RPE_RS01230,1
RPE_RS01250,1
RPE_RS01275,1
RPE_RS01285,1
RPE_RS01290,1
RPE_RS01295,1
RPE_RS01340,1
RPE_RS01345,1
RPE_RS01395,0
RPE_RS01405,1
RPE_RS01410,1
RPE_RS01415,1
RPE_RS01420,1
RPE_RS01455,1
RPE_RS01465,1
RPE_RS01485,1
RPE_RS01490,1
RPE_RS01505,1
RPE_RS01520,1
RPE_RS01525,1
RPE_RS01540,1
RPE_RS01555,1
RPE_RS01560,1
RPE_RS01565,1
RPE_RS01570,1
RPE_RS01610,1
RPE_RS01665,1
RPE_RS01670,0
RPE_RS01675,0
RPE_RS01700,1
RPE_RS01710,1
RPE_RS01715,0
RPE_RS01720,1
RPE_RS01730,1
RPE_RS01775,1
RPE_RS01780,1
RPE_RS01800,1
RPE_RS01825,1
RPE_RS01830,1
RPE_RS01840,1
RPE_RS01855,1
RPE_RS01895,1
RPE_RS01900,1
RPE_RS01955,1
RPE_RS02000,1
RPE_RS02015,1
RPE_RS02020,1
RPE_RS02025,0
RPE_RS02035,1
RPE_RS02040,1
RPE_RS02135,1
RPE_RS02145,1
RPE_RS02150,1
RPE_RS02155,1
RPE_RS02170,1
RPE_RS02190,1
RPE_RS02195,1
RPE_RS02200,1
RPE_RS02210,1
RPE_RS02215,1
RPE_RS02230,1
RPE_RS02240,1
RPE_RS02275,1
RPE_RS02280,1
RPE_RS02285,1
RPE_RS02290,1
RPE_RS02295,1
RPE_RS02305,1
RPE_RS02345,1
RPE_RS02355,1
RPE_RS02360,1
RPE_RS02370,1
RPE_RS02375,1
RPE_RS02385,1
RPE_RS02405,1
RPE_RS02470,1
RPE_RS02485,1
RPE_RS02520,1
RPE_RS02530,1
RPE_RS02560,1
RPE_RS02565,1
RPE_RS02570,1
RPE_RS02575,1
RPE_RS02580,1
RPE_RS02620,1
RPE_RS02650,1
RPE_RS02655,1
RPE_RS02660,1
RPE_RS02685,1
RPE_RS02690,1
RPE_RS02700,1
RPE_RS02705,1
RPE_RS02730,1
RPE_RS02740,1
RPE_RS02755,1
RPE_RS02770,0
RPE_RS02890,0
RPE_RS02895,0
RPE_RS02905,0
RPE_RS02930,0
RPE_RS02945,1
RPE_RS02950,1
RPE_RS02955,1
RPE_RS02960,0
RPE_RS02965,0
RPE_RS02970,0
RPE_RS02975,0
RPE_RS03000,1
RPE_RS03005,1
RPE_RS03015,1
RPE_RS03040,1
RPE_RS03050,1
RPE_RS03055,1
RPE_RS03070,1
RPE_RS03100,0
RPE_RS03105,0
RPE_RS03115,0
RPE_RS03170,0
RPE_RS03175,1
RPE_RS03235,1
RPE_RS03255,1
RPE_RS03265,1
RPE_RS03275,1
RPE_RS03290,1
RPE_RS03305,1
RPE_RS03320,1
RPE_RS03340,1
RPE_RS03345,1
RPE_RS03360,1
RPE_RS03365,1
RPE_RS03370,1
RPE_RS03385,1
RPE_RS03410,1
RPE_RS03415,1
RPE_RS03430,1
RPE_RS03435,1
RPE_RS03440,0
RPE_RS03475,1
RPE_RS03480,1
RPE_RS03500,1
RPE_RS03505,1
RPE_RS03525,1
RPE_RS03530,1
RPE_RS03550,1
RPE_RS03590,1
RPE_RS03605,1
RPE_RS03685,1
RPE_RS03690,0
RPE_RS03715,1
RPE_RS03730,1
RPE_RS03735,1
RPE_RS03740,1
RPE_RS03750,1
RPE_RS03755,1
RPE_RS03760,1
RPE_RS03765,1
RPE_RS03790,1
RPE_RS03815,1
RPE_RS03820,1
RPE_RS03825,1
RPE_RS03835,1
RPE_RS03840,1
RPE_RS03850,0
RPE_RS03855,1
RPE_RS04005,0
RPE_RS04025,1
RPE_RS04030,1
RPE_RS04040,1
RPE_RS04050,0
RPE_RS04060,0
RPE_RS04070,0
RPE_RS04085,0
RPE_RS04120,1
RPE_RS04145,1
RPE_RS04150,1
RPE_RS04175,0
RPE_RS04265,0
RPE_RS04270,1
RPE_RS04295,0
RPE_RS04380,1
RPE_RS04385,1
RPE_RS04405,1
RPE_RS04425,1
RPE_RS04435,1
RPE_RS04440,0
RPE_RS04455,0
RPE_RS04495,1
RPE_RS04500,1
RPE_RS04505,0
RPE_RS04520,1
RPE_RS04580,1
RPE_RS04595,1
RPE_RS04600,1
RPE_RS04605,1
RPE_RS04610,1
RPE_RS04645,1
RPE_RS04660,1
RPE_RS04665,1
RPE_RS04670,1
RPE_RS04690,1
RPE_RS04705,1
RPE_RS04745,1
RPE_RS04765,1
RPE_RS04775,1
RPE_RS04780,1
RPE_RS04795,1
RPE_RS04800,1
RPE_RS04805,1
RPE_RS04810,1
RPE_RS04815,1
RPE_RS04820,1
RPE_RS04825,1
RPE_RS04835,1
RPE_RS04840,1
RPE_RS04845,0
RPE_RS04925,1
RPE_RS04935,1
RPE_RS04940,1
RPE_RS04945,1
RPE_RS04950,1
RPE_RS04955,1
RPE_RS04960,1
RPE_RS04965,0
RPE_RS04970,1
RPE_RS04975,1
RPE_RS04980,1
RPE_RS04985,1
RPE_RS04990,1
RPE_RS05000,0
RPE_RS05010,1
RPE_RS05015,0
RPE_RS05020,1
RPE_RS05025,0
RPE_RS05030,0
RPE_RS05035,0
RPE_RS05040,0
RPE_RS05045,0
RPE_RS05070,1
RPE_RS05180,0
RPE_RS05265,1
RPE_RS05390,1
RPE_RS05405,1
RPE_RS05420,1
RPE_RS05425,1
RPE_RS05470,0
RPE_RS05485,0
RPE_RS05525,0
RPE_RS05550,1
RPE_RS05635,0
RPE_RS05810,0
RPE_RS05920,0
RPE_RS06055,0
RPE_RS06110,1
RPE_RS06155,1
RPE_RS06160,1
RPE_RS06175,1
RPE_RS06200,0
RPE_RS06205,0
RPE_RS06210,0
RPE_RS06215,1
RPE_RS06220,1
RPE_RS06230,1
RPE_RS06235,1
RPE_RS06240,1
RPE_RS06245,1
RPE_RS06250,1
RPE_RS06345,0
RPE_RS06360,0
RPE_RS06370,0
RPE_RS06375,0
RPE_RS06380,0
RPE_RS06385,0
RPE_RS06390,0
RPE_RS06395,0
RPE_RS06400,0
RPE_RS06430,0
RPE_RS06455,0
RPE_RS06465,0
RPE_RS06470,1
RPE_RS06575,1
RPE_RS06585,1
RPE_RS06590,1
RPE_RS06625,1
RPE_RS06635,1
RPE_RS06640,1
RPE_RS06645,1
RPE_RS06650,1
RPE_RS06655,0
RPE_RS06670,1
RPE_RS06675,1
RPE_RS06680,1
RPE_RS06685,1
RPE_RS06690,1
RPE_RS06695,1
RPE_RS06700,1
RPE_RS06705,1
RPE_RS06710,1
RPE_RS06715,1
RPE_RS06720,1
RPE_RS06730,1
RPE_RS06740,1
RPE_RS06780,1
RPE_RS06785,1
RPE_RS06790,1
RPE_RS06795,1
RPE_RS06800,1
RPE_RS06805,1
RPE_RS06815,1
RPE_RS06820,0
RPE_RS06835,1
RPE_RS06845,1
RPE_RS06855,1
RPE_RS06860,1
RPE_RS06875,1
RPE_RS06890,1
RPE_RS06940,1
RPE_RS06945,1
RPE_RS06950,1
RPE_RS06955,1
RPE_RS06990,1
RPE_RS07000,1
RPE_RS07005,1
RPE_RS07025,1
RPE_RS07100,1
RPE_RS07105,1
RPE_RS07120,1
RPE_RS07165,1
RPE_RS07185,1
RPE_RS07200,1
RPE_RS07280,0
RPE_RS07285,1
RPE_RS07290,1
RPE_RS07295,1
RPE_RS07300,1
RPE_RS07305,1
RPE_RS07310,1
RPE_RS07325,1
RPE_RS07365,1
RPE_RS07375,1
RPE_RS07385,1
RPE_RS07395,0
RPE_RS07410,1
RPE_RS07460,0
RPE_RS07470,0
RPE_RS07540,0
RPE_RS07570,0
RPE_RS07575,0
RPE_RS07580,0
RPE_RS07585,0
RPE_RS07590,0
RPE_RS07625,0
RPE_RS07630,0
RPE_RS07645,0
RPE_RS07765,0
RPE_RS07895,1
RPE_RS08020,1
RPE_RS08025,1
RPE_RS08030,1
RPE_RS08035,1
RPE_RS08045,1
RPE_RS08090,1
RPE_RS08095,1
RPE_RS08105,1
RPE_RS08115,1
RPE_RS08120,1
RPE_RS08155,1
RPE_RS08175,0
RPE_RS08210,1
RPE_RS08235,1
RPE_RS08260,1
RPE_RS08275,1
RPE_RS08290,1
RPE_RS08305,1
RPE_RS08310,1
RPE_RS08315,1
RPE_RS08320,1
RPE_RS08330,0
RPE_RS08345,1
RPE_RS08370,1
RPE_RS08400,1
RPE_RS08445,1
RPE_RS08450,1
RPE_RS08470,1
RPE_RS08505,1
RPE_RS08535,1
RPE_RS08540,1
RPE_RS08550,1
RPE_RS08570,1
RPE_RS08590,1
RPE_RS08595,1
RPE_RS08600,1
RPE_RS08605,1
RPE_RS08610,1
RPE_RS08615,1
RPE_RS08620,1
RPE_RS08625,1
RPE_RS08630,1
RPE_RS08635,1
RPE_RS08640,1
RPE_RS08645,1
RPE_RS08650,1
RPE_RS08655,0
RPE_RS08660,1
RPE_RS08665,1
RPE_RS08670,1
RPE_RS08710,1
RPE_RS08725,1
RPE_RS08745,1
RPE_RS08765,1
RPE_RS08835,1
RPE_RS08840,1
RPE_RS08845,1
RPE_RS08850,1
RPE_RS08855,1
RPE_RS08860,1
RPE_RS08865,1
RPE_RS08875,1
RPE_RS08885,1
RPE_RS08890,1
RPE_RS08895,1
RPE_RS08900,1
RPE_RS08905,1
RPE_RS08915,1
RPE_RS08965,1
RPE_RS08975,1
RPE_RS08980,1
RPE_RS09020,1
RPE_RS09025,0
RPE_RS09030,1
RPE_RS09035,1
RPE_RS09045,1
RPE_RS09075,1
RPE_RS09090,1
RPE_RS09100,0
RPE_RS09125,1
RPE_RS09145,0
RPE_RS09160,1
RPE_RS09175,1
RPE_RS09190,1
RPE_RS09235,0
RPE_RS09245,1
RPE_RS09260,0
RPE_RS09325,1
RPE_RS09335,1
RPE_RS09340,1
RPE_RS09345,1
RPE_RS09350,1
RPE_RS09735,1
RPE_RS09755,0
RPE_RS09815,1
RPE_RS09835,1
RPE_RS09845,1
RPE_RS09900,0
RPE_RS09935,1
RPE_RS09945,1
RPE_RS09950,1
RPE_RS09970,1
RPE_RS09975,1
RPE_RS09985,1
RPE_RS09995,1
RPE_RS10000,1
RPE_RS10005,1
RPE_RS10040,1
RPE_RS10045,1
RPE_RS10055,1
RPE_RS10065,1
RPE_RS10070,1
RPE_RS10075,1
RPE_RS10080,1
RPE_RS10090,1
RPE_RS10095,0
RPE_RS10100,1
RPE_RS10110,1
RPE_RS10120,1
RPE_RS10125,1
RPE_RS10130,1
RPE_RS10135,1
RPE_RS10140,1
RPE_RS10145,1
RPE_RS10190,0
RPE_RS10200,1
RPE_RS10205,1
RPE_RS10250,1
RPE_RS10265,1
RPE_RS10280,0
RPE_RS10310,1
RPE_RS10345,0
RPE_RS10380,1
RPE_RS10385,1
RPE_RS10390,1
RPE_RS10395,1
RPE_RS10400,1
RPE_RS10410,1
RPE_RS10450,0
RPE_RS10455,0
RPE_RS10500,1
RPE_RS10530,1
RPE_RS10550,1
RPE_RS10555,1
RPE_RS10560,1
RPE_RS10565,1
RPE_RS10570,1
RPE_RS10580,1
RPE_RS10590,1
RPE_RS10600,0
RPE_RS10605,0
RPE_RS10610,1
RPE_RS10625,1
RPE_RS10675,1
RPE_RS10700,1
RPE_RS10735,1
RPE_RS10750,1
RPE_RS10775,0
RPE_RS10905,0
RPE_RS10920,0
RPE_RS10960,1
RPE_RS10970,1
RPE_RS10975,0
RPE_RS10980,1
RPE_RS11005,1
RPE_RS11015,1
RPE_RS11030,0
RPE_RS11035,1
RPE_RS11040,1
RPE_RS11060,0
RPE_RS11070,1
RPE_RS11075,1
RPE_RS11080,1
RPE_RS11090,1
RPE_RS11125,1
RPE_RS11130,1
RPE_RS11135,1
RPE_RS11145,1
RPE_RS11150,1
RPE_RS11155,1
RPE_RS11160,1
RPE_RS11165,1
RPE_RS11180,0
RPE_RS11190,0
RPE_RS11195,0
RPE_RS11200,1
RPE_RS11210,1
RPE_RS11220,1
RPE_RS11230,1
RPE_RS11235,1
RPE_RS11240,0
RPE_RS11280,1
RPE_RS11285,1
RPE_RS11305,1
RPE_RS11315,1
RPE_RS11320,1
RPE_RS11340,1
RPE_RS11345,1
RPE_RS11390,1
RPE_RS11480,1
RPE_RS11500,1
RPE_RS11535,1
RPE_RS11540,1
RPE_RS11555,1
RPE_RS11570,1
RPE_RS11630,1
RPE_RS11640,1
RPE_RS11715,1
RPE_RS11730,1
RPE_RS11785,1
RPE_RS11790,1
RPE_RS11835,0
RPE_RS11840,1
RPE_RS11910,1
RPE_RS11915,1
RPE_RS11930,1
RPE_RS11935,0
RPE_RS11945,0
RPE_RS11955,1
RPE_RS11970,1
RPE_RS11975,1
RPE_RS11980,1
RPE_RS11985,1
RPE_RS11995,1
RPE_RS12005,1
RPE_RS12030,0
RPE_RS12125,0
RPE_RS12295,0
RPE_RS12335,0
RPE_RS12540,1
RPE_RS12560,1
RPE_RS12570,1
RPE_RS12615,0
RPE_RS12620,0
RPE_RS12625,1
RPE_RS12655,1
RPE_RS12665,1
RPE_RS12675,1
RPE_RS12680,1
RPE_RS12690,1
RPE_RS12695,1
RPE_RS12700,1
RPE_RS12705,1
RPE_RS12710,1
RPE_RS127202,0
RPE_RS12730,1
RPE_RS12740,1
RPE_RS12760,1
RPE_RS12770,1
RPE_RS12815,1
RPE_RS12825,1
RPE_RS12830,1
RPE_RS12835,1
RPE_RS12850,1
RPE_RS12855,1
RPE_RS12860,1
RPE_RS12870,1
RPE_RS12875,1
RPE_RS12880,1
RPE_RS12885,1
RPE_RS12900,1
RPE_RS12915,0
RPE_RS12950,1
RPE_RS12960,1
RPE_RS12980,0
RPE_RS12985,1
RPE_RS12990,1
RPE_RS12995,1
RPE_RS13005,1
RPE_RS13015,1
RPE_RS13045,1
RPE_RS13050,0
RPE_RS13070,1
RPE_RS13075,1
RPE_RS13100,1
RPE_RS13110,1
RPE_RS13120,1
RPE_RS13130,1
RPE_RS13180,1
RPE_RS13185,1
RPE_RS13200,1
RPE_RS13400,0
RPE_RS13430,1
RPE_RS13455,1
RPE_RS13460,1
RPE_RS13465,1
RPE_RS13470,1
RPE_RS13475,0
RPE_RS13500,1
RPE_RS13510,1
RPE_RS13545,1
RPE_RS13560,1
RPE_RS13665,1
RPE_RS13680,1
RPE_RS13690,1
RPE_RS13695,1
RPE_RS13700,1
RPE_RS13705,1
RPE_RS13710,1
RPE_RS13715,0
RPE_RS13725,1
RPE_RS13745,1
RPE_RS13800,1
RPE_RS13810,1
RPE_RS13820,1
RPE_RS13830,1
RPE_RS13835,1
RPE_RS13865,1
RPE_RS13890,1
RPE_RS13910,1
RPE_RS13915,1
RPE_RS13990,1
RPE_RS13995,1
RPE_RS14010,1
RPE_RS14025,1
RPE_RS14030,1
RPE_RS14050,1
RPE_RS14065,1
RPE_RS14105,0
RPE_RS14110,1
RPE_RS14120,1
RPE_RS14130,1
RPE_RS14140,1
RPE_RS14145,1
RPE_RS14190,1
RPE_RS14195,1
RPE_RS14255,0
RPE_RS14260,0
RPE_RS14265,0
RPE_RS14270,0
RPE_RS14280,1
RPE_RS14285,1
RPE_RS14330,0
RPE_RS14335,1
RPE_RS14340,1
RPE_RS14345,1
RPE_RS14350,1
RPE_RS14365,1
RPE_RS14390,1
RPE_RS14395,1
RPE_RS14405,1
RPE_RS14425,0
RPE_RS14430,0
RPE_RS14450,1
RPE_RS14490,1
RPE_RS14495,1
RPE_RS14520,1
RPE_RS14615,1
RPE_RS14620,1
RPE_RS14640,1
RPE_RS14670,1
RPE_RS14715,1
RPE_RS14735,1
RPE_RS14755,1
RPE_RS14760,1
RPE_RS14765,1
RPE_RS14775,1
RPE_RS14780,0
RPE_RS14795,1
RPE_RS14870,1
RPE_RS14880,1
RPE_RS14885,1
RPE_RS14890,1
RPE_RS14895,0
RPE_RS14900,1
RPE_RS14910,1
RPE_RS14915,1
RPE_RS14925,1
RPE_RS14930,1
RPE_RS14955,1
RPE_RS14960,1
RPE_RS14970,1
RPE_RS15000,1
RPE_RS15030,1
RPE_RS15115,1
RPE_RS15145,1
RPE_RS15190,1
RPE_RS15195,1
RPE_RS15200,1
RPE_RS15225,1
RPE_RS15230,1
RPE_RS15240,0
RPE_RS15250,1
RPE_RS15255,1
RPE_RS15275,0
RPE_RS15295,1
RPE_RS15300,1
RPE_RS15335,1
RPE_RS15340,1
RPE_RS15350,1
RPE_RS15380,0
RPE_RS15490,0
RPE_RS15510,0
RPE_RS15525,1
RPE_RS15535,1
RPE_RS15545,1
RPE_RS15565,0
RPE_RS15570,0
RPE_RS15575,0
RPE_RS15580,1
RPE_RS15585,1
RPE_RS15590,1
RPE_RS15595,1
RPE_RS15600,1
RPE_RS15605,1
RPE_RS15610,1
RPE_RS15620,0
RPE_RS15625,0
RPE_RS15630,0
RPE_RS15635,1
RPE_RS15670,1
RPE_RS15685,1
RPE_RS15690,1
RPE_RS15695,1
RPE_RS15775,0
RPE_RS15780,1
RPE_RS15785,1
RPE_RS15805,1
RPE_RS15825,1
RPE_RS15830,1
RPE_RS15855,0
RPE_RS15865,0
RPE_RS15870,0
RPE_RS15875,0
RPE_RS15895,0
RPE_RS15920,1
RPE_RS15925,0
RPE_RS15935,0
RPE_RS15940,0
RPE_RS15945,0
RPE_RS15950,0
RPE_RS15955,0
RPE_RS15960,0
RPE_RS15965,0
RPE_RS15975,0
RPE_RS15980,0
RPE_RS15985,0
RPE_RS15995,0
RPE_RS16000,0
RPE_RS16005,0
RPE_RS16010,0
RPE_RS16015,0
RPE_RS16045,0
RPE_RS16050,0
RPE_RS16055,0
RPE_RS16060,0
RPE_RS16070,0
RPE_RS16075,0
RPE_RS16100,0
RPE_RS16105,0
RPE_RS16110,0
RPE_RS16120,0
RPE_RS16125,0
RPE_RS16130,0
RPE_RS16150,0
RPE_RS16155,0
RPE_RS16160,0
RPE_RS16170,0
RPE_RS16175,0
RPE_RS16310,0
RPE_RS16355,1
RPE_RS16375,1
RPE_RS16385,1
RPE_RS16415,1
RPE_RS16425,1
RPE_RS16430,1
RPE_RS16450,1
RPE_RS16455,0
RPE_RS16470,1
RPE_RS16475,1
RPE_RS16485,1
RPE_RS16495,1
RPE_RS16510,1
RPE_RS16515,1
RPE_RS16520,1
RPE_RS16525,1
RPE_RS16535,1
RPE_RS16545,1
RPE_RS16560,1
RPE_RS16575,1
RPE_RS16585,1
RPE_RS16590,1
RPE_RS16595,0
RPE_RS16660,0
RPE_RS16685,0
RPE_RS16690,0
RPE_RS16715,1
RPE_RS16745,1
RPE_RS16785,1
RPE_RS16815,1
RPE_RS16825,1
RPE_RS16845,1
RPE_RS16850,1
RPE_RS16895,1
RPE_RS16900,1
RPE_RS16905,1
RPE_RS16910,1
RPE_RS16945,1
RPE_RS16960,1
RPE_RS17000,1
RPE_RS17010,1
RPE_RS17040,1
RPE_RS17045,1
RPE_RS17050,1
RPE_RS17075,1
RPE_RS17105,1
RPE_RS17140,1
RPE_RS17150,1
