rpa,subject,PID
TX73_000005,PGIDNB_02745,91.772
TX73_000010,PGIDNB_02740,93.834
TX73_000015,PGIDNB_02735,85.45
TX73_000020,PGIDNB_02730,91.278
TX73_000030,PGIDNB_14935,41.83
TX73_000035,PGIDNB_22850,82.744
TX73_000040,PGIDNB_22855,96.739
TX73_000045,PGIDNB_22860,84.505
TX73_000050,PGIDNB_22865,89.412
TX73_000055,PGIDNB_22870,76.812
TX73_000060,PGIDNB_22875,60.241
TX73_000065,PGIDNB_22880,86.047
TX73_000070,PGIDNB_22885,90.723
TX73_000075,PGIDNB_22890,83.832
TX73_000080,PGIDNB_22895,88.066
TX73_000085,PGIDNB_22900,82.653
TX73_000090,PGIDNB_22905,74.545
TX73_000095,PGIDNB_22910,86.122
TX73_000100,PGIDNB_22915,93.989
TX73_000105,PGIDNB_22920,77.199
TX73_000110,PGIDNB_22925,89.024
TX73_000115,PGIDNB_22930,86.07
TX73_000120,PGIDNB_22945,86.996
TX73_000125,PGIDNB_22950,89.619
TX73_000130,PGIDNB_22955,79.21
TX73_000135,PGIDNB_22960,84.335
TX73_000140,PGIDNB_22970,87.671
TX73_000145,PGIDNB_22975,94.539
TX73_000150,PGIDNB_22980,87.587
TX73_000155,PGIDNB_22985,85.809
TX73_000160,PGIDNB_22990,77.027
TX73_000165,PGIDNB_22995,78.453
TX73_000170,PGIDNB_02080,84.452
TX73_000175,PGIDNB_02075,73.002
TX73_000180,PGIDNB_02070,88.571
TX73_000185,PGIDNB_02065,81.679
TX73_000190,PGIDNB_02060,92.244
TX73_000195,PGIDNB_02055,92.5
TX73_000200,PGIDNB_02050,98.507
TX73_000205,PGIDNB_02040,95.276
TX73_000210,PGIDNB_02035,80.315
TX73_000215,PGIDNB_02030,81.389
TX73_000220,PGIDNB_02025,93.939
TX73_000225,PGIDNB_02020,86.142
TX73_000230,PGIDNB_02015,87.267
TX73_000240,PGIDNB_02005,91.707
TX73_000245,PGIDNB_02000,82.569
TX73_000250,PGIDNB_01995,78.155
TX73_000255,PGIDNB_01990,86.622
TX73_000260,PGIDNB_01985,89.292
TX73_000265,PGIDNB_01980,92.5
TX73_000270,PGIDNB_01975,95.455
TX73_000275,PGIDNB_01970,92.135
TX73_000280,PGIDNB_01965,96.479
TX73_000285,PGIDNB_01960,82.645
TX73_000290,PGIDNB_01955,92.58
TX73_000295,PGIDNB_01950,90.816
TX73_000300,PGIDNB_01945,93.454
TX73_000305,PGIDNB_01940,90.796
TX73_000315,PGIDNB_01930,84.559
TX73_000320,PGIDNB_01925,87.444
TX73_000325,PGIDNB_01920,74.667
TX73_000330,PGIDNB_01915,81.221
TX73_000335,PGIDNB_01910,98.057
TX73_000340,PGIDNB_01905,83.851
TX73_000345,PGIDNB_01900,95.833
TX73_000350,PGIDNB_01895,72.868
TX73_000355,PGIDNB_01890,74.178
TX73_000360,PGIDNB_01885,93.086
TX73_000365,PGIDNB_01880,88.172
TX73_000370,PGIDNB_01875,85.093
TX73_000375,PGIDNB_01870,83.073
TX73_000380,PGIDNB_01865,95.327
TX73_000385,PGIDNB_01860,79.931
TX73_000390,PGIDNB_01855,78.044
TX73_000395,PGIDNB_01850,87.137
TX73_000400,PGIDNB_01845,82.828
TX73_000405,PGIDNB_01840,80.276
TX73_000410,PGIDNB_01835,80.385
TX73_000415,PGIDNB_01830,80.392
TX73_000420,PGIDNB_01825,84.33
TX73_000425,PGIDNB_01820,92.366
TX73_000430,PGIDNB_01815,91.339
TX73_000435,PGIDNB_01810,86.054
TX73_000440,PGIDNB_01800,69.518
TX73_000445,PGIDNB_01795,84.906
TX73_000450,PGIDNB_23155,86.146
TX73_000455,PGIDNB_23160,86
TX73_000460,PGIDNB_23165,86.842
TX73_000465,PGIDNB_23170,83.704
TX73_000470,PGIDNB_23175,79.825
TX73_000480,PGIDNB_16570,40.625
TX73_000485,PGIDNB_23185,77.133
TX73_000490,PGIDNB_14305,34.104
TX73_000495,PGIDNB_14310,42.315
TX73_000500,PGIDNB_23195,77.612
TX73_000505,PGIDNB_16630,50
TX73_000510,PGIDNB_05035,50.575
TX73_000515,PGIDNB_20820,48
TX73_000520,PGIDNB_20815,45.253
TX73_000525,PGIDNB_20810,35.256
TX73_000530,PGIDNB_23405,34.462
TX73_000540,PGIDNB_14340,27.902
TX73_000545,PGIDNB_07040,52.507
TX73_000550,PGIDNB_15245,26.014
TX73_000555,PGIDNB_06880,31.25
TX73_000560,PGIDNB_04350,40.157
TX73_000565,PGIDNB_09735,28.125
TX73_000575,PGIDNB_01605,37.856
TX73_000585,PGIDNB_20830,26.835
TX73_000590,PGIDNB_20250,63.291
TX73_000595,PGIDNB_17870,81.633
TX73_000600,PGIDNB_17870,73.988
TX73_000605,PGIDNB_17870,76.119
TX73_000610,PGIDNB_17865,73.118
TX73_000615,PGIDNB_17860,65.87
TX73_000620,PGIDNB_17855,82.807
TX73_000625,PGIDNB_12990,71.574
TX73_000630,PGIDNB_13985,68.742
TX73_000635,PGIDNB_13980,73.112
TX73_000640,PGIDNB_09085,82.545
TX73_000645,PGIDNB_09085,34.615
TX73_000650,PGIDNB_09090,89.227
TX73_000655,PGIDNB_09095,89.098
TX73_000660,PGIDNB_09100,79.747
TX73_000665,PGIDNB_09105,74.805
TX73_000670,PGIDNB_09110,81.404
TX73_000675,PGIDNB_15145,45.161
TX73_000680,PGIDNB_18760,38.793
TX73_000685,PGIDNB_18755,39.456
TX73_000690,PGIDNB_23475,36.323
TX73_000695,PGIDNB_21830,31.579
TX73_000700,PGIDNB_13410,27.528
TX73_000705,PGIDNB_06635,37.736
TX73_000710,PGIDNB_06645,34.4
TX73_000715,PGIDNB_16990,37.419
TX73_000720,PGIDNB_06630,21.986
TX73_000725,PGIDNB_06630,22.581
TX73_000730,PGIDNB_06625,38.095
TX73_000735,PGIDNB_06635,40.566
TX73_000745,PGIDNB_00930,36
TX73_000755,PGIDNB_13350,78.788
TX73_000760,PGIDNB_13345,72.414
TX73_000765,PGIDNB_13340,75.391
TX73_000770,PGIDNB_13335,82.196
TX73_000775,PGIDNB_13330,74.063
TX73_000780,PGIDNB_13325,75
TX73_000785,PGIDNB_13320,76.243
TX73_000790,PGIDNB_05145,41.799
TX73_000795,PGIDNB_14080,42.537
TX73_000800,PGIDNB_05155,40.58
TX73_000810,PGIDNB_23670,84.375
TX73_000815,PGIDNB_23675,88.889
TX73_000820,PGIDNB_23680,92.308
TX73_000825,PGIDNB_23685,84.264
TX73_000830,PGIDNB_23690,71.875
TX73_000835,PGIDNB_23695,58.621
TX73_000840,PGIDNB_23700,73.579
TX73_000845,PGIDNB_23705,94.915
TX73_000850,PGIDNB_23755,93.333
TX73_000855,PGIDNB_23770,90.023
TX73_000860,PGIDNB_23775,76.667
TX73_000865,PGIDNB_23780,85.841
TX73_000870,PGIDNB_23785,85.093
TX73_000875,PGIDNB_23790,79.104
TX73_000880,PGIDNB_23795,94.118
TX73_000885,PGIDNB_23800,75.3
TX73_000890,PGIDNB_23805,90.533
TX73_000895,PGIDNB_23810,85.714
TX73_000900,PGIDNB_23815,94.62
TX73_000905,PGIDNB_23820,85.799
TX73_000910,PGIDNB_23825,86.029
TX73_000915,PGIDNB_23830,95.807
TX73_000920,PGIDNB_23835,94.178
TX73_000925,PGIDNB_23840,95.108
TX73_000930,PGIDNB_23845,89.84
TX73_000935,PGIDNB_23850,75.159
