rpal_gene,primary_target,all_targets,target_count,best_hit,best_pident,best_qcov,best_evalue,best_bitscore,pass_threshold,reverse_supported,has_extra_copies
RPE_RS00005,ACXYSJ_02750,ACXYSJ_02750,1,ACXYSJ_02750,89.66,99.79,0.00e+00,853.0,yes,yes,no
RPE_RS00010,ACXYSJ_02745,ACXYSJ_02745,1,ACXYSJ_02745,90.32,99.73,0.00e+00,681.0,yes,yes,no
RPE_RS00015,ACXYSJ_02740,ACXYSJ_02740,1,ACXYSJ_02740,83.82,99.21,0.00e+00,623.0,yes,yes,no
RPE_RS00020,,,0,ACXYSJ_18055,27.31,60.32,6.66e-06,45.4,no,no,no
RPE_RS00025,ACXYSJ_02735,ACXYSJ_02735,1,ACXYSJ_02735,93.23,99.88,0.00e+00,1525.0,yes,yes,no
RPE_RS00030,,,0,ACXYSJ_18785,42.41,89.51,5.58e-69,214.0,no,no,no
RPE_RS00035,,,0,ACXYSJ_08980,52.63,94.06,6.73e-95,279.0,no,no,no
RPE_RS00040,ACXYSJ_23005,ACXYSJ_23005,1,ACXYSJ_23005,86.98,99.41,8.05e-107,300.0,yes,yes,no
RPE_RS00045,,,0,ACXYSJ_23010,64.61,84.42,4.86e-24,83.6,no,no,no
RPE_RS00050,ACXYSJ_23020,ACXYSJ_23020,1,ACXYSJ_23020,83.72,71.67,3.32e-21,75.1,yes,yes,no
RPE_RS00055,ACXYSJ_23025,ACXYSJ_23025,1,ACXYSJ_23025,84.09,99.72,0.00e+00,1210.0,yes,yes,no
RPE_RS00060,ACXYSJ_23030,ACXYSJ_23030,1,ACXYSJ_23030,69.88,99.40,1.88e-82,238.0,yes,yes,no
RPE_RS00065,ACXYSJ_23035,ACXYSJ_23035,1,ACXYSJ_23035,83.09,99.79,0.00e+00,861.0,yes,yes,no
RPE_RS00070,ACXYSJ_23040,ACXYSJ_23040,1,ACXYSJ_23040,75.43,99.66,1.31e-174,481.0,yes,yes,no
RPE_RS00075,ACXYSJ_23045,ACXYSJ_23045,1,ACXYSJ_23045,66.67,98.18,1.12e-21,75.9,yes,yes,no
RPE_RS00080,ACXYSJ_23050,ACXYSJ_23050,1,ACXYSJ_23050,82.38,99.59,3.55e-159,438.0,yes,yes,no
RPE_RS00085,ACXYSJ_23055,ACXYSJ_23055,1,ACXYSJ_23055,88.14,99.82,0.00e+00,991.0,yes,yes,no
RPE_RS00090,ACXYSJ_23060,ACXYSJ_23060,1,ACXYSJ_23060,71.71,99.02,3.06e-159,443.0,yes,yes,no
RPE_RS00095,ACXYSJ_23065,ACXYSJ_23065,1,ACXYSJ_23065,87.75,99.59,1.59e-162,447.0,yes,yes,no
RPE_RS00100,ACXYSJ_23070,ACXYSJ_23070,1,ACXYSJ_23070,78.57,98.00,5.80e-116,325.0,yes,yes,no
RPE_RS00105,ACXYSJ_23085,ACXYSJ_23085,1,ACXYSJ_23085,81.53,99.55,3.58e-137,380.0,yes,yes,no
RPE_RS00110,ACXYSJ_23090,ACXYSJ_23090,1,ACXYSJ_23090,88.58,96.66,0.00e+00,532.0,yes,yes,no
RPE_RS00115,ACXYSJ_23095,ACXYSJ_23095,1,ACXYSJ_23095,74.05,98.47,0.00e+00,827.0,yes,yes,no
RPE_RS00120,ACXYSJ_23100,ACXYSJ_23100,1,ACXYSJ_23100,79.64,96.96,0.00e+00,669.0,yes,yes,no
RPE_RS00125,ACXYSJ_23115,ACXYSJ_23115,1,ACXYSJ_23115,92.82,98.88,0.00e+00,959.0,yes,yes,no
RPE_RS00130,ACXYSJ_23120,ACXYSJ_23120,1,ACXYSJ_23120,75.48,99.83,0.00e+00,914.0,yes,yes,no
RPE_RS00135,ACXYSJ_23125,ACXYSJ_23125,1,ACXYSJ_23125,79.29,99.78,0.00e+00,711.0,yes,yes,no
RPE_RS00140,,,0,ACXYSJ_23130,90.91,29.73,1.40e-09,46.6,no,no,no
RPE_RS00145,,,0,,,,,,no,no,no
RPE_RS00150,,,0,,,,,,no,no,no
