transition,change_mode,old_gene_id,new_gene_id,reason_category,reason_detail,reason_source,confidence,bbh_pid,bbh_evalue,bbh_cov,old_reaction_count,new_reaction_count,old_reaction_ids,new_reaction_ids
DSM123 -> updated_consensus,add,,RPE_RS01610,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,CITCIb | IPPMIa | IPPMIb
DSM123 -> updated_consensus,add,,RPE_RS01670,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,CITCIb | IPPMIa | IPPMIb
DSM123 -> updated_consensus,add,,RPE_RS01675,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,SADT2
DSM123 -> updated_consensus,add,,RPE_RS02770,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,FORt2pp | FORtppi
DSM123 -> updated_consensus,add,,RPE_RS02895,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,FACOAL40It2pp | FACOAL40t2pp | FACOAL50It2pp
DSM123 -> updated_consensus,add,,RPE_RS02905,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,ASNS1 | ASNS2
DSM123 -> updated_consensus,add,,RPE_RS02965,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,ALAt2pp | DALAabcpp | VALtex
DSM123 -> updated_consensus,add,,RPE_RS03100,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,NOFCOR
DSM123 -> updated_consensus,add,,RPE_RS03105,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,NTRNO
DSM123 -> updated_consensus,add,,RPE_RS03115,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,CYOO2pp
DSM123 -> updated_consensus,add,,RPE_RS03170,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,PC
DSM123 -> updated_consensus,add,,RPE_RS03835,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,POR5
DSM123 -> updated_consensus,add,,RPE_RS03850,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,PFK
DSM123 -> updated_consensus,add,,RPE_RS04050,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,THBTGT
DSM123 -> updated_consensus,add,,RPE_RS04440,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,TDSK
DSM123 -> updated_consensus,add,,RPE_RS04505,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,ADNCYC
DSM123 -> updated_consensus,add,,RPE_RS04965,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,2HPTCOAT
DSM123 -> updated_consensus,add,,RPE_RS05015,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,HPACOAT | PACOAT
DSM123 -> updated_consensus,add,,RPE_RS05030,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,ALAt2pp | DALAabcpp | VALtex
DSM123 -> updated_consensus,add,,RPE_RS05035,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,ALAt2pp | DALAabcpp | VALtex
DSM123 -> updated_consensus,add,,RPE_RS05180,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,MOGDS
DSM123 -> updated_consensus,add,,RPE_RS05810,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,THBTGT
DSM123 -> updated_consensus,add,,RPE_RS06055,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,HACD8i
DSM123 -> updated_consensus,add,,RPE_RS06345,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,CYANSTpp
DSM123 -> updated_consensus,add,,RPE_RS06360,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,FDH4pp | FDH5pp | FNOR_1
DSM123 -> updated_consensus,add,,RPE_RS06370,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,NAR_syn | NTRARf2 | NTRIRfx
DSM123 -> updated_consensus,add,,RPE_RS06375,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,NTRIR2x
DSM123 -> updated_consensus,add,,RPE_RS06380,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,NODOx | NODOy
DSM123 -> updated_consensus,add,,RPE_RS06400,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,GLCDBRAN3
DSM123 -> updated_consensus,add,,RPE_RS06430,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,5,,GLCDBRAN3 | MOTH1 | MOTH2 | MOTH3 | MOTH4
DSM123 -> updated_consensus,add,,RPE_RS06655,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,C12HR | HNPSYN | LCLY
DSM123 -> updated_consensus,add,,RPE_RS06705,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,4,,PSICSum | PSIICSum | PSIIum | PSIum
DSM123 -> updated_consensus,add,,RPE_RS06710,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,4,,PSICSum | PSIICSum | PSIIum | PSIum
DSM123 -> updated_consensus,add,,RPE_RS06715,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,4,,PSICSum | PSIICSum | PSIIum | PSIum
DSM123 -> updated_consensus,add,,RPE_RS06720,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,4,,PSICSum | PSIICSum | PSIIum | PSIum
DSM123 -> updated_consensus,add,,RPE_RS06815,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,4,,PSICSum | PSIICSum | PSIIum | PSIum
DSM123 -> updated_consensus,add,,RPE_RS06820,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,4,,PSICSum | PSIICSum | PSIIum | PSIum
DSM123 -> updated_consensus,add,,RPE_RS07280,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,16,,COLIPAabcpp | GM1LIPAabcpp | K2L4Aabcpp | PA120abcpp | PA161abcpp | PA180abcpp | PA181abcpp | PE120abcpp | PE141abcpp | PE161abcpp | PE180abcpp | PG141abcpp | PG160abcpp | PGP141abcpp | PGP161abcpp | PGP181abcpp
DSM123 -> updated_consensus,add,,RPE_RS07645,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,GLYCL | TDPAGTA
DSM123 -> updated_consensus,add,,RPE_RS08020,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,GLYCL
DSM123 -> updated_consensus,add,,RPE_RS08025,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,GLYCL
DSM123 -> updated_consensus,add,,RPE_RS08175,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,DESAT16a
DSM123 -> updated_consensus,add,,RPE_RS08605,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08610,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08615,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08620,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08625,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08630,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08635,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08640,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08645,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08650,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08655,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08660,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08665,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,6,,NADH16pp | NADH17pp | NADH18pp | NDH1_1p | NDH1_2p | NDH1_4pp
DSM123 -> updated_consensus,add,,RPE_RS08840,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,SULabc | TSULabc
DSM123 -> updated_consensus,add,,RPE_RS08845,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,SULabc | TSULabc
DSM123 -> updated_consensus,add,,RPE_RS08850,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,2,,SULabc | TSULabc
DSM123 -> updated_consensus,add,,RPE_RS08860,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,SADT2
DSM123 -> updated_consensus,add,,RPE_RS08890,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,TSULabc
DSM123 -> updated_consensus,add,,RPE_RS09090,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,ETHAAL
DSM123 -> updated_consensus,add,,RPE_RS09100,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,ETHAAL
DSM123 -> updated_consensus,add,,RPE_RS10280,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,1,,AHMMPS
DSM123 -> updated_consensus,add,,RPE_RS10455,flux_supported_gapfill_gene_added,Gene introduced with flux-supported missing reaction import from reference model.,D:\Project\ai_project\DSM123\workflow1\reaction_gene_relationships.csv; missing_reactions.csv,direct,,,,0,3,,GLYALDDy | LCARSyi | PPDOy
