Ref_Gene,Candidate_Target_Gene,Candidate_Target_Symbol,Candidate_Target_Product,Identity(%),E_value,Coverage,BBH,BiGG_True_Rxns,BiGG_True_Rxns_Details,Reason,Action
RPE_RS23875,ACXYSJ_22640,,F0F1 ATP synthase subunit C,100.0,1.4199999999999998e-46,1.0,<=>,ATPSu | ATPSum,ATPSu [ATP synthetase(u)] :: 3 adp_c_u (ADP C10H12N5O10P2) + 14 h_u_u (H+) + 3 pi_c_u (Phosphate) --> 3 atp_c_u (ATP C10H12N5O13P3) + 3 h2o_c_u (H2O H2O) + 11 h_c_u (H+) || ATPSum [ATP synthase (thylakoid membrane)] :: 3 adp_c_u (ADP C10H12N5O10P2) + 13 h_u_u (H+) + 3 pi_c_u (Phosphate) <=> 3 atp_c_u (ATP C10H12N5O13P3) + 3 h2o_c_u (H2O H2O) + 10 h_c_u (H+),target_gene_has_no_reactions,
RPE_RS19265,ACXYSJ_09265,,branched-chain amino acid ABC transporter permease,96.726,0.0,1.0,<=>,ALAabc | ILEabc | OANTILpp | OANTIabcpp | THRabc | VALabc,ALAabc [L-alanine transport via ABC system] :: ala__L_e_u (L-Alanine) + atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + ala__L_c_u (L-Alanine) + h_c_u (H+) + pi_c_u (Phosphate) || ILEabc [L-isoleucine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + ile__L_e_u (L-Isoleucine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + ile__L_c_u (L-Isoleucine) + pi_c_u (Phosphate) || OANTILpp [O-antigen ligation (periplasm)] :: icolipacy_p_u (Inner core oligosaccharide lipid A (Synechococcus elongatus 7942)) + oanticy_p_u (O-antigen oligosaccharide (Synechococcus elongatus 7942)) --> colipacy_p_u (O-antigen bound to core oligosaccharide lipid A (Synechococcus elongatus 7942)) + h2o_p_u (H2O H2O) || OANTIabcpp [O-antigen transport (periplasm)] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + oanticy_c_u (O-antigen oligosaccharide (Synechococcus elongatus 7942)) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + oanticy_p_u (O-antigen oligosaccharide (Synechococcus elongatus 7942)) + pi_c_u (Phosphate) || THRabc [L-threonine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + thr__L_e_u (L-Threonine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + thr__L_c_u (L-Threonine) || VALabc [L-valine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + val__L_e_u (L-Valine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + val__L_c_u (L-Valine),target_gene_has_no_reactions,
RPE_RS22990,ACXYSJ_05745,urtA,urea ABC transporter substrate-binding protein,96.675,0.0,1.0,<=>,AACPS6,AACPS6 [Acyl-[acyl-carrier-protein] synthetase  (n-C18:0)] :: ACP_c_u (Acyl carrier protein) + atp_c_u (ATP C10H12N5O13P3) + ocdca_c_u (Octadecanoate (n-C18:0)) --> amp_c_u (AMP C10H12N5O7P) + ocdcaACP_c_u (Octadecanoyl-ACP (n-C18:0ACP)) + ppi_c_u (Diphosphate),target_gene_has_no_reactions,
RPE_RS01420,ACXYSJ_23980,atpA,F0F1 ATP synthase subunit alpha,95.89,0.0,1.0,<=>,ATPSu | ATPSum,ATPSu [ATP synthetase(u)] :: 3 adp_c_u (ADP C10H12N5O10P2) + 14 h_u_u (H+) + 3 pi_c_u (Phosphate) --> 3 atp_c_u (ATP C10H12N5O13P3) + 3 h2o_c_u (H2O H2O) + 11 h_c_u (H+) || ATPSum [ATP synthase (thylakoid membrane)] :: 3 adp_c_u (ADP C10H12N5O10P2) + 13 h_u_u (H+) + 3 pi_c_u (Phosphate) <=> 3 atp_c_u (ATP C10H12N5O13P3) + 3 h2o_c_u (H2O H2O) + 10 h_c_u (H+),target_gene_has_no_reactions,
RPE_RS09945,ACXYSJ_15560,,TRAP transporter substrate-binding protein,94.49,0.0,1.0,<=>,FUMt2_2pp | FUMtex | SUCTARTtpp,FUMt2_2pp [Fumarate transport via proton symport (2 H) (periplasm)] :: fum_p_u (Fumarate) + 2 h_p_u (H+) --> fum_c_u (Fumarate) + 2 h_c_u (H+) || FUMtex [Fumarate transport via diffusion (extracellular to periplasm)] :: fum_e_u (Fumarate) <=> fum_p_u (Fumarate) || SUCTARTtpp [Succinate:D-tartrate antiporter (periplasm)] :: succ_c_u (Succinate) + tartr__D_p_u (D-tartrate) <=> succ_p_u (Succinate) + tartr__D_c_u (D-tartrate),target_gene_has_no_reactions,
RPE_RS06710,ACXYSJ_06310,pufA,"light-harvesting antenna LH1, alpha subunit",94.0,4.7000000000000004e-30,0.8771929824561403,<=>,PSICSum | PSIICSum | PSIIum | PSIum,"PSICSum [Photosystem I charge separation] :: chla_qy1_exc_c_u (Photosystem I excited chlorophyll A, Qy band (long wavelength)) + p700_um_p_u (PSI reaction center P700) --> cholphya_c_u (Chlorophyll a) + p700_exc_um_p_u (PSI reaction center P700, excited) || PSIICSum [Photosystem II charge separation] :: chla_qy2_exc_c_u (Photosystem II excited chlorophyll A, Qy band (long wavelength)) + p680_um_p_u (PSII reaction center P680) --> cholphya_c_u (Chlorophyll a) + p680_exc_um_p_u (PSII reaction center P680, excited) || PSIIum [Photosystem II] :: 2 h2o_u_u (H2O H2O) + 3.9996 h_c_u (H+) + 4 p680_exc_um_p_u (PSII reaction center P680, excited) + 1.9998 pq_um_p_u (Plastoquinone) + 0.0004 ps2d1_um_p_u (PSII D1 protein) --> 4 h_u_u (H+) + o2_u_u (O2 O2) + 4 p680_um_p_u (PSII reaction center P680) + 1.9998 pqh2_um_p_u (Plastoquinol) + 0.0004 ps2d1_exc_um_p_u (Damaged PSII D1 protein) || PSIum [Photosystem I] :: 0.99 fdxox_c_u (Oxidized ferredoxin) + 0.01 o2_c_u (O2 O2) + p700_exc_um_p_u (PSI reaction center P700, excited) + pcrd_u_u (Plastocyanin(Cu+)) --> 0.99 fdxrd_c_u (Reduced ferredoxin) + 0.01 o2s_c_u (Superoxide anion) + p700_um_p_u (PSI reaction center P700) + pcox_u_u (Plastocyanin(Cu2+))",target_gene_has_no_reactions,
RPE_RS01415,ACXYSJ_23975,,F0F1 ATP synthase subunit gamma,93.857,0.0,1.0,<=>,ATPSu | ATPSum,ATPSu [ATP synthetase(u)] :: 3 adp_c_u (ADP C10H12N5O10P2) + 14 h_u_u (H+) + 3 pi_c_u (Phosphate) --> 3 atp_c_u (ATP C10H12N5O13P3) + 3 h2o_c_u (H2O H2O) + 11 h_c_u (H+) || ATPSum [ATP synthase (thylakoid membrane)] :: 3 adp_c_u (ADP C10H12N5O10P2) + 13 h_u_u (H+) + 3 pi_c_u (Phosphate) <=> 3 atp_c_u (ATP C10H12N5O13P3) + 3 h2o_c_u (H2O H2O) + 10 h_c_u (H+),target_gene_has_no_reactions,
RPE_RS21115,ACXYSJ_17970,,ABC transporter ATP-binding protein,93.846,1.6e-180,0.9386281588447654,<=>,ALAabc | ILEabc | THRabc | VALabc,ALAabc [L-alanine transport via ABC system] :: ala__L_e_u (L-Alanine) + atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + ala__L_c_u (L-Alanine) + h_c_u (H+) + pi_c_u (Phosphate) || ILEabc [L-isoleucine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + ile__L_e_u (L-Isoleucine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + ile__L_c_u (L-Isoleucine) + pi_c_u (Phosphate) || THRabc [L-threonine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + thr__L_e_u (L-Threonine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + thr__L_c_u (L-Threonine) || VALabc [L-valine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + val__L_e_u (L-Valine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + val__L_c_u (L-Valine),target_gene_has_no_reactions,
RPE_RS03370,ACXYSJ_22745,,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein,92.963,0.0,1.0,<=>,CRNCAR | CRNCDH,CRNCAR [Carnitine-CoA racemase] :: crncoa_c_u (L-Carnitinyl-CoA) <=> crnDcoa_c_u (D-carnitinyl-CoA) || CRNCDH [Carnityl-CoA dehydratse] :: crncoa_c_u (L-Carnitinyl-CoA) <=> ctbtcoa_c_u (Crotonobetainyl-CoA) + h2o_c_u (H2O H2O),target_gene_has_no_reactions,
RPE_RS21145,ACXYSJ_17995,,ABC transporter ATP-binding protein,92.78,0.0,0.992831541218638,<=>,ALAabc | ILEabc | THRabc | VALabc,ALAabc [L-alanine transport via ABC system] :: ala__L_e_u (L-Alanine) + atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) --> adp_c_u (ADP C10H12N5O10P2) + ala__L_c_u (L-Alanine) + h_c_u (H+) + pi_c_u (Phosphate) || ILEabc [L-isoleucine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + ile__L_e_u (L-Isoleucine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + ile__L_c_u (L-Isoleucine) + pi_c_u (Phosphate) || THRabc [L-threonine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + thr__L_e_u (L-Threonine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + thr__L_c_u (L-Threonine) || VALabc [L-valine transport via ABC system] :: atp_c_u (ATP C10H12N5O13P3) + h2o_c_u (H2O H2O) + val__L_e_u (L-Valine) --> adp_c_u (ADP C10H12N5O10P2) + h_c_u (H+) + pi_c_u (Phosphate) + val__L_c_u (L-Valine),target_gene_has_no_reactions,
