query_locus_tag,query_gene,query_product,subject_locus_tag,subject_gene,subject_product,pident,qcov,scov,evalue,bitscore,reciprocal_best_hit,pass_threshold,used_for_conversion
PGIDNB_00005,,hypothetical protein,,,,,,,,,no,no,no
PGIDNB_00010,,Conjugal transfer protein TraC,ACXYSJ_00010,traC,conjugal transfer protein TraC,100,100,100,1.06E-57,169,yes,yes,yes
PGIDNB_00015,,Conjugal transfer protein TraD,ACXYSJ_00015,traD,conjugal transfer protein TraD,100,100,100,1.59E-44,134,yes,yes,yes
PGIDNB_00020,traG,Ti-type conjugative transfer system protein TraG,ACXYSJ_00020,traG,Ti-type conjugative transfer system protein TraG,100,100,100,0.00E+00,1301,yes,yes,yes
PGIDNB_00025,,hypothetical protein,,,,,,,,,no,no,no
PGIDNB_00030,,Ubiquinone/menaquinone biosynthesis C-methylase UbiE,ACXYSJ_00025,,methyltransferase domain-containing protein,100,100,100,0.00E+00,626,yes,yes,yes
PGIDNB_00035,,DNA-binding protein,ACXYSJ_00030,,hypothetical protein,100,100,100,1.37E-97,273,yes,yes,yes
PGIDNB_00040,,WGR domain-containing protein,ACXYSJ_00035,,WGR domain-containing protein,100,100,100,5.22E-53,156,yes,yes,yes
PGIDNB_00045,,hypothetical protein,ACXYSJ_00040,,hypothetical protein,100,100,100,3.43E-41,125,yes,yes,yes
PGIDNB_00050,,DUF4326 domain-containing protein,ACXYSJ_00045,,DUF4326 domain-containing protein,100,100,100,1.23E-63,184,yes,yes,yes
PGIDNB_00055,,DUF736 domain-containing protein,ACXYSJ_00050,,DUF736 domain-containing protein,100,100,100,6.07E-84,237,yes,yes,yes
PGIDNB_00060,,Antirestriction protein ArdC,ACXYSJ_00055,,ArdC family protein,100,100,100,0.00E+00,637,yes,yes,yes
PGIDNB_00065,,hypothetical protein,ACXYSJ_00060,,hypothetical protein,100,100,100,1.62E-142,392,yes,yes,yes
PGIDNB_00070,,hypothetical protein,ACXYSJ_00065,,hypothetical protein,100,100,100,1.01E-75,216,yes,yes,yes
PGIDNB_00075,,hypothetical protein,ACXYSJ_00070,,hypothetical protein,100,100,100,1.72E-57,168,yes,yes,yes
PGIDNB_00080,,hypothetical protein,ACXYSJ_00075,,hypothetical protein,100,100,100,1.25E-43,132,yes,yes,yes
PGIDNB_00085,,hypothetical protein,ACXYSJ_00080,,DUF7007 domain-containing protein,100,100,100,0.00E+00,594,yes,yes,yes
PGIDNB_00090,,hypothetical protein,ACXYSJ_00085,,hypothetical protein,100,100,100,6.15E-115,319,yes,yes,yes
PGIDNB_00095,,Plasmid partitioning protein,ACXYSJ_00090,,ParB N-terminal domain-containing protein,100,100,100,0.00E+00,1116,yes,yes,yes
PGIDNB_00100,,Site-specific DNA-methyltransferase (adenine-specific),ACXYSJ_00095,,N-6 DNA methylase,100,100,100,0.00E+00,3425,yes,yes,yes
PGIDNB_00105,,DUF1419 domain-containing protein,ACXYSJ_00100,,DUF1419 domain-containing protein,100,100,100,8.68E-152,416,yes,yes,yes
PGIDNB_00110,,hypothetical protein,ACXYSJ_00105,,hypothetical protein,100,100,100,0.00E+00,517,yes,yes,yes
PGIDNB_00115,,hypothetical protein,ACXYSJ_00110,,hypothetical protein,100,100,100,3.32E-93,262,yes,yes,yes
PGIDNB_00120,,Antitoxin,ACXYSJ_00115,,type II toxin-antitoxin system Phd/YefM family antitoxin,100,100,100,1.16E-61,179,yes,yes,yes
PGIDNB_00125,,Toxin ParE1/3/4,ACXYSJ_00120,,type II toxin-antitoxin system RelE/ParE family toxin,100,100,100,1.28E-74,213,yes,yes,yes
PGIDNB_00130,,DUF3991 domain-containing protein,ACXYSJ_00125,,DUF3991 domain-containing protein,100,92.62,100,0.00E+00,605,yes,yes,yes
PGIDNB_00135,,DUF736 domain-containing protein,ACXYSJ_00130,,DUF736 domain-containing protein,100,100,100,1.70E-77,221,yes,yes,yes
PGIDNB_00140,,Transposase,ACXYSJ_00135,,IS110 family transposase,100,100,100,7.61E-97,271,yes,yes,yes
PGIDNB_00145,,IS110 family transposase,ACXYSJ_00140,,IS110 family RNA-guided transposase,100,100,95.14,1.84E-130,360,yes,yes,yes
PGIDNB_00150,,"Arsenite efflux pump ArsB, ACR3 family",ACXYSJ_00145,,arsenic resistance protein,100,100,100,0.00E+00,613,yes,yes,yes
PGIDNB_00155,,Putative flavoprotein involved in K+ transport,ACXYSJ_00150,,NAD(P)-binding domain-containing protein,100,100,100,5.37E-78,222,yes,yes,yes
PGIDNB_00160,,Protein SCO1/2,ACXYSJ_00155,,SCO family protein,99.48,94.09,100,6.01E-142,390,yes,yes,yes
PGIDNB_00165,,Copper chaperone PCu(A)C,ACXYSJ_00160,,copper chaperone PCu(A)C,100,100,100,9.77E-122,337,yes,yes,yes
PGIDNB_00170,cadA,cadmium-translocating P-type ATPase,ACXYSJ_00165,,heavy metal translocating P-type ATPase,100,100,100,0.00E+00,1398,yes,yes,yes
PGIDNB_00175,,Cu(I)-responsive transcriptional regulator,ACXYSJ_00170,,MerR family transcriptional regulator,100,100,100,3.33E-99,278,yes,yes,yes
PGIDNB_00180,,DNA polymerase-3 subunit alpha/error-prone DNA polymerase,ACXYSJ_16295,,error-prone DNA polymerase,54.13,74.15,9.82,3.15E-28,105,no,no,no
PGIDNB_00185,,Error-prone DNA polymerase,ACXYSJ_16295,,error-prone DNA polymerase,67.01,94.17,8.74,1.76E-44,150,no,no,no
PGIDNB_00190,,DUF6088 domain-containing protein,ACXYSJ_00180,,DUF6088 family protein,100,100,100,9.42E-164,448,yes,yes,yes
PGIDNB_00195,,putative nucleotidyltransferase component of viral defense system,ACXYSJ_00185,,nucleotidyl transferase AbiEii/AbiGii toxin family protein,100,100,100,0.00E+00,739,yes,yes,yes
PGIDNB_00200,,hypothetical protein,ACXYSJ_00190,,hypothetical protein,100,100,100,0.00E+00,734,yes,yes,yes
PGIDNB_00205,,Serine/threonine protein phosphatase PrpC,ACXYSJ_00195,,protein phosphatase 2C domain-containing protein,100,100,100,0.00E+00,612,yes,yes,yes
PGIDNB_00210,,Putative nucleotidyltransferase,ACXYSJ_00200,,hypothetical protein,100,100,100,1.41E-169,463,yes,yes,yes
PGIDNB_00215,,hypothetical protein,ACXYSJ_00205,,hypothetical protein,99.33,100,80.98,8.80E-108,301,yes,yes,yes
PGIDNB_00220,,hypothetical protein,ACXYSJ_00210,,hypothetical protein,100,100,100,0.00E+00,1082,yes,yes,yes
PGIDNB_00225,,hypothetical protein,ACXYSJ_00215,,hypothetical protein,100,100,100,0.00E+00,1682,yes,yes,yes
PGIDNB_00230,,hypothetical protein,ACXYSJ_00220,,hypothetical protein,100,97.96,100,0.00E+00,595,yes,yes,yes
PGIDNB_00235,,AAA domain-containing protein,ACXYSJ_00225,,AAA family ATPase,100,100,100,0.00E+00,2294,yes,yes,yes
PGIDNB_00240,,DNA repair exonuclease SbcCD nuclease subunit,ACXYSJ_00230,,metallophosphoesterase family protein,100,100,100,0.00E+00,850,yes,yes,yes
PGIDNB_00245,,AAA-13 domain-containing protein,ACXYSJ_00235,,AAA family ATPase,100,100,100,0.00E+00,1782,yes,yes,yes
PGIDNB_00250,,hypothetical protein,ACXYSJ_00240,,hypothetical protein,100,100,100,4.42E-170,464,yes,yes,yes
PGIDNB_00255,,hypothetical protein,ACXYSJ_00245,,hypothetical protein,100,100,100,0.00E+00,1028,yes,yes,yes
PGIDNB_00260,scpB,Chromosome segregation and condensation protein ScpB,ACXYSJ_00250,scpB,SMC-Scp complex subunit ScpB,100,100,100,6.48E-174,474,yes,yes,yes
PGIDNB_00265,,DUF1403 domain-containing protein,ACXYSJ_00255,,DUF1403 family protein,100,100,100,0.00E+00,619,yes,yes,yes
PGIDNB_00270,xerD,integrase,ACXYSJ_00260,,tyrosine-type recombinase/integrase,100,96.68,100,0.00E+00,756,yes,yes,yes
PGIDNB_00275,,Protein-L-isoaspartate O-methyltransferase,ACXYSJ_00265,,protein-L-isoaspartate O-methyltransferase family protein,100,90.88,100,0.00E+00,560,yes,yes,yes
PGIDNB_00280,,Replication protein C,ACXYSJ_00270,repC,plasmid replication protein RepC,100,100,100,0.00E+00,1008,yes,yes,yes
PGIDNB_00285,repB,plasmid partitioning protein RepB,ACXYSJ_00275,repB,plasmid partitioning protein RepB,100,100,100,0.00E+00,683,yes,yes,yes
PGIDNB_00290,repA,plasmid partitioning protein RepA,ACXYSJ_00280,repA,plasmid partitioning protein RepA,100,100,100,0.00E+00,835,yes,yes,yes
PGIDNB_00295,,Acyl-homoserine-lactone synthase,ACXYSJ_00285,traI,acyl-homoserine-lactone synthase,100,100,100,3.18E-149,410,yes,yes,yes
PGIDNB_00300,trbB,P-type conjugative transfer ATPase TrbB,ACXYSJ_00290,trbB,P-type conjugative transfer ATPase TrbB,100,100,100,0.00E+00,646,yes,yes,yes
PGIDNB_00305,,Conjugal transfer protein TrbC,ACXYSJ_00295,,TrbC/VirB2 family protein,100,100,100,1.06E-78,224,yes,yes,yes
PGIDNB_00310,,Conjugal transfer protein TrbD,ACXYSJ_00300,,conjugal transfer protein TrbD,100,100,100,4.51E-69,198,yes,yes,yes
PGIDNB_00315,virB4,conjugal transfer protein TrbE,ACXYSJ_00305,,conjugal transfer protein TrbE,100,100,100,0.00E+00,1667,yes,yes,yes
PGIDNB_00320,trbJ,P-type conjugative transfer protein TrbJ,ACXYSJ_00310,trbJ,P-type conjugative transfer protein TrbJ,100,100,100,0.00E+00,542,yes,yes,yes
PGIDNB_00325,,"Entry exclusion protein TrbK, Ti-type",ACXYSJ_00315,,DUF2749 domain-containing protein,100,100,100,1.35E-37,116,yes,yes,yes
PGIDNB_00330,trbL,P-type conjugative transfer protein TrbL,ACXYSJ_00320,trbL,P-type conjugative transfer protein TrbL,100,99.5,100,0.00E+00,762,yes,yes,yes
PGIDNB_00335,,Conjugal transfer protein TrbF,ACXYSJ_00325,trbF,conjugal transfer protein TrbF,100,100,100,6.86E-163,446,yes,yes,yes
PGIDNB_00340,trbG,P-type conjugative transfer protein TrbG,ACXYSJ_00330,trbG,P-type conjugative transfer protein TrbG,100,92.09,100,0.00E+00,531,yes,yes,yes
PGIDNB_00345,,Conjugal transfer protein TrbH,ACXYSJ_00335,trbH,conjugal transfer protein TrbH,100,100,100,1.40E-102,287,yes,yes,yes
PGIDNB_00350,,Conjugal transfer protein TrbI,ACXYSJ_00340,trbI,IncP-type conjugal transfer protein TrbI,100,100,100,0.00E+00,870,yes,yes,yes
PGIDNB_00355,,Iron transporter,ACXYSJ_00345,,NRAMP family divalent metal transporter,100,100,100,0.00E+00,869,yes,yes,yes
PGIDNB_00360,,hypothetical protein,ACXYSJ_00350,,hypothetical protein,100,96.55,100,1.95E-33,105,yes,yes,yes
PGIDNB_00365,,MerR family transcriptional regulator,ACXYSJ_00355,,MerR family transcriptional regulator,100,100,100,1.67E-98,276,yes,yes,yes
PGIDNB_00370,,Porin,ACXYSJ_00365,,carbohydrate porin,100,100,100,0.00E+00,1340,yes,yes,yes
PGIDNB_00375,,DUF2235 domain-containing protein,ACXYSJ_00370,,hypothetical protein,100,100,100,4.53E-76,216,yes,yes,yes
PGIDNB_00380,,Uncharacterized alpha/beta hydrolase domain,ACXYSJ_18410,,DUF2235 domain-containing protein,29.58,51.08,54.06,1.13E-19,87.4,no,no,no
PGIDNB_00385,,"Lipoprotein NlpI, contains TPR repeats",ACXYSJ_00385,,tetratricopeptide repeat protein,100,100,100,0.00E+00,864,yes,yes,yes
PGIDNB_00390,,Thioredoxin reductase,ACXYSJ_00390,,NAD(P)/FAD-dependent oxidoreductase,100,100,100,0.00E+00,622,yes,yes,yes
PGIDNB_00395,,Lactamase-B domain-containing protein,ACXYSJ_00395,,MBL fold metallo-hydrolase,100,100,100,0.00E+00,585,yes,yes,yes
PGIDNB_00400,,Putative thymidine phosphorylase,ACXYSJ_00400,,thymidine phosphorylase family protein,100,100,93.91,0.00E+00,953,yes,yes,yes
PGIDNB_00405,,mRNA 3'-end processing factor,ACXYSJ_00405,,MBL fold metallo-hydrolase RNA specificity domain-containing protein,100,100,100,0.00E+00,919,yes,yes,yes
PGIDNB_00410,,Xylulose 5-phosphate 3-epimerase,ACXYSJ_00410,,phosphoketolase family protein,100,100,100,0.00E+00,1602,yes,yes,yes
PGIDNB_00415,,Phosphoribosyl pyrophosphate synthase,ACXYSJ_00415,,ribose-phosphate pyrophosphokinase,100,100,100,0.00E+00,683,yes,yes,yes
PGIDNB_00420,,hypothetical protein,ACXYSJ_00420,,hypothetical protein,100,100,100,2.89E-104,291,yes,yes,yes
PGIDNB_00425,,Cation transporter,ACXYSJ_00425,,cation diffusion facilitator family transporter,100,100,100,0.00E+00,601,yes,yes,yes
PGIDNB_00430,,Protein MgtC,ACXYSJ_00435,,MgtC/SapB family protein,100,100,100,1.78E-108,302,yes,yes,yes
PGIDNB_00435,,Ferritin,ACXYSJ_00440,,ferritin-like domain-containing protein,100,100,100,1.78E-109,305,yes,yes,yes
PGIDNB_00440,,hypothetical protein,,,,,,,,,no,no,no
PGIDNB_00445,,hypothetical protein,,,,,,,,,no,no,no
PGIDNB_00450,,ATPase,ACXYSJ_00450,,heavy metal translocating P-type ATPase,100,100,100,0.00E+00,1682,yes,yes,yes
PGIDNB_00455,,Universal stress protein UspA,ACXYSJ_00455,,universal stress protein,100,100,100,0.00E+00,569,yes,yes,yes
PGIDNB_00460,,hypothetical protein,ACXYSJ_00460,,hypothetical protein,99.34,92.68,100,1.93E-111,310,yes,yes,yes
PGIDNB_00465,,ABC-2 type transport system permease protein,ACXYSJ_00465,,ABC transporter permease,100,100,100,0.00E+00,734,yes,yes,yes
PGIDNB_00470,,Multidrug ABC transporter ATP-binding protein,ACXYSJ_00470,rbbA,ribosome-associated ATPase/putative transporter RbbA,100,100,100,0.00E+00,1865,yes,yes,yes
PGIDNB_00475,,Glycoside hydrolase family 43,ACXYSJ_00475,,HlyD family secretion protein,100,99.17,100,0.00E+00,704,yes,yes,yes
PGIDNB_00480,,Acetate kinase,ACXYSJ_00480,,acetate/propionate family kinase,100,100,100,0.00E+00,794,yes,yes,yes
PGIDNB_00485,,Phosphate butyryltransferase,ACXYSJ_00485,,bifunctional enoyl-CoA hydratase/phosphate acetyltransferase,100,100,100,0.00E+00,929,yes,yes,yes
PGIDNB_00490,,Poly-beta-hydroxybutyrate polymerase,ACXYSJ_00490,,PHA/PHB synthase family protein,100,100,100,0.00E+00,1202,yes,yes,yes
PGIDNB_00495,,hypothetical protein,ACXYSJ_00495,,hypothetical protein,100,100,100,2.43E-79,225,yes,yes,yes
PGIDNB_00500,,"Amino acid/polyamine/organocation transporter, APC superfamily",ACXYSJ_00505,,APC family permease,100,100,100,0.00E+00,768,yes,yes,yes
PGIDNB_00505,,Universal stress protein UspA,ACXYSJ_00510,,universal stress protein,100,100,100,0.00E+00,548,yes,yes,yes
PGIDNB_00510,,hypothetical protein,,,,,,,,,no,no,no
PGIDNB_00515,,hypothetical protein,,,,,,,,,no,no,no
PGIDNB_00520,,Divalent cation transporter,ACXYSJ_00515,ihpA,divalent metal ion exporter subunit IhpA,100,100,100,0.00E+00,840,yes,yes,yes
PGIDNB_00525,,Hemolysin D,ACXYSJ_00520,ihpB,divalent metal ion exporter adaptor subunit IhpB,100,100,100,0.00E+00,649,yes,yes,yes
PGIDNB_00530,,Nitrogen regulatory protein P-II,ACXYSJ_00525,,P-II family nitrogen regulator,100,100,100,3.63E-88,248,yes,yes,yes
PGIDNB_00535,,Cation transporter,ACXYSJ_00530,,efflux RND transporter permease subunit,100,100,100,0.00E+00,2138,yes,yes,yes
PGIDNB_00540,,HTH luxR-type domain-containing protein,ACXYSJ_00535,,autoinducer binding domain-containing protein,100,100,100,1.95E-178,486,yes,yes,yes
PGIDNB_00545,,Conjugal transfer protein TraH,ACXYSJ_00545,,TraH family protein,100,100,100,1.34E-150,413,yes,yes,yes
PGIDNB_00550,,Carbon-nitrogen hydrolase,ACXYSJ_00550,,conjugal transfer protein TraB,99.72,100,87.83,0.00E+00,696,yes,yes,yes
PGIDNB_00555,traF,conjugative transfer signal peptidase TraF,ACXYSJ_00555,traF,conjugative transfer signal peptidase TraF,100,100,100,9.67E-122,338,yes,yes,yes
PGIDNB_00560,,Conjugal transfer protein TraA,ACXYSJ_00005,traA,Ti-type conjugative transfer relaxase TraA,100,100,24.14,0.00E+00,532,yes,yes,yes
PGIDNB_00565,,Diguanylate cyclase,ACXYSJ_00565,,diguanylate cyclase domain-containing protein,100,100,100,0.00E+00,1121,yes,yes,yes
PGIDNB_00570,leuS,leucine--tRNA ligase,ACXYSJ_00570,leuS,leucine--tRNA ligase,100,100,100,0.00E+00,1814,yes,yes,yes
PGIDNB_00575,,LPS-assembly lipoprotein,ACXYSJ_00575,lptE,LPS assembly lipoprotein LptE,100,100,100,1.29E-135,374,yes,yes,yes
PGIDNB_00580,holA,DNA polymerase III subunit delta,ACXYSJ_00580,holA,DNA polymerase III subunit delta,100,100,100,0.00E+00,673,yes,yes,yes
PGIDNB_00585,,hypothetical protein,ACXYSJ_00585,,hypothetical protein,100,100,100,3.15E-53,157,yes,yes,yes
PGIDNB_00590,,chromosome partitioning protein ParB,ACXYSJ_00590,,ParB/RepB/Spo0J family partition protein,100,100,100,0.00E+00,584,yes,yes,yes
PGIDNB_00595,parA,chromosome partitioning protein ParA,ACXYSJ_00595,,ParA family protein,100,100,100,0.00E+00,578,yes,yes,yes
PGIDNB_00600,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,ACXYSJ_00600,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,100,100,97,5.37E-168,459,yes,yes,yes
PGIDNB_00605,,IS5 family transposase,ACXYSJ_00605,,IS5 family transposase,100,100,100,0.00E+00,650,yes,yes,yes
PGIDNB_00610,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,ACXYSJ_00610,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,100,100,100,0.00E+00,1259,yes,yes,yes
PGIDNB_00615,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,ACXYSJ_00615,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,99.78,99.78,100,0.00E+00,888,yes,yes,yes
PGIDNB_00620,,PAP2 superfamily protein,ACXYSJ_00620,,phosphatase PAP2 family protein,100,100,100,0.00E+00,638,yes,yes,yes
PGIDNB_00625,,Transcription termination factor Rho,ACXYSJ_00625,rho,transcription termination factor Rho,100,100,100,0.00E+00,855,yes,yes,yes
PGIDNB_00630,hemJ,protoporphyrinogen oxidase HemJ,ACXYSJ_00630,hemJ,protoporphyrinogen oxidase HemJ,100,100,100,8.93E-107,298,yes,yes,yes
PGIDNB_00635,,"Putative pyruvate, phosphate dikinase regulatory protein",ACXYSJ_00635,,"pyruvate, water dikinase regulatory protein",100,100,100,0.00E+00,569,yes,yes,yes
PGIDNB_00640,,Nucleoside triphosphate pyrophosphatase,ACXYSJ_00640,,Maf family protein,100,100,100,7.21E-146,401,yes,yes,yes
PGIDNB_00645,coaE,dephospho-CoA kinase,ACXYSJ_00645,coaE,dephospho-CoA kinase,100,100,100,1.18E-145,400,yes,yes,yes
PGIDNB_00650,dnaQ,DNA polymerase III subunit epsilon,ACXYSJ_00650,dnaQ,DNA polymerase III subunit epsilon,100,100,100,2.83E-171,468,yes,yes,yes
PGIDNB_00655,secB,protein-export chaperone SecB,ACXYSJ_00655,secB,protein-export chaperone SecB,100,100,100,2.35E-114,318,yes,yes,yes
PGIDNB_00660,,calcium-binding protein,ACXYSJ_00660,,Tim44/TimA family putative adaptor protein,100,100,82.55,6.83E-144,397,yes,yes,yes
PGIDNB_00665,,Peptidoglycan lytic exotransglycosylase,ACXYSJ_00665,mltA,murein transglycosylase A,100,100,100,0.00E+00,1054,yes,yes,yes
PGIDNB_00670,,"DNA-nicking endonuclease, Smr domain",ACXYSJ_00670,,Smr/MutS family protein,100,100,100,1.37E-141,390,yes,yes,yes
PGIDNB_00675,hslU,ATP-dependent protease ATPase subunit HslU,ACXYSJ_00675,hslU,ATP-dependent protease ATPase subunit HslU,100,100,100,0.00E+00,859,yes,yes,yes
PGIDNB_00680,,GCN5-related N-acetyltransferase,ACXYSJ_00680,,GNAT family N-acetyltransferase,100,100,100,5.74E-120,332,yes,yes,yes
PGIDNB_00685,hslV,ATP-dependent protease subunit HslV,ACXYSJ_00685,hslV,ATP-dependent protease subunit HslV,100,100,100,4.35E-141,388,yes,yes,yes
PGIDNB_00690,hisB,imidazoleglycerol-phosphate dehydratase HisB,ACXYSJ_00690,hisB,imidazoleglycerol-phosphate dehydratase HisB,100,100,100,2.65E-147,404,yes,yes,yes
PGIDNB_00695,,DUF2628 domain-containing protein,ACXYSJ_00695,,DUF2628 domain-containing protein,100,100,100,2.58E-120,334,yes,yes,yes
PGIDNB_00700,hisH,imidazole glycerol phosphate synthase subunit HisH,ACXYSJ_00700,hisH,imidazole glycerol phosphate synthase subunit HisH,100,100,100,2.01E-163,446,yes,yes,yes
PGIDNB_00705,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)me thylideneamino]imidazole-4-carboxamide isomerase,ACXYSJ_00705,hisA,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,100,100,100,2.24E-175,479,yes,yes,yes
