reaction_id,reaction_name,pathway,ec_number,enzyme_name,dsm_locus_tags,dsm_products,dsm_protein_ids,dsm_aa_lengths,rpal_homolog_locus_tags,uniprot_accession_or_query,kinetic_source,kinetic_reference_accession,kinetic_reference_organism_strain,kinetic_reference_note,kinetic_record_status,use_mm_constraint,kcat_s_inv,kcat_forward_s_inv,kcat_reverse_s_inv,directional_kcat_by_substrate,parameter_input_file,source_csv_reaction_id,ignored_nonreaction_km_entries,pgidnb_locus_tags,rnaseq_6h_median_expression,rnaseq_total_expression_for_constrained_reactions,rnaseq_allocation_fraction,model_biomass_protein_fraction_g_per_gdw,enzyme_pool_fraction_of_biomass_protein,estimated_enzyme_mw_kda,allocated_enzyme_mass_g_per_gdw,enzyme_umol_per_gdw,vmax_mmol_gdw_h,vmax_forward_mmol_gdw_h,vmax_reverse_mmol_gdw_h,mm_formula,substrates,gene_reaction_rule
RBPCcx,Ribulose-bisphosphate carboxylase,CBB,4.1.1.39,Rubisco carboxylase/oxygenase mixed reaction,ACXYSJ_06455;ACXYSJ_06460;ACXYSJ_21465,ACXYSJ_06455:form I ribulose bisphosphate carboxylase large subunit;ACXYSJ_06460:ribulose bisphosphate carboxylase small subunit;ACXYSJ_21465:ribulose-bisphosphate carboxylase,PRJNA1391668:ACXYSJ_06455;PRJNA1391668:ACXYSJ_06460;PRJNA1391668:ACXYSJ_21465,485;141;461,RPE_RS06855;RPE_RS06860;RPE_RS13470,,https://www.brenda-enzymes.org/literature.php?e=4.1.1.39&r=702278,https://www.brenda-enzymes.org/literature.php?e=4.1.1.39&r=702278,Rhodospirillum rubrum,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,6.28,6.28,6.28,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,RBPCcx,,PGIDNB_06415;PGIDNB_06420;PGIDNB_18030;PGIDNB_21305,83225.76644,234927.69244506504,0.35426120085635,0.5112,1.0,119.57000000000001,0.18109832587776611,1.5145799605065324,34.24162374713169,34.24162374713169,34.24162374713169,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),co2_c;rb15bp_c,(ACXYSJ_06455 and ACXYSJ_06460) or ACXYSJ_21465
FDH,Formate dehydrogenase,Formate oxidation,1.17.1.9,Formate dehydrogenase,ACXYSJ_23600;ACXYSJ_23605;ACXYSJ_23610;ACXYSJ_23615;ACXYSJ_23620,ACXYSJ_23600:formate dehydrogenase subunit gamma;ACXYSJ_23605:formate dehydrogenase beta subunit;ACXYSJ_23610:formate dehydrogenase subunit alpha;ACXYSJ_23615:formate dehydrogenase accessory sulfurtransferase FdhD;ACXYSJ_23620:formate dehydrogenase subunit delta,PRJNA1391668:ACXYSJ_23600;PRJNA1391668:ACXYSJ_23605;PRJNA1391668:ACXYSJ_23610;PRJNA1391668:ACXYSJ_23615;PRJNA1391668:ACXYSJ_23620,156;518;948;275;71,RPE_RS23215;RPE_RS23220;RPE_RS23225;RPE_RS23230;RPE_RS23235,,This study,This study,Rhodopseudomonas palustris DSM 123; RpFDH measured in this study,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,33.76,33.76,33.76,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,FDH,,PGIDNB_23465;PGIDNB_23470;PGIDNB_23475;PGIDNB_23480;PGIDNB_23485,7378.952316666667,234927.69244506504,0.03140946152353727,0.5112,1.0,216.48,0.016056516730832252,0.07417090138041506,9.014434670170123,9.014434670170123,9.014434670170123,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),for_c,(ACXYSJ_01120 and ACXYSJ_23615) or (ACXYSJ_23620 and ACXYSJ_23610 and ACXYSJ_23605 and ACXYSJ_23600)
RPE,Ribulose 5-phosphate 3-epimerase,CBB,5.1.3.1,Ribulose-phosphate 3-epimerase,ACXYSJ_16955,ACXYSJ_16955:ribulose-phosphate 3-epimerase,PRJNA1391668:ACXYSJ_16955,232,RPE_RS08275,,https://www.brenda-enzymes.org/literature.php?e=5.1.3.1&r=672127,https://www.brenda-enzymes.org/literature.php?e=5.1.3.1&r=672127,Streptococcus pyogenes,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,100.0,100.0,100.0,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,RPE,,PGIDNB_16830,1111.7041886666666,234927.69244506504,0.0047321121537284285,0.5112,1.0,25.52,0.0024190557329859725,0.09479058514835316,34.12461065340713,34.12461065340713,34.12461065340713,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),ru5p__D_c,ACXYSJ_16955
FBA,Fructose-bisphosphate aldolase,CBB,4.1.2.13,Fructose-bisphosphate aldolase,ACXYSJ_21470,ACXYSJ_21470:class II fructose-bisphosphate aldolase,PRJNA1391668:ACXYSJ_21470,361,RPE_RS13465,,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=652876,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=652876,Escherichia coli,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,10.5,10.5,10.5,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,FBA,,PGIDNB_21310,29876.834866666668,234927.69244506504,0.12717459808895454,0.5112,1.0,39.71,0.06501165454307356,1.6371607792262293,61.88467745475146,61.88467745475146,61.88467745475146,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),fdp_c,ACXYSJ_21470
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",CBB,4.1.2.13,Sedoheptulose-bisphosphate aldolase activity,ACXYSJ_03295,ACXYSJ_03295:class I fructose-bisphosphate aldolase,nan,0,,,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=714279,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=714279,Methylococcus capsulatus,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,0.055,0.055,0.055,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,FBA3,fdp_c:0.018;g3p_c:1.17,PGIDNB_03300,19480.133663333334,234927.69244506504,0.08291969950664085,0.5112,1.0,50.0,0.0423885503877948,0.8477710077558961,0.16785865953566742,0.16785865953566742,0.16785865953566742,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),s17bp_c;dhap_c,ACXYSJ_03295
PGK,Phosphoglycerate kinase,CBB,2.7.2.3,Phosphoglycerate kinase,ACXYSJ_03310,ACXYSJ_03310:phosphoglycerate kinase,PRJNA1391668:ACXYSJ_03310,398,RPE_RS23605,,https://www.brenda-enzymes.org/literature.php?e=2.7.2.3&r=642281,https://www.brenda-enzymes.org/literature.php?e=2.7.2.3&r=642281,Methanobacterium bryantii; Methanothermus fervidus; Pyrococcus woesei,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,149.8,149.8,149.8,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,PGK,,PGIDNB_03315,3405.2154269999996,234927.69244506504,0.014494738323777082,0.5112,1.0,43.78,0.007409710231114844,0.16924874899759806,91.27246535942469,91.27246535942469,91.27246535942469,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),3pg_c;atp_c,ACXYSJ_03310
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,CBB,1.2.1.12,Glyceraldehyde-3-phosphate dehydrogenase,ACXYSJ_03320,ACXYSJ_03320:type I glyceraldehyde-3-phosphate dehydrogenase,PRJNA1391668:ACXYSJ_03320,335,RPE_RS23620,,https://www.brenda-enzymes.org/literature.php?e=1.2.1.12&r=743222,https://www.brenda-enzymes.org/literature.php?e=1.2.1.12&r=743222,Corynebacterium glutamicum ATCC 13032,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,6.45,6.45,6.45,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,GAPD,,PGIDNB_03325,4242.791042333333,234927.69244506504,0.01805998687585738,0.5112,1.0,36.85,0.009232265290938292,0.2505363715315683,5.817454546963017,5.817454546963017,5.817454546963017,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),nadh_c,ACXYSJ_03320
TKT1,Transketolase,CBB,2.2.1.1,Transketolase,ACXYSJ_03325;ACXYSJ_21475,ACXYSJ_03325:transketolase;ACXYSJ_21475:transketolase,PRJNA1391668:ACXYSJ_03325;PRJNA1391668:ACXYSJ_21475,662;671,RPE_RS13460;RPE_RS23625,,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=735856,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=735856,Bacillus methanolicus MGA3,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,40.0,40.0,40.0,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,TKT1,f6p_c:0.25,PGIDNB_03330;PGIDNB_21315,12304.936990166665,234927.69244506504,0.05237755013936479,0.5112,1.0,146.63,0.02677540363124328,0.18260522151840197,26.295151898649884,26.295151898649884,26.295151898649884,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),r5p_c;xu5p__D_c;g3p_c,ACXYSJ_21475 or ACXYSJ_03325
TKT2,Transketolase,CBB,2.2.1.1,Transketolase,ACXYSJ_03325;ACXYSJ_21475,ACXYSJ_03325:transketolase;ACXYSJ_21475:transketolase,PRJNA1391668:ACXYSJ_03325;PRJNA1391668:ACXYSJ_21475,662;671,RPE_RS13460;RPE_RS23625,,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=757197,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=757197,Salmonella enterica subsp. enterica serovar Typhimurium ATCC 14028s,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,671.0,671.0,671.0,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,TKT2,,PGIDNB_03330;PGIDNB_21315,12304.936990166665,234927.69244506504,0.05237755013936479,0.5112,1.0,146.63,0.02677540363124328,0.18260522151840197,441.1011730998518,441.1011730998518,441.1011730998518,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),e4p_c;xu5p__D_c,ACXYSJ_21475 or ACXYSJ_03325
TALA,Transaldolase,CBB,2.2.1.2,Transaldolase,ACXYSJ_07555,ACXYSJ_07555:bifunctional transaldolase/phosoglucose isomerase,PRJNA1391668:ACXYSJ_07555,950,RPE_RS18560,,https://www.brenda-enzymes.org/literature.php?e=2.2.1.2&r=719298,https://www.brenda-enzymes.org/literature.php?e=2.2.1.2&r=719298,Escherichia coli,Kinetic fields loaded from mm_enzyme_constraint_all_parameters_metabolites_normalized.csv.,applied: normalized CSV kcat/Km with source link,True,13.0,13.0,13.0,,mm_enzyme_constraint_all_parameters_metabolites_normalized.csv,TALA,,PGIDNB_07505,6775.789539333334,234927.69244506504,0.02884202142715793,0.5112,1.0,104.5,0.014744041353563133,0.14109130481878596,6.603073065519182,6.603073065519182,6.603073065519182,v = kcat_s_inv * (enzyme_umol_per_gdw / 1000) * 3600 * min(S_i / (Km_i + S_i)),g3p_c,ACXYSJ_07555
