Contig	Start	End	Gene_Count
contig_1	1	10000	24
contig_1	10001	20000	16
contig_1	20001	30000	28
contig_1	30001	40000	20
contig_1	40001	50000	10
contig_1	50001	60000	16
contig_1	60001	70000	22
contig_1	70001	80000	18
contig_1	80001	90000	12
contig_1	90001	100000	18
contig_1	100001	110000	12
contig_1	110001	120000	18
contig_1	120001	126283	10
contig_2	1	10000	16
contig_2	10001	20000	16
contig_2	20001	30000	24
contig_2	30001	40000	22
contig_2	40001	50000	20
contig_2	50001	60000	20
contig_2	60001	70000	18
contig_2	70001	80000	22
contig_2	80001	90000	20
contig_2	90001	100000	12
contig_2	100001	110000	10
contig_2	110001	120000	16
contig_2	120001	130000	18
contig_2	130001	140000	20
contig_2	140001	150000	16
contig_2	150001	160000	16
contig_2	160001	170000	22
contig_2	170001	180000	10
contig_2	180001	190000	20
contig_2	190001	200000	10
contig_2	200001	210000	18
contig_2	210001	220000	22
contig_2	220001	230000	20
contig_2	230001	240000	20
contig_2	240001	250000	18
contig_2	250001	260000	14
contig_2	260001	270000	16
contig_2	270001	280000	18
contig_2	280001	290000	10
contig_2	290001	300000	20
contig_2	300001	310000	18
contig_2	310001	320000	20
contig_2	320001	330000	22
contig_2	330001	340000	12
contig_2	340001	350000	18
contig_2	350001	360000	22
contig_2	360001	370000	20
contig_2	370001	380000	16
contig_2	380001	390000	12
contig_2	390001	400000	26
contig_2	400001	410000	16
contig_2	410001	420000	20
contig_2	420001	430000	24
contig_2	430001	440000	10
contig_2	440001	450000	12
contig_2	450001	460000	18
contig_2	460001	470000	20
contig_2	470001	480000	16
contig_2	480001	490000	18
contig_2	490001	500000	16
contig_2	500001	510000	18
contig_2	510001	520000	16
contig_2	520001	530000	18
contig_2	530001	540000	18
contig_2	540001	550000	20
contig_2	550001	560000	20
contig_2	560001	570000	18
contig_2	570001	580000	24
contig_2	580001	590000	24
contig_2	590001	600000	22
contig_2	600001	610000	20
contig_2	610001	620000	12
contig_2	620001	630000	14
contig_2	630001	640000	14
contig_2	640001	650000	22
contig_2	650001	660000	18
contig_2	660001	670000	12
contig_2	670001	680000	18
contig_2	680001	690000	18
contig_2	690001	700000	24
contig_2	700001	710000	28
contig_2	710001	720000	20
